id,kode_sku,nama_item,kategori,satuan,stok_saat_ini,stok_minimum,harga_per_satuan,lokasi_gudang,supplier_utama,warna_kode,no_faktur_po,tanggal_masuk,tipe_pembayaran,status_pembayaran,jatuh_tempo,_keterangan_excel
MG-2604-BH0018,MG-2604-BH0018,FODY TOYOBO,CMT,YARD,0.0,10.0,20500.0,Gudang Master Garment (CJM),WILMER,#3b82f6,-,2026-04-27,CASH,LUNAS,,
MG-2604-BH0019,MG-2604-BH0019,ORION PREMIUM BLUE,CMT,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),OXFOORD,#3b82f6,-,2026-04-27,CASH,LUNAS,,
MG-2604-BH0020,MG-2604-BH0020,DENIM FODIA BLUE,FOB,YARD,0.0,10.0,29000.0,Gudang Master Garment (CJM),WARNING,#3b82f6,-,2026-04-29,CASH,LUNAS,,
MG-2604-BH0021,MG-2604-BH0021,DENIM MALIBU BLUE,FOB,YARD,0.0,10.0,40000.0,Gudang Master Garment (CJM),WARNING,#3b82f6,-,2026-04-29,CASH,LUNAS,,
MG-2604-BH0022,MG-2604-BH0022,P/D STRION 303887003 DK BEIGE,FOB,YARD,0.0,10.0,60545.0,Gudang Master Garment (CJM),SMBU,#3b82f6,-,2026-05-07,CASH,LUNAS,,
MG-2604-BH0023,MG-2604-BH0023,TC HITAM WARNING,FOB,YARD,35.0,10.0,16500.0,Gudang Master Garment (CJM),WARNING,#3b82f6,-,2026-05-11,CASH,LUNAS,,
MG-2604-BH0024,MG-2604-BH0024,LINEN ANGLE  01,FOB,YARD,0.0,10.0,29000.0,Gudang Master Garment (CJM),WARNING,#3b82f6,-,2026-05-16,CASH,LUNAS,,
MG-2604-BH0025,MG-2604-BH0025,PURING PUTIH 01 WARNING,FOB,YARD,0.0,10.0,15000.0,Gudang Master Garment (CJM),WARNING,#3b82f6,-,2026-05-16,CASH,LUNAS,,
MG-2604-BH0026,MG-2604-BH0026,TOYOBO FUDU,CMT,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),WILMER,#3b82f6,-,2026-05-16,CASH,LUNAS,,
MG-2604-BH0027,MG-2604-BH0027,OXYGEN,FOB,YARD,0.0,10.0,31500.0,Gudang Master Garment (CJM),WARNING,#3b82f6,-,2026-05-18,CASH,LUNAS,,
MG-2604-BH0028,MG-2604-BH0028,CARBON NONSTREACH 2628,FOB,YARD,93.6,10.0,34000.0,Gudang Master Garment (CJM),SEVENTYFOUR,#3b82f6,-,2026-05-19,CASH,LUNAS,,
MG-2604-BH0029,MG-2604-BH0029,POKEZONE BERTOLT RETUR,FOB,YARD,0.0,10.0,21500.0,Gudang Master Garment (CJM),SMBU,#3b82f6,-,2026-05-18,CASH,LUNAS,,
MG-2604-BH0030,MG-2604-BH0030,POKEZONE SEVENTYFOUR,FOB,YARD,0.0,10.0,15000.0,Gudang Master Garment (CJM),SEVENTYFOUR,#3b82f6,-,2026-05-20,CASH,LUNAS,,
MG-2604-BH0031,MG-2604-BH0031,STRAXEL DRAK GREY ZAMBOR 01,FOB,YARD,3600.5,10.0,40616.01,Gudang Master Garment (CJM),SMBU,#3b82f6,-,2026-05-20,CASH,LUNAS,,
MG-2604-BH0032,MG-2604-BH0032,"POKEZONE BERTOLT 240""",FOB,YARD,28.0,10.0,15000.0,Gudang Master Garment (CJM),SMBU,#3b82f6,-,2026-05-21,CASH,LUNAS,,
MG-2604-BH0033,MG-2604-BH0033,LINEN ANGLE  02,FOB,YARD,0.0,10.0,29000.0,Gudang Master Garment (CJM),WARNING,#3b82f6,-,2026-05-21,CASH,LUNAS,,
MG-2604-BH0034,MG-2604-BH0034,BJT 2307 HT-1,FOB,YARD,0.0,10.0,39500.0,Gudang Master Garment (CJM),WARNING,#3b82f6,-,2026-05-21,CASH,LUNAS,,
MG-2604-BH0035,MG-2604-BH0035,BENJIRO SATEEN STREET,FOB,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),WARNING,#3b82f6,-,2026-05-22,CASH,LUNAS,,
MG-2604-BH0036,MG-2604-BH0036,CARBONE STREET,FOB,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),SEVENTYFOUR,#3b82f6,-,2026-05-22,CASH,LUNAS,,
MG-2604-BH0037,MG-2604-BH0037,CORDUROY PAMOKIDS,CMT,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),PAMOKIDS,#3b82f6,-,2026-05-22,CASH,LUNAS,,
MG-2604-BH0038,MG-2604-BH0038,DENIM MERCURY BLACK,FOB,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),WARNING,#3b82f6,-,2026-05-25,CASH,LUNAS,,
MG-2604-BH0039,MG-2604-BH0039,DENIM MALIBU BLUE,FOB,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),WARNING,#3b82f6,-,2026-05-25,CASH,LUNAS,,
MG-2604-BH0040,MG-2604-BH0040,DENIM LIBERO DK BLUE,FOB,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),WARNING,#3b82f6,-,2026-05-25,CASH,LUNAS,,
MG-2604-BH0041,MG-2604-BH0041,POCKET PUTIH WARNING,FOB,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),WARNING,#3b82f6,-,2026-05-25,CASH,LUNAS,,
MG-2604-BH0042,MG-2604-BH0042,POCKET HITAM WARNING,FOB,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),WARNING,#3b82f6,-,2026-05-25,CASH,LUNAS,,
MG-2604-BH0043,MG-2604-BH0043,TOKYO LINEN STYLE LINIE,CMT,YARD,50.0,10.0,0.0,Gudang Master Garment (CJM),SMBU,#3b82f6,-,2026-05-28,CASH,LUNAS,,
MG-2604-BH0044,MG-2604-BH0044,P/D DAIRIBS 58 INCH DARK GREY CORELAX,FOB,YARD,1093.13,10.0,0.0,Gudang Master Garment (CJM),SMBU,#3b82f6,-,2026-05-28,CASH,LUNAS,,220 DIPAKAI CAMO
MG-2604-BH0045,MG-2604-BH0045,P/D DAIRIBS 58 INCH OLIVE  CORELAX,FOB,YARD,1548.49,10.0,0.0,Gudang Master Garment (CJM),SMBU,#3b82f6,-,2026-05-28,CASH,LUNAS,,
MG-2604-BH0046,MG-2604-BH0046,FISERI 58 INCH DK GREY  CORELAX,FOB,YARD,498.3,10.0,0.0,Gudang Master Garment (CJM),SMBU,#3b82f6,-,2026-05-28,CASH,LUNAS,,
MG-2604-BH0047,MG-2604-BH0047,FISERI 58 INCH OLIVE  CORELAX,FOB,YARD,498.67,10.0,0.0,Gudang Master Garment (CJM),SMBU,#3b82f6,-,2026-05-28,CASH,LUNAS,,
MG-2604-BH0048,MG-2604-BH0048,BAHAN KAIN KERAS MAROKO - 58 INCH  CORELAX,FOB,YARD,395.84,10.0,0.0,Gudang Master Garment (CJM),SMBU,#3b82f6,-,2026-05-28,CASH,LUNAS,,
MG-2604-BH0049,MG-2604-BH0049,BAHAN P/D STRAXEL KHAKY ZAMBOR 02,FOB,YARD,1399.61,10.0,0.0,Gudang Master Garment (CJM),SMBU,#3b82f6,-,2026-06-02,CASH,LUNAS,,
MG-2604-BH0050,MG-2604-BH0050,PID CYGNUS,CMT,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),OXFOORD,#3b82f6,-,2026-06-08,CASH,LUNAS,,
MG-2604-BH0051,MG-2604-BH0051,KORDUROY STRET,CMT,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),PAMOKIDS,#3b82f6,-,2026-06-09,CASH,LUNAS,,
MG-2604-BH0052,MG-2604-BH0052,BLUDRU,FOB,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),SEVENTYFOUR,#3b82f6,-,2026-06-11,CASH,LUNAS,,
MG-2604-BH0053,MG-2604-BH0053,WAFEL,FOB,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),SEVENTYFOUR,#3b82f6,-,2026-06-11,CASH,LUNAS,,
MG-2604-BH0054,MG-2604-BH0054,TASLAN CRINKLE,FOB,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),DELUSI,#3b82f6,-,2026-06-15,CASH,LUNAS,,
MG-2604-BH0055,MG-2604-BH0055,BAHAN P/D STRAXEL KHAKY ZAMBOR 03,FOB,YARD,573.0,10.0,0.0,Gudang Master Garment (CJM),SMBU,#3b82f6,-,2026-06-03,CASH,LUNAS,,
MG-2604-BH0056,MG-2604-BH0056,BAHAN P/D STRAXEL KHAKY ZAMBOR 04,FOB,YARD,1649.44,10.0,0.0,Gudang Master Garment (CJM),SMBU,#3b82f6,-,2026-06-08,CASH,LUNAS,,
MG-2604-BH0057,MG-2604-BH0057,BAHAN P/D STRAXEL OLIVE ZAMBOR 05,FOB,YARD,2110.66,10.0,0.0,Gudang Master Garment (CJM),SMBU,#3b82f6,-,2026-06-10,CASH,LUNAS,,
MG-2604-BH0058,MG-2604-BH0058,BAHAN P/D STRAXEL OLIVE ZAMBOR 06,FOB,YARD,1575.0,10.0,0.0,Gudang Master Garment (CJM),SMBU,#3b82f6,-,2026-06-15,CASH,LUNAS,,
MG-2604-BH0059,MG-2604-BH0059,POKEZONE 120 CM BERTOLT,FOB,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),SMBU,#3b82f6,-,2026-06-15,CASH,LUNAS,,
MG-2604-BH0060,MG-2604-BH0060,FLANEL POLOS,FOB,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),WARNING,#3b82f6,-,2026-06-15,CASH,LUNAS,,
MG-2604-BH0061,MG-2604-BH0061,PURING PUTIH 02 WARNING,FOB,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),WARNING,#3b82f6,-,2026-06-15,CASH,LUNAS,,
MG-2604-BH0062,MG-2604-BH0062,BAHAN P/D STRAXEL OLIVE ZAMBOR 07,FOB,YARD,1144.74,10.0,0.0,Gudang Master Garment (CJM),SMBU,#3b82f6,-,2026-06-18,CASH,LUNAS,,
MG-2604-BH0063,MG-2604-BH0063,BAHAN P/D STRAXEL WHEAT ZAMBOR 08,FOB,YARD,1776.92,10.0,0.0,Gudang Master Garment (CJM),SMBU,#3b82f6,-,2026-06-18,CASH,LUNAS,,
MG-2604-BH0064,MG-2604-BH0064,FLANEL KOTAK,FOB,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),WARNING,#3b82f6,-,2026-06-18,CASH,LUNAS,,
MG-2604-BH0065,MG-2604-BH0065,FLECCE,FOB,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),WARNING,#3b82f6,-,2026-06-18,CASH,LUNAS,,
MG-2604-BH0066,MG-2604-BH0066,BAHAN P/D STRAXEL WHEAT ZAMBOR 09,FOB,YARD,735.04,10.0,0.0,Gudang Master Garment (CJM),SMBU,#3b82f6,-,2026-06-29,CASH,LUNAS,,
MG-2604-BH0067,MG-2604-BH0067,BLUDRU 02,FOB,YARD,0.0,10.0,34000.0,Gudang Master Garment (CJM),SEVENTYFOUR,#3b82f6,-,2026-06-29,CASH,LUNAS,,
MG-2604-BH0068,MG-2604-BH0068,CORDUROY,FOB,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),WARNING,#3b82f6,-,2026-07-01,CASH,LUNAS,,
MG-2604-BH0069,MG-2604-BH0069,PE 40S,FOB,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),WARNING,#3b82f6,-,2026-07-02,CASH,LUNAS,,
MG-2604-BH0070,MG-2604-BH0070,BAHAN P/D STRAXEL WHITE ALL ZAMBOR,FOB,YARD,2300.65,10.0,0.0,Gudang Master Garment (CJM),SMBU,#3b82f6,-,2026-07-02,CASH,LUNAS,,
MG-2604-BH0071,MG-2604-BH0071,BAHAN POLYESTER DAISY BLACK ALL NORTHMEN CARGO WALKSHORT,FOB,YARD,1027.24,10.0,0.0,Gudang Master Garment (CJM),SMBU,#3b82f6,-,2026-07-03,CASH,LUNAS,,1027.24
MG-2604-BH0072,MG-2604-BH0072,BAHAN POLYESTER DAISY ARMY ALL NORTHMEN CARGO WALKSHORT,FOB,YARD,2069.22,10.0,0.0,Gudang Master Garment (CJM),SMBU,#3b82f6,-,2026-07-03,CASH,LUNAS,,998.32
MG-2604-BH0073,MG-2604-BH0073,POCKET  PUTIH 07,FOB,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),WARNING,#3b82f6,-,2026-07-02,CASH,LUNAS,,
MG-2604-BH0074,MG-2604-BH0074,POCKET  HITAM 07,FOB,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),WARNING,#3b82f6,-,2026-07-02,CASH,LUNAS,,
MG-2604-BH0075,MG-2604-BH0075,BAHAN P/D STRAXEL KHAKI BIVO,FOB,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),SMBU,#3b82f6,-,2026-07-08,CASH,LUNAS,,
MG-2604-BH0076,MG-2604-BH0076,BAHAN P/D STRAXEL DARK GREY BIVO,FOB,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),SMBU,#3b82f6,-,2026-07-08,CASH,LUNAS,,
MG-2604-BH0077,MG-2604-BH0077,BAHAN P/D STRAXEL OLIVE BIVO,FOB,YARD,0.28,10.0,0.0,Gudang Master Garment (CJM),SMBU,#3b82f6,-,2026-07-08,CASH,LUNAS,,
MG-2604-BH0078,MG-2604-BH0078,BAHAN P/D STRAXEL WHEAT BIVO,FOB,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),SMBU,#3b82f6,-,2026-07-08,CASH,LUNAS,,
MG-2604-BH0079,MG-2604-BH0079,NVSR HITAM,FOB,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),NVSR,#3b82f6,-,2026-07-07,CASH,LUNAS,,
MG-2604-BH0080,MG-2604-BH0080,NVSR ARMY,FOB,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),NVSR,#3b82f6,-,2026-07-07,CASH,LUNAS,,
MG-2604-BH0081,MG-2604-BH0081,NVSR KREM,FOB,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),NVSR,#3b82f6,-,2026-07-07,CASH,LUNAS,,
MG-2604-BH0082,MG-2604-BH0082,NVSR ABU,FOB,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),NVSR,#3b82f6,-,2026-07-07,CASH,LUNAS,,
MG-2604-BH0083,MG-2604-BH0083,BAHAN SERAGAM ( MERAH ),CMT,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),PA DENNY,#3b82f6,-,2026-07-04,CASH,LUNAS,,
MG-2604-BH0084,MG-2604-BH0084,PURING HITAM,FOB,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),CASH,#3b82f6,-,2026-07-08,CASH,LUNAS,,
MG-2604-BH0085,MG-2604-BH0085,BAHAN POLYESTER (DAISY) GREY ALL NORTHMEN CARGO WALKSHORT,FOB,YARD,2213.63,10.0,0.0,Gudang Master Garment (CJM),SMBU,#3b82f6,-,2026-07-09,CASH,LUNAS,,
MG-2604-BH0086,MG-2604-BH0086,BAHAN POLYESTER (DAISY) CHARCOAL THRONEBREAKER,FOB,YARD,2251.54,10.0,0.0,Gudang Master Garment (CJM),SMBU,#3b82f6,-,2026-07-09,CASH,LUNAS,,
MG-2604-BH0087,MG-2604-BH0087,BAHAN ZN PUTIH,FOB,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),CASH,#3b82f6,-,2026-07-09,CASH,LUNAS,,
MG-2604-BH0088,MG-2604-BH0088,PURING NVSR,FOB,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),CASH,#3b82f6,-,2026-07-14,CASH,LUNAS,,
MG-2604-BH0089,MG-2604-BH0089,BAHAN DEALOVA 25 2503,CMT,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),WILMER,#3b82f6,-,2026-07-28,CASH,LUNAS,,
MG-2604-BH0090,MG-2604-BH0090,FLECCE 250726,FOB,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),WARNING,#3b82f6,-,2026-07-25,CASH,LUNAS,,
MG-2604-BH0091,MG-2604-BH0091,PURING SMBU BIVO,FOB,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),SMBU,#3b82f6,-,2026-07-30,CASH,LUNAS,,
MG-2604-BH0092,MG-2604-BH0092,"PURING BERTOLT 120""",FOB,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),SMBU,#3b82f6,-,2026-07-30,CASH,LUNAS,,
MG-2604-BH0093,MG-2604-BH0093,CODUROY 08,FOB,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),WARNING,#3b82f6,-,2026-08-01,CASH,LUNAS,,
MG-2604-BH0094,MG-2604-BH0094,CATALINA 08,FOB,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),WARNING,#3b82f6,-,2026-08-01,CASH,LUNAS,,
MG-2604-BH0095,MG-2604-BH0095,CODUROY 089,FOB,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),WARNING,#3b82f6,-,2026-08-03,CASH,LUNAS,,
MG-2604-BH0096,MG-2604-BH0096,OXYGEN 08,FOB,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),WARNING,#3b82f6,-,2026-08-05,CASH,LUNAS,,
MG-2604-BH0097,MG-2604-BH0097,BAHAN PURING 08 HITAM,FOB,YARD,700.02,10.0,0.0,Gudang Master Garment (CJM),WARNING,#3b82f6,-,2026-08-05,CASH,LUNAS,,
MG-2604-BH0098,MG-2604-BH0098,OREGON PG N,CASH,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),CASH,#3b82f6,-,2026-08-05,CASH,LUNAS,,
MG-2604-BH0099,MG-2604-BH0099,LINEN LUCY,CASH,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),CASH,#3b82f6,-,2026-08-08,CASH,LUNAS,,
MG-2604-BH0100,MG-2604-BH0100,BAHAN PURING 08 PUTIH 11,FOB,YARD,100.0,10.0,0.0,Gudang Master Garment (CJM),WARNING,#3b82f6,-,2026-08-11,CASH,LUNAS,,
MG-2604-BH0101,MG-2604-BH0101,LINEN LOOK OXFORD HAKKA,CMT,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),SMBU,#3b82f6,-,2026-08-11,CASH,LUNAS,,
MG-2604-BH0102,MG-2604-BH0102,DENIM #B1017 ARIANA,FOB,YARD,945.0,10.0,0.0,Gudang Master Garment (CJM),SMBU,#3b82f6,-,2026-08-11,CASH,LUNAS,,
MG-2604-BH0103,MG-2604-BH0103,DIADORA  PURING HITAM,CASH,YARD,11.9,10.0,0.0,Gudang Master Garment (CJM),DELUSI,#3b82f6,-,2026-08-13,CASH,LUNAS,,
MG-2604-BH0104,MG-2604-BH0104,TOYOBO HITAM,CMT,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),WILMER,#3b82f6,-,2026-07-08,CASH,LUNAS,,
MG-2604-BH0105,MG-2604-BH0105,TOYOBO PUTIH,CMT,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),WILMER,#3b82f6,-,2026-07-08,CASH,LUNAS,,
MG-2604-BH0106,MG-2604-BH0106,BAHAN LIBERO DK BLUE,FOB,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),WARNING,#3b82f6,-,2026-07-17,CASH,LUNAS,,
MG-2604-BH0107,MG-2604-BH0107,BAHAN BJT 2307 BT,FOB,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),WARNING,#3b82f6,-,2026-07-17,CASH,LUNAS,,
MG-2604-BH0108,MG-2604-BH0108,BAHAN LORENG DELUSI,FOB,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),DELUSI,#3b82f6,-,2026-07-18,CASH,LUNAS,,
MG-2604-BH0109,MG-2604-BH0109,BAHAN LINEN LUCY,FOB,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),SEVENTYFOUR,#3b82f6,-,2026-07-18,CASH,LUNAS,,
MG-2604-BH0110,MG-2604-BH0110,BAHAN BJT 2307 BT,FOB,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),WARNING,#3b82f6,-,2026-07-22,CASH,LUNAS,,
MG-2604-BH0111,MG-2604-BH0111,BAHAN MALIBU BLUE,FOB,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),WARNING,#3b82f6,-,2026-08-13,CASH,LUNAS,,
MG-2604-BH0112,MG-2604-BH0112,BAHAN  MECURY BLACK,FOB,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),WARNING,#3b82f6,-,2026-08-13,CASH,LUNAS,,
MG-2604-BH0113,MG-2604-BH0113,BAHAN TEXNOS,FOB,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),WARNING,#3b82f6,-,2026-08-13,CASH,LUNAS,,
MG-2604-BH0114,MG-2604-BH0114,FLANEL POLOS 0820,FOB,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),WARNING,#3b82f6,-,2026-08-18,CASH,LUNAS,,
MG-2604-BH0115,MG-2604-BH0115,FLANEL KOTAK 0820,FOB,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),WARNING,#3b82f6,-,2026-08-18,CASH,LUNAS,,
MG-2604-BH0116,MG-2604-BH0116,DUSKY 0820,FOB,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),WARNING,#3b82f6,-,2026-08-18,CASH,LUNAS,,
MG-2604-BH0117,MG-2604-BH0117,PURING SMBU BIVO 2,FOB,YARD,12.9,10.0,0.0,Gudang Master Garment (CJM),SMBU,#3b82f6,-,2026-08-18,CASH,LUNAS,,
MG-2604-BH0118,MG-2604-BH0118,PURING NORTHMEN CARGO WALKSHORT,FOB,YARD,838.0,10.0,0.0,Gudang Master Garment (CJM),SMBU,#3b82f6,-,2026-08-13,CASH,LUNAS,,
MG-2604-BH0119,MG-2604-BH0119,FODIA BLUE 08 18,FOB,YARD,136.0,10.0,0.0,Gudang Master Garment (CJM),WARNING,#3b82f6,-,2026-08-18,CASH,LUNAS,,
MG-2604-BH0120,MG-2604-BH0120,MALUBU BLUE 08 18,FOB,YARD,356.0,10.0,0.0,Gudang Master Garment (CJM),WARNING,#3b82f6,-,2026-08-18,CASH,LUNAS,,
MG-2604-BH0121,MG-2604-BH0121,RPM 007 08 26,FOB,YARD,1035.0,10.0,0.0,Gudang Master Garment (CJM),WARNING,#3b82f6,-,2026-08-26,CASH,LUNAS,,
MG-2604-BH0122,MG-2604-BH0122,ORION BLUE-BLACK 26,FOB,YARD,1671.0,10.0,0.0,Gudang Master Garment (CJM),WARNING,#3b82f6,-,2026-08-27,CASH,LUNAS,,
MG-2604-BH0123,MG-2604-BH0123,CORDUROY 08 26,FOB,YARD,193.0,10.0,0.0,Gudang Master Garment (CJM),WARNING,#3b82f6,-,2026-08-27,CASH,LUNAS,,
MG-2604-BH0124,MG-2604-BH0124,MALIBU DK.BLUE 27 8,FOB,YARD,2005.0,10.0,0.0,Gudang Master Garment (CJM),WARNING,#3b82f6,-,2026-08-27,CASH,LUNAS,,
MG-2604-BH0125,MG-2604-BH0125,(BELUM ADA DESKRIPSI) MG-2604-BH0125,LAINNYA,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),-,#3b82f6,-,,CASH,LUNAS,,
MG-2604-BH0126,MG-2604-BH0126,(BELUM ADA DESKRIPSI) MG-2604-BH0126,LAINNYA,YARD,0.0,10.0,0.0,Gudang Master Garment (CJM),-,#3b82f6,-,,CASH,LUNAS,,
