no_so,brand,style,sumber
SO-MG260034,CAMO WARBROKE,KMJ PDK BASIC O9295,IMPORT_EXCEL
SO-MG260035,FADFAD,SATU SET FADFAD,IMPORT_EXCEL
SO-MG260036,WARNING,STRIATA#1,IMPORT_EXCEL
SO-MG260037,WARNING,STRIATA#3,IMPORT_EXCEL
SO-MG260038,WARNING,STRIATA#4,IMPORT_EXCEL
SO-MG260039,WARNING,CORELINE CY#1,IMPORT_EXCEL
SO-MG260040,WARNING,CORELINE CY#2,IMPORT_EXCEL
SO-MG260041,WARNING,CORDIER CY#1,IMPORT_EXCEL
SO-MG260042,WARNING,CORDIER CY#2,IMPORT_EXCEL
SO-MG260043,WARNING,CORDIER CY#3,IMPORT_EXCEL
SO-MG260044,WARNING,CORDIER CY#4,IMPORT_EXCEL
SO-MG260045,WARNING,VAVERN LN#3,IMPORT_EXCEL
SO-MG260046,WILMER STUDIOS,KMJ BASIC SAKU BLACK (04),IMPORT_EXCEL
SO-MG260047,WILMER STUDIOS,KMJ BASIC SAKU PUTIH (04),IMPORT_EXCEL
SO-MG260048,TRAVEOLOGY,JEANS JACKET INDIGO BLUE,IMPORT_EXCEL
SO-MG260049,TRAVEOLOGY,JEANS JACKET LIGHT BLUE,IMPORT_EXCEL
SO-MG260050,AL-ITIHAD,SERAGAM AL-ITIHAD,IMPORT_EXCEL
SO-MG260051,FADFAD,SET SETELAN 260414668 (ATASAN),IMPORT_EXCEL
SO-MG260052,FADFAD,SET SETELAN 260414668 (CELANA),IMPORT_EXCEL
SO-MG260053,WARNING,"DENIMES 2,58 ( REGULER )",IMPORT_EXCEL
SO-MG260054,WARNING,BENNET,IMPORT_EXCEL
SO-MG260055,WARNING,HALFDAN,IMPORT_EXCEL
SO-MG260056,SERAGAM,KEMEJA JEANS PANJANG,IMPORT_EXCEL
SO-MG260057,WARNING,DENIMES 1.393,IMPORT_EXCEL
SO-MG260058,FADFAD,KEMEJA 129276,IMPORT_EXCEL
SO-MG260059,FADFAD,KEMEJA 129277,IMPORT_EXCEL
SO-MG260060,FADFAD,SATU SET 118922,IMPORT_EXCEL
SO-MG260061,INSIGHT ( SMBU ),51 DOLAR,IMPORT_EXCEL
SO-MG260062,OXFOORD,NEW OUTER BUTTON BEIGE,IMPORT_EXCEL
SO-MG260063,OXFOORD,NEW OUTER BUTTON DRAK GREY,IMPORT_EXCEL
SO-MG260064,OXFOORD,NEW OUTER BUTTON BLACK,IMPORT_EXCEL
SO-MG260065,OXFOORD,NEW OUTER BUTTON TAUPE,IMPORT_EXCEL
SO-MG260066,OXFOORD,NEW OUTER ZIPPER BEIGE,IMPORT_EXCEL
SO-MG260067,OXFOORD,NEW OUTER ZIPPER DRAK GREY,IMPORT_EXCEL
SO-MG260068,OXFOORD,NEW OUTER ZIPPER BLACK,IMPORT_EXCEL
SO-MG260069,OXFOORD,NEW OUTER ZIPPER TAUPE,IMPORT_EXCEL
SO-MG260070,OXFOORD,REXTURED SHIRT BLACK,IMPORT_EXCEL
SO-MG260071,OXFOORD,REXTURED SHIRT CHATIME,IMPORT_EXCEL
SO-MG260072,OXFOORD,REXTURED SHIRT JEANS,IMPORT_EXCEL
SO-MG260073,OXFOORD,REXTURED SHIRT ASPARAGUS,IMPORT_EXCEL
SO-MG260074,OXFOORD,REXTURED SHIRT COCOA,IMPORT_EXCEL
SO-MG260075,OXFOORD,REXTURED SHIRT BUBLEGUM,IMPORT_EXCEL
SO-MG260076,WARNING,ARVYN LN#1  18,IMPORT_EXCEL
SO-MG260077,WARNING,ARVYN LN#2 18,IMPORT_EXCEL
SO-MG260078,WARNING,SKIVE LN#5 REG-FIT,IMPORT_EXCEL
SO-MG260079,WARNING,ARVYN LN#6 18,IMPORT_EXCEL
SO-MG260080,WARNING,VELAR LV#1 18,IMPORT_EXCEL
SO-MG260081,WARNING,VELAR LV#2 18,IMPORT_EXCEL
SO-MG260082,WARNING,VELAR LV#5 18,IMPORT_EXCEL
SO-MG260083,WARNING,VELAR LV#6 18,IMPORT_EXCEL
SO-MG260084,WARNING,SKIVE LN#1 REG-FIT,IMPORT_EXCEL
SO-MG260085,WARNING,SKIVE LN#6 REG FIT,IMPORT_EXCEL
SO-MG260086,WARNING,AVIGNON LN#1 REG FIT,IMPORT_EXCEL
SO-MG260087,WARNING,AVIGNON LN#6 REG FIT,IMPORT_EXCEL
SO-MG260088,WARNING,ENTDECKEN#1,IMPORT_EXCEL
SO-MG260089,WARNING,ENTDECKEN#2,IMPORT_EXCEL
SO-MG260090,WARNING,ENTDECKEN#3,IMPORT_EXCEL
SO-MG260091,WARNING,ENTDECKEN#4,IMPORT_EXCEL
SO-MG260092,WILMER STUDIOS,KMJ BASIC SAKU PUTIH (05),IMPORT_EXCEL
SO-MG260093,WILMER STUDIOS,KMJ BASIC TANPA SAKU PUTIH (05),IMPORT_EXCEL
SO-MG260094,GOTO FADFAD,FADSM25111999 SATU SET,IMPORT_EXCEL
SO-MG260095,GOTO FADFAD,CHCXX26040809 SATU SET,IMPORT_EXCEL
SO-MG260096,GOTO FADFAD,FADAH26032726,IMPORT_EXCEL
SO-MG260097,GOTO FADFAD,FADFF25111803,IMPORT_EXCEL
SO-MG260098,GOTO FADFAD,CHCXX26011621,IMPORT_EXCEL
SO-MG260099,GOTO FADFAD,CHCKL26030436 BLUE,IMPORT_EXCEL
SO-MG260100,GOTO FADFAD,CHCKL26030436 GREEN,IMPORT_EXCEL
SO-MG260101,GOTO FADFAD,CHCKL26030436 PINK,IMPORT_EXCEL
SO-MG260102,TRAVEOLOGY,WIDE CARGO -1,IMPORT_EXCEL
SO-MG260103,TRAVEOLOGY,WIDE CARGO -2,IMPORT_EXCEL
SO-MG260104,TRAVEOLOGY,WIDE CARGO -3,IMPORT_EXCEL
SO-MG260105,TRAVEOLOGY,WIDE CARGO -4,IMPORT_EXCEL
SO-MG260106,PAMOKIDS,GIGGLEWS OVERALL MR,IMPORT_EXCEL
SO-MG260107,PAMOKIDS,GIGGLEWS OVERALL MS,IMPORT_EXCEL
SO-MG260108,WARNING,"DECOTTON 1,650",IMPORT_EXCEL
SO-MG260109,WARNING,"DECOTTON 1,651",IMPORT_EXCEL
SO-MG260110,WARNING,"DECOTTON 1,653",IMPORT_EXCEL
SO-MG260111,GOTO FADFAD,CHCXX26041309,IMPORT_EXCEL
SO-MG260112,DELUSI,CHINOS PANJANG REGULER,IMPORT_EXCEL
SO-MG260113,DELUSI,CHINOS PANJANG REGULER,IMPORT_EXCEL
SO-MG260114,GOTO FADFAD,FADSS25121730,IMPORT_EXCEL
SO-MG260115,SEVENTYFOUR,SOIL CRG PJ#1,IMPORT_EXCEL
SO-MG260116,SEVENTYFOUR,SOIL CRG PJ#2,IMPORT_EXCEL
SO-MG260117,SEVENTYFOUR,SOIL CRG PJ#3,IMPORT_EXCEL
SO-MG260118,SEVENTYFOUR,SOIL CRG PJ#4,IMPORT_EXCEL
SO-MG260119,SEVENTYFOUR,SOIL CRG PJ#5,IMPORT_EXCEL
SO-MG260120,WARNING,DENIMES 2.55,IMPORT_EXCEL
SO-MG260121,WARNING,DENIMES 2.57,IMPORT_EXCEL
SO-MG260122,GOTO FADFAD,FADFF25111803  ( ID284332 ),IMPORT_EXCEL
SO-MG260123,GOTO FADFAD,CHCXX26011621 ( ID134141 ),IMPORT_EXCEL
SO-MG260124,GOTO FADFAD,FADAH26030217 ( ID121499 ),IMPORT_EXCEL
SO-MG260125,GOTO FADFAD,CHCYY25050722 ( ID138133 ),IMPORT_EXCEL
SO-MG260126,GOTO FADFAD,CHCYY25050722 ( ID138151 ),IMPORT_EXCEL
SO-MG260127,GOTO FADFAD,FADAL26040506 ( ID286875 ),IMPORT_EXCEL
SO-MG260128,WARNING,HAVERN LN#4 HTM,IMPORT_EXCEL
SO-MG260129,WARNING,HAVERN LN#5 NVY,IMPORT_EXCEL
SO-MG260130,WARNING,HAVERN LN#6 PTH,IMPORT_EXCEL
SO-MG260131,SEVENTYFOUR,UCAD CNS PJG #1,IMPORT_EXCEL
SO-MG260132,SEVENTYFOUR,UCAD CNS PJG #2,IMPORT_EXCEL
SO-MG260133,SEVENTYFOUR,UCAD CNS PJG #3,IMPORT_EXCEL
SO-MG260134,SEVENTYFOUR,UCAD CNS PJG #4,IMPORT_EXCEL
SO-MG260135,SEVENTYFOUR,UCAD CNS PJG #5,IMPORT_EXCEL
SO-MG260136,SEVENTYFOUR,STAT CNS PDK#1,IMPORT_EXCEL
SO-MG260137,SEVENTYFOUR,STAT CNS PDK#2,IMPORT_EXCEL
SO-MG260138,SEVENTYFOUR,STAT CNS PDK#3,IMPORT_EXCEL
SO-MG260139,SEVENTYFOUR,STAT CNS PDK#4,IMPORT_EXCEL
SO-MG260140,SEVENTYFOUR,STAT CNS PDK#5,IMPORT_EXCEL
SO-MG260141,PLANETSUR ( SMBU ),LINIE MEN SHIRT,IMPORT_EXCEL
SO-MG260142,SEVENTYFOUR,GRIT CRG PDK#1,IMPORT_EXCEL
SO-MG260143,SEVENTYFOUR,GRIT CRG PDK#3,IMPORT_EXCEL
SO-MG260144,SEVENTYFOUR,GRIT CRG PDK#5,IMPORT_EXCEL
SO-MG260145,WARNING,DENIMES 1.459,IMPORT_EXCEL
SO-MG260146,WARNING,DENIMES 1.460,IMPORT_EXCEL
SO-MG260147,WARNING,DENIMES 1.461,IMPORT_EXCEL
SO-MG260148,SEVENTYFOUR,ROFT#1,IMPORT_EXCEL
SO-MG260149,SEVENTYFOUR,ROFT#2,IMPORT_EXCEL
SO-MG260150,PAMOKIDS,GIGGLEWS OVERALL #1 NAVY,IMPORT_EXCEL
SO-MG260151,PAMOKIDS,GIGGLEWS OVERALL#2 BLUE,IMPORT_EXCEL
SO-MG260152,GOTO FADFAD,FADSM26051440-PO13940#01,IMPORT_EXCEL
SO-MG260153,GOTO FADFAD,CHCZZ26042843-PO13998#02,IMPORT_EXCEL
SO-MG260154,GOTO FADFAD,FADSS260515501-PO14012#03,IMPORT_EXCEL
SO-MG260155,GOTO FADFAD,FADYY25092643-PO140132#05,IMPORT_EXCEL
SO-MG260156,GOTO FADFAD,FADSS26042841-PO14080#05,IMPORT_EXCEL
SO-MG260157,GOTO FADFAD,FADUU26050830-PO13908,IMPORT_EXCEL
SO-MG260158,DELUSI,SEMI PARKA,IMPORT_EXCEL
SO-MG260159,DELUSI,TRACKTOP JACKET,IMPORT_EXCEL
SO-MG260160,DELUSI,BOARDSHORT PANTS,IMPORT_EXCEL
SO-MG260161,WARNING,DENIMES 1.466,IMPORT_EXCEL
SO-MG260162,WARNING,MERIDIAN FL#1,IMPORT_EXCEL
SO-MG260163,WARNING,MERIDIAN FL#2,IMPORT_EXCEL
SO-MG260164,WARNING,MERIDIAN FL#3,IMPORT_EXCEL
SO-MG260165,WARNING,MERIDIAN FL#4,IMPORT_EXCEL
SO-MG260166,WARNING,MERIDIAN FL#5,IMPORT_EXCEL
SO-MG260167,WARNING,SEMPITERNAL FL#1,IMPORT_EXCEL
SO-MG260168,WARNING,SEMPITERNAL FL#2,IMPORT_EXCEL
SO-MG260169,WARNING,SEMPITERNAL FL#3,IMPORT_EXCEL
SO-MG260170,WARNING,SEMPITERNAL FL#4,IMPORT_EXCEL
SO-MG260171,WARNING,SEMPITERNAL FL#5,IMPORT_EXCEL
SO-MG260172,WARNING,CATALYST FL,IMPORT_EXCEL
SO-MG260173,WARNING,VESTIGE FL,IMPORT_EXCEL
SO-MG260174,WARNING,AVENOR FL,IMPORT_EXCEL
SO-MG260175,WARNING,ENTROPY FL,IMPORT_EXCEL
SO-MG260176,WARNING,SOLTICE FL,IMPORT_EXCEL
SO-MG260177,WARNING,UNEENDING FL,IMPORT_EXCEL
SO-MG260178,WARNING,NORVAIN FL,IMPORT_EXCEL
SO-MG260179,WARNING,SENOVAR FL,IMPORT_EXCEL
SO-MG260182,WARNING,DECOTON 1.648,IMPORT_EXCEL
SO-MG260183,WARNING,THERMA#1,IMPORT_EXCEL
SO-MG260184,INSIGHT ( SMBU ),BERTOLT MEN PANTS FABRIC,IMPORT_EXCEL
SO-MG26100620,BINTANG MADANI,ATASAN RESMI LAKI-LAKI SD,IMPORT_EXCEL
SO-MG26100621,BINTANG MADANI,ATASAN RESMI PEREMPUAN SD,IMPORT_EXCEL
SO-MG26100622,BINTANG MADANI,CELANA RESMI LAKI-LAKI SD,IMPORT_EXCEL
SO-MG26100623,BINTANG MADANI,CELANA RESMI PEREMPUAN SD,IMPORT_EXCEL
SO-MG26100624,BINTANG MADANI,CELANA OUTBOND LK/PR SD,IMPORT_EXCEL
SO-MG26100625,BINTANG MADANI,ATASAN OUTBOND LK/PR SD,IMPORT_EXCEL
SO-MG26100626,BINTANG MADANI,CELANA OLAHRAGA SD,IMPORT_EXCEL
SO-MG26100627,BINTANG MADANI,BAJU OLAHRAGA SD,IMPORT_EXCEL
SO-MG26100628,BINTANG MADANI,BAJU OLAHRAGA SMP,IMPORT_EXCEL
SO-MG26100629,BINTANG MADANI,CELANA OLAHRAGA LAKI-LAKI SMP,IMPORT_EXCEL
SO-MG26100630,BINTANG MADANI,CELANA OLAHRAGA PEREMPUAN SMP,IMPORT_EXCEL
SO-MG26100631,BINTANG MADANI,BAJU POLO SHIRT LAKI-LAKI SMP,IMPORT_EXCEL
SO-MG26100632,BINTANG MADANI,BAJU POLO SHIRT PEREMPUAN SMP,IMPORT_EXCEL
SO-MG26100633,BINTANG MADANI,ATASAN RESMI LAKI-LAKI SMP,IMPORT_EXCEL
SO-MG26100634,BINTANG MADANI,ATASAN RESMI PEREMPUAN SMP,IMPORT_EXCEL
SO-MG26100635,BINTANG MADANI,CELANA RESMI LAKI-LAKI SMP,IMPORT_EXCEL
SO-MG26100636,BINTANG MADANI,CELANA RESMI PEREMPUAN SMP,IMPORT_EXCEL
SO-MG260185,SEVENTYFOUR,RAFT#1  CREAM,IMPORT_EXCEL
SO-MG260186,SEVENTYFOUR,RAFT#1  OLIVE,IMPORT_EXCEL
SO-MG260187,SEVENTYFOUR,RAFT#2 KHAKY,IMPORT_EXCEL
SO-MG260188,SEVENTYFOUR,RAFT#2 ABU TUA,IMPORT_EXCEL
SO-MG260189,WARNING,SPRINTON #1,IMPORT_EXCEL
SO-MG260190,WARNING,SPRINTON #2,IMPORT_EXCEL
SO-MG260191,SEVENTYFOUR,AKOR #1  BEIGE,IMPORT_EXCEL
SO-MG260192,SEVENTYFOUR,AKOR #2 OLIVE,IMPORT_EXCEL
SO-MG260193,SEVENTYFOUR,AKOR #3 BROKEN WHITE,IMPORT_EXCEL
SO-MG260194,WARNING,RENOIR#1,IMPORT_EXCEL
SO-MG260195,WARNING,RENOIR#2,IMPORT_EXCEL
SO-MG260196,WARNING,RENOIR#3,IMPORT_EXCEL
SO-MG260197,WARNING,RENOIR#4,IMPORT_EXCEL
SO-MG260198,WARNING,RENOIR#5,IMPORT_EXCEL
SO-MG260199,WARNING,LEVANT CY#1,IMPORT_EXCEL
SO-MG260200,WARNING,LEVANT CY#2,IMPORT_EXCEL
SO-MG260201,WARNING,LEVANT CY#3,IMPORT_EXCEL
SO-MG260202,WARNING,LEVANT CY#4,IMPORT_EXCEL
SO-MG260203,WARNING,VALMONT CY#1,IMPORT_EXCEL
SO-MG260204,WARNING,VALMONT CY#2,IMPORT_EXCEL
SO-MG260205,WARNING,VALMONT CY#3,IMPORT_EXCEL
SO-MG260206,WARNING,VALMONT CY#4,IMPORT_EXCEL
SO-MG260207,SEVENTYFOUR,APSTA#1 CREAM,IMPORT_EXCEL
SO-MG260208,SEVENTYFOUR,APSTA#2 OLIVE,IMPORT_EXCEL
SO-MG260209,SEVENTYFOUR,APSTA#3 BROKEN WHITE,IMPORT_EXCEL
SO-MG260210,PAKDENNY,IQOS SHIRT MERAH,IMPORT_EXCEL
SO-MG260211,WILMER STUDIOS,KEMEJA TOYOBO TANPA SAKU HTM,IMPORT_EXCEL
SO-MG260212,WILMER STUDIOS,KEMEJA TOYOBO TANPA SAKU PUTIH,IMPORT_EXCEL
SO-MG260213,WILMER STUDIOS,KEMEJA TOYOBO ADA SAKU HTM,IMPORT_EXCEL
SO-MG260214,WILMER STUDIOS,KEMEJA TOYOBO ADA SAKU PTH,IMPORT_EXCEL
SO-MG260215,NEVER SURENDER,CHINOS PENDEK  HITAM,IMPORT_EXCEL
SO-MG260216,NEVER SURENDER,CHINOS PENDEK ARMY,IMPORT_EXCEL
SO-MG260217,NEVER SURENDER,CHINOS PENDEK ABU,IMPORT_EXCEL
SO-MG260218,NEVER SURENDER,CHINOS PENDEK  CREAM,IMPORT_EXCEL
SO-MG260219,SEVENTYFOUR,SHSS DARIS HITAM,IMPORT_EXCEL
SO-MG260220,SEVENTYFOUR,SHSS DARIS SAGE GREEN,IMPORT_EXCEL
SO-MG260221,SEVENTYFOUR,SHSS DARIS POWDER BLUE,IMPORT_EXCEL
SO-MG260222,SEVENTYFOUR,SHSS DARIS CREAM,IMPORT_EXCEL
SO-MG260223,SEVENTYFOUR,SHSS DARIS TAUPE,IMPORT_EXCEL
SO-MG260224,SEVENTYFOUR,SHSS DARIS BLUE,IMPORT_EXCEL
SO-MG260225,SEVENTYFOUR,SHSS DARIS WHITE,IMPORT_EXCEL
SO-MG260226,NEVER SURENDER,CHINOS PANJANG  HITAM,IMPORT_EXCEL
SO-MG260227,NEVER SURENDER,CHINOS PANJANG ARMY,IMPORT_EXCEL
SO-MG260228,NEVER SURENDER,CHINOS PANJANG ABU,IMPORT_EXCEL
SO-MG260229,NEVER SURENDER,CHINOS PANJANG CREAM,IMPORT_EXCEL
SO-MG260230,SMBU,CRAZED PAPAYA MEN LONG SHIRT,IMPORT_EXCEL
SO-MG260231,SMBU,CRAZED PAPAYA MEN LONG SHIRT,IMPORT_EXCEL
SO-MG260232,SMBU,CAMERON MEN LONG SHIRT,IMPORT_EXCEL
SO-MG260233,SMBU,CAMERON MEN LONG SHIRT,IMPORT_EXCEL
SO-MG260234,SMBU,BALD NAVY,IMPORT_EXCEL
SO-MG260235,NEVER SURENDER,LOOSE CARGO HITAM,IMPORT_EXCEL
SO-MG260236,NEVER SURENDER,LOOSE CARGO ARMY,IMPORT_EXCEL
SO-MG260237,NEVER SURENDER,LOOSE CARGO ABU,IMPORT_EXCEL
SO-MG260238,NEVER SURENDER,LOOSE CARGO CREAM,IMPORT_EXCEL
SO-MG260239,NEVER SURENDER,ANGKLEPANTS HITAM,IMPORT_EXCEL
SO-MG260240,NEVER SURENDER,ANGKLEPANTS ARMY,IMPORT_EXCEL
SO-MG260241,NEVER SURENDER,ANGKLEPANTS ABU,IMPORT_EXCEL
SO-MG260242,NEVER SURENDER,ANGKLEPANTS CREAM,IMPORT_EXCEL
SO-MG260243,WARNING,DENIMES 1.462,IMPORT_EXCEL
SO-MG260244,WARNING,DENIMES 1.465,IMPORT_EXCEL
SO-MG260245,DELUSI,CARPENTER,IMPORT_EXCEL
SO-MG260246,DELUSI,WORK JACKET,IMPORT_EXCEL
SO-MG260247,SEVENTYFOUR,SHLS SARIS HITAM,IMPORT_EXCEL
SO-MG260248,SEVENTYFOUR,SHLS SARIS SAGE GREEN,IMPORT_EXCEL
SO-MG260249,SEVENTYFOUR,SHLS SARIS POWDE R BLUE,IMPORT_EXCEL
SO-MG260250,SEVENTYFOUR,SHLS SARIS CREAM,IMPORT_EXCEL
SO-MG260251,SEVENTYFOUR,SHLS SARIS TAUPE,IMPORT_EXCEL
SO-MG260252,SEVENTYFOUR,SHLS SARIS BLUE,IMPORT_EXCEL
SO-MG260253,SEVENTYFOUR,SHLS SARIS PUTIH,IMPORT_EXCEL
SO-MG260254,WARNING,DENIMES 1.463,IMPORT_EXCEL
SO-MG260255,WARNING,DENIMES 1.464,IMPORT_EXCEL
SO-MG260256,SGI,CELANA TATA LOGAM,IMPORT_EXCEL
SO-MG260257,SPYDERBILT ( SMBU ),BIVO MEN PANTS FABRIC KHAKY,IMPORT_EXCEL
SO-MG260258,SPYDERBILT ( SMBU ),BIVO MEN PANTS FABRIC OLIVE,IMPORT_EXCEL
SO-MG260259,SPYDERBILT ( SMBU ),BIVO MEN PANTS FABRIC DARK GREY,IMPORT_EXCEL
SO-MG260260,SPYDERBILT ( SMBU ),BIVO MEN PANTS FABRIC WHEAT,IMPORT_EXCEL
SO-MG260261,WARNING,THERMA#2,IMPORT_EXCEL
SO-MG260262,WARNING,THERMA#4,IMPORT_EXCEL
SO-MG260263,WILMER STUDIOS,KEMEJA SALUR BASIC,IMPORT_EXCEL
SO-MG260264,SERPARANG,KEMEJA PENDEK HIJAU,IMPORT_EXCEL
SO-MG260265,SERPARANG,CELANA  PENDEK HIJAU,IMPORT_EXCEL
SO-MG260266,INSIGHT ( SMBU ),HAKKA SHIRT WHITE,IMPORT_EXCEL
SO-MG260267,WARNING,CALDER#1 HITAM,IMPORT_EXCEL
SO-MG260268,WARNING,CALDER#2 ARMY,IMPORT_EXCEL
SO-MG260269,WARNING,CALDER#3 COFFE,IMPORT_EXCEL
SO-MG260270,WARNING,CALDER#4 MOCCA,IMPORT_EXCEL
SO-MG260271,WARNING,CALDER#5 ABU TUA,IMPORT_EXCEL
SO-MG260272,WARNING,CALDER#6 TAUFE,IMPORT_EXCEL
SO-MG260273,WARNING,ENTDECKEN#1 HITAM,IMPORT_EXCEL
SO-MG260274,WARNING,ENTDECKEN#3 MOCA,IMPORT_EXCEL
SO-MG260275,WARNING,DECOTTON 1.661 HITAM,IMPORT_EXCEL
SO-MG260276,WARNING,DECOTTON 1.662 DK.GREY,IMPORT_EXCEL
SO-MG260277,WARNING,DECOTTON 1.663 MOCCA,IMPORT_EXCEL
SO-MG260278,WARNING,DECOTTON 1.664 KHAKY,IMPORT_EXCEL
SO-MG260279,WARNING,DECOTTON 1.665 LT.GREY,IMPORT_EXCEL
SO-MG260280,WARNING,DECOTON 1.655 RELAXED  HITAM,IMPORT_EXCEL
SO-MG260281,WARNING,DECOTON 1.656 RELAXED  COFFE,IMPORT_EXCEL
SO-MG260282,WARNING,DECOTON 1.657 RELAXED  ABU TUA,IMPORT_EXCEL
SO-MG260283,WARNING,DECOTON 1.658 RELAXED ARMY,IMPORT_EXCEL
SO-MG260284,WARNING,DECOTON 1.659 RELAXED  MOCCA,IMPORT_EXCEL
SO-MG260285,WARNING,DECOTON 1.660 RELAXED TAUFE,IMPORT_EXCEL
SO-MG260286,WARNING,DENIMES 2.55 BLACK,IMPORT_EXCEL
SO-MG260287,WARNING,DENIMES 2.57 BLUE,IMPORT_EXCEL
SO-MG260288,WARNING,DENIMES 2.58 T. ASIN,IMPORT_EXCEL
SO-MG260289,WARNING,DENIMES 2.59 T.ASN,IMPORT_EXCEL
SO-MG260290,WARNING,DENIMES 1.408 MINBLUE,IMPORT_EXCEL
SO-MG260291,WARNING,DENIMES 1.408 BOYFRIEND,IMPORT_EXCEL
SO-MG260292,WARNING,DENIMES 1.408 BLACK,IMPORT_EXCEL
SO-MG260293,WARNING,CARLISLE#2 CREM NAVY,IMPORT_EXCEL
SO-MG260294,WARNING,CARLISLE#3 BLUE,IMPORT_EXCEL
SO-MG260295,WARNING,CARLISLE#4 OLIVE,IMPORT_EXCEL
SO-MG260296,WARNING,CARLISLE#5 SAGE,IMPORT_EXCEL
SO-MG260297,WARNING,AVALANCHE FL NAVY YELLOW,IMPORT_EXCEL
SO-MG260298,WARNING,BRENNER FL NAVY GREY,IMPORT_EXCEL
SO-MG260299,WARNING,CRESTON FL BLACK GREY,IMPORT_EXCEL
SO-MG260300,WARNING,GRAVEN FL BLACK WHITE,IMPORT_EXCEL
SO-MG260301,WARNING,KARSEN FL NAVY GREEN,IMPORT_EXCEL
SO-MG260302,WARNING,MOLVER FL BLACK WHITE,IMPORT_EXCEL
SO-MG260303,WARNING,NORVEN FL BLACK OFF WHITE,IMPORT_EXCEL
SO-MG260304,WARNING,PLAIDEN FL NAVY GREY,IMPORT_EXCEL
SO-MG260305,WARNING,STELLAN FL BLACK GREY,IMPORT_EXCEL
SO-MG260306,WARNING,TORVEN FL BLACK RED GREY,IMPORT_EXCEL
SO-MG260307,WARNING,NORVIK FL#1 HITAM,IMPORT_EXCEL
SO-MG260308,WARNING,NORVIK FL#2 NAVY,IMPORT_EXCEL
SO-MG260309,WARNING,NORVIK FL#3 DRAK BROWN,IMPORT_EXCEL
SO-MG260310,WARNING,NORVIK FL#4 GREEN,IMPORT_EXCEL
SO-MG260311,WARNING,NORVIK FL#5 GREY,IMPORT_EXCEL
SO-MG260312,WARNING,NORVIK FL#6 OFF WHITE,IMPORT_EXCEL
SO-MG260313,WARNING,FIELDEN FL#1 HITAM,IMPORT_EXCEL
SO-MG260314,WARNING,FIELDEN FL#2 NAVY,IMPORT_EXCEL
SO-MG260315,WARNING,FIELDEN FL#3 DRAK BROWN,IMPORT_EXCEL
