bahan_id,tanggal,tipe,jumlah,stok_sebelum,stok_sesudah,referensi_po_spk,catatan,petugas
MG-2604-BH0008,2026-04-17 00:00:00,MASUK,130.0,1293.0,1423.0,-,Warna: HITAM,Import Excel 2026
MG-2604-BH0008,2026-04-17 00:00:00,MASUK,128.0,1423.0,1551.0,-,Warna: HITAM,Import Excel 2026
MG-2604-BH0008,2026-04-17 00:00:00,MASUK,136.0,1551.0,1687.0,-,Warna: TAUPE,Import Excel 2026
MG-2604-BH0008,2026-04-17 00:00:00,MASUK,130.0,1687.0,1817.0,-,Warna: TAUPE,Import Excel 2026
MG-2604-BH0008,2026-04-17 00:00:00,MASUK,130.0,1817.0,1947.0,-,Warna: TAUPE,Import Excel 2026
MG-2604-BH0008,2026-07-05 00:00:00,KELUAR_PRODUKSI,133.0,1947.0,1814.0,SO-MG260062,Warna: BEIGE | Style: NEW OUTER BUTTON BEIGE,Import Excel 2026
MG-2604-BH0008,2026-07-05 00:00:00,KELUAR_PRODUKSI,133.0,1814.0,1681.0,SO-MG260062,Warna: BEIGE | Style: NEW OUTER BUTTON BEIGE,Import Excel 2026
MG-2604-BH0008,2026-07-05 00:00:00,KELUAR_PRODUKSI,127.0,1681.0,1554.0,SO-MG260066,Warna: BEIGE | Style: NEW OUTER ZIPPER BEIGE,Import Excel 2026
MG-2604-BH0008,2026-07-05 00:00:00,KELUAR_PRODUKSI,133.0,1554.0,1421.0,SO-MG260066,Warna: BEIGE | Style: NEW OUTER ZIPPER BEIGE,Import Excel 2026
MG-2604-BH0008,2026-07-05 00:00:00,KELUAR_PRODUKSI,136.0,1421.0,1285.0,SO-MG260063,Warna: DRAK GREY | Style: NEW OUTER BUTTON DRAK GREY,Import Excel 2026
MG-2604-BH0008,2026-07-05 00:00:00,KELUAR_PRODUKSI,131.0,1285.0,1154.0,SO-MG260063,Warna: DRAK GREY | Style: NEW OUTER BUTTON DRAK GREY,Import Excel 2026
MG-2604-BH0008,2026-07-05 00:00:00,KELUAR_PRODUKSI,134.0,1154.0,1020.0,SO-MG260067,Warna: DRAK GREY | Style: NEW OUTER ZIPPER DRAK GREY,Import Excel 2026
MG-2604-BH0008,2026-07-05 00:00:00,KELUAR_PRODUKSI,103.0,1020.0,917.0,SO-MG260067,Warna: DRAK GREY | Style: NEW OUTER ZIPPER DRAK GREY,Import Excel 2026
MG-2604-BH0008,2026-07-05 00:00:00,KELUAR_PRODUKSI,131.0,917.0,786.0,SO-MG260064,Warna: HITAM | Style: NEW OUTER BUTTON BLACK,Import Excel 2026
MG-2604-BH0008,2026-07-05 00:00:00,KELUAR_PRODUKSI,132.0,786.0,654.0,SO-MG260064,Warna: HITAM | Style: NEW OUTER BUTTON BLACK,Import Excel 2026
MG-2604-BH0008,2026-07-05 00:00:00,KELUAR_PRODUKSI,130.0,654.0,524.0,SO-MG260068,Warna: HITAM | Style: NEW OUTER ZIPPER BLACK,Import Excel 2026
MG-2604-BH0008,2026-07-05 00:00:00,KELUAR_PRODUKSI,128.0,524.0,396.0,SO-MG260068,Warna: HITAM | Style: NEW OUTER ZIPPER BLACK,Import Excel 2026
MG-2604-BH0008,2026-07-05 00:00:00,KELUAR_PRODUKSI,136.0,396.0,260.0,SO-MG260065,Warna: TAUPE | Style: NEW OUTER BUTTON TAUPE,Import Excel 2026
MG-2604-BH0008,2026-07-05 00:00:00,KELUAR_PRODUKSI,130.0,260.0,130.0,SO-MG260065,Warna: TAUPE | Style: NEW OUTER BUTTON TAUPE,Import Excel 2026
MG-2604-BH0008,2026-07-05 00:00:00,KELUAR_PRODUKSI,130.0,130.0,0.0,SO-MG260069,Warna: TAUPE | Style: NEW OUTER ZIPPER TAUPE,Import Excel 2026
MG-2604-BH0009,2026-04-22 00:00:00,MASUK,107.28,0.0,107.28,-,Warna: DK.OLIVE,Import Excel 2026
MG-2604-BH0009,2026-04-22 00:00:00,MASUK,115.81,107.28,223.09,-,Warna: DK.OLIVE,Import Excel 2026
MG-2604-BH0009,2026-04-22 00:00:00,MASUK,102.58,223.09,325.67,-,Warna: CHARCOAL,Import Excel 2026
MG-2604-BH0009,2026-04-22 00:00:00,MASUK,107.39,325.67,433.06,-,Warna: CHARCOAL,Import Excel 2026
MG-2604-BH0009,2026-04-22 00:00:00,MASUK,111.0,433.06,544.06,-,Warna: COFFE,Import Excel 2026
MG-2604-BH0009,2026-04-22 00:00:00,MASUK,114.06,544.06,658.12,-,Warna: COFFE,Import Excel 2026
MG-2604-BH0009,2026-04-22 00:00:00,MASUK,112.1,658.12,770.22,-,Warna: BLACK,Import Excel 2026
MG-2604-BH0009,2026-04-22 00:00:00,MASUK,113.85,770.22,884.07,-,Warna: BLACK,Import Excel 2026
MG-2604-BH0009,2026-05-25 00:00:00,KELUAR_PRODUKSI,115.81,884.07,768.26,SO-MG260102,Warna: DK.OLIVE | Style: WIDE CARGO -1,Import Excel 2026
MG-2604-BH0009,2026-05-25 00:00:00,KELUAR_PRODUKSI,107.0,768.26,661.26,SO-MG260103,Warna: DK.OLIVE | Style: WIDE CARGO -2,Import Excel 2026
MG-2604-BH0009,2026-05-25 00:00:00,KELUAR_PRODUKSI,112.1,661.26,549.16,SO-MG260105,Warna: BLACK | Style: WIDE CARGO -4,Import Excel 2026
MG-2604-BH0009,2026-05-25 00:00:00,KELUAR_PRODUKSI,113.85,549.16,435.31,SO-MG260105,Warna: BLACK | Style: WIDE CARGO -4,Import Excel 2026
MG-2604-BH0009,2026-05-25 00:00:00,KELUAR_PRODUKSI,111.0,435.31,324.31,SO-MG260104,Warna: CAFFE | Style: WIDE CARGO -3,Import Excel 2026
MG-2604-BH0009,2026-05-25 00:00:00,KELUAR_PRODUKSI,114.6,324.31,209.71,SO-MG260104,Warna: CAFFE | Style: WIDE CARGO -3,Import Excel 2026
MG-2604-BH0009,2026-05-25 00:00:00,KELUAR_PRODUKSI,102.58,209.71,107.13,SO-MG260103,Warna: CHARCOAL | Style: WIDE CARGO -2,Import Excel 2026
MG-2604-BH0009,2026-05-25 00:00:00,KELUAR_PRODUKSI,107.39,107.13,-0.26,-,Warna: CHARCOAL | RETUR,Import Excel 2026
MG-2604-BH0010,2026-04-24 00:00:00,MASUK,100.0,0.0,100.0,-,Warna: BLACK,Import Excel 2026
MG-2604-BH0010,2026-04-24 00:00:00,MASUK,98.0,100.0,198.0,-,Warna: BLACK,Import Excel 2026
MG-2604-BH0010,2026-04-24 00:00:00,MASUK,120.0,198.0,318.0,-,Warna: BLACK,Import Excel 2026
MG-2604-BH0010,2026-07-05 00:00:00,KELUAR_PRODUKSI,318.0,318.0,0.0,SO-MG260030,Warna: BLUE | Style: DENIM SNOW  BLACK,Import Excel 2026
MG-2604-BH0011,2026-04-24 00:00:00,MASUK,91.0,0.0,91.0,-,Warna: BLUE,Import Excel 2026
MG-2604-BH0011,2026-04-24 00:00:00,MASUK,87.0,91.0,178.0,-,Warna: BLUE,Import Excel 2026
MG-2604-BH0011,2026-04-24 00:00:00,MASUK,84.0,178.0,262.0,-,Warna: BLUE,Import Excel 2026
MG-2604-BH0011,2026-04-24 00:00:00,MASUK,84.0,262.0,346.0,-,Warna: BLUE,Import Excel 2026
MG-2604-BH0011,2026-04-24 00:00:00,MASUK,91.0,346.0,437.0,-,Warna: BLUE,Import Excel 2026
MG-2604-BH0011,2026-04-24 00:00:00,MASUK,82.0,437.0,519.0,-,Warna: BLUE,Import Excel 2026
MG-2604-BH0011,2026-04-24 00:00:00,MASUK,86.0,519.0,605.0,-,Warna: BLUE,Import Excel 2026
MG-2604-BH0011,2026-07-05 00:00:00,KELUAR_PRODUKSI,605.0,605.0,0.0,SO-MG260027,Warna: BLUE | Style: DENIM RIPPED,Import Excel 2026
MG-2604-BH0012,2026-04-24 00:00:00,MASUK,236.0,0.0,236.0,-,Warna: BLUE,Import Excel 2026
MG-2604-BH0012,2026-04-24 00:00:00,MASUK,235.0,236.0,471.0,-,Warna: BLUE,Import Excel 2026
MG-2604-BH0012,2026-04-24 00:00:00,MASUK,234.0,471.0,705.0,-,Warna: BLUE,Import Excel 2026
MG-2604-BH0012,2026-07-05 00:00:00,KELUAR_PRODUKSI,176.25,705.0,528.75,SO-MG260031,Warna: BLUE | Style: KMJ PJG BASIC O9292,Import Excel 2026
MG-2604-BH0012,2026-07-05 00:00:00,KELUAR_PRODUKSI,176.25,528.75,352.5,SO-MG260032,Warna: BLUE | Style: KMJ PJG BASIC O9293,Import Excel 2026
MG-2604-BH0012,2026-07-05 00:00:00,KELUAR_PRODUKSI,176.25,352.5,176.25,SO-MG260033,Warna: BLUE | Style: KMJ PDK BASIC O9294,Import Excel 2026
MG-2604-BH0012,2026-07-05 00:00:00,KELUAR_PRODUKSI,176.25,176.25,0.0,SO-MG260034,Warna: BLUE | Style: KMJ PDK BASIC O9295,Import Excel 2026
MG-2604-BH0013,2026-04-24 00:00:00,MASUK,72.0,0.0,72.0,-,Warna: HITAM,Import Excel 2026
MG-2604-BH0013,2026-04-24 00:00:00,MASUK,82.5,72.0,154.5,-,Warna: HITAM,Import Excel 2026
MG-2604-BH0013,2026-04-24 00:00:00,MASUK,50.0,154.5,204.5,-,Warna: NAVY,Import Excel 2026
MG-2604-BH0013,2026-04-24 00:00:00,MASUK,61.0,204.5,265.5,-,Warna: NAVY,Import Excel 2026
MG-2604-BH0013,2026-04-24 00:00:00,MASUK,105.0,265.5,370.5,-,Warna: COKLAT MUDA,Import Excel 2026
MG-2604-BH0013,2026-04-24 00:00:00,MASUK,64.0,370.5,434.5,-,Warna: CREAM,Import Excel 2026
MG-2604-BH0013,2026-04-24 00:00:00,MASUK,78.0,434.5,512.5,-,Warna: COKLAT TUA,Import Excel 2026
MG-2604-BH0013,2026-04-24 00:00:00,MASUK,92.5,512.5,605.0,-,Warna: COKLAT TUA,Import Excel 2026
MG-2604-BH0013,2026-04-24 00:00:00,MASUK,74.0,605.0,679.0,-,Warna: HITAM GUDANG,Import Excel 2026
MG-2604-BH0013,2026-07-05 00:00:00,KELUAR_PRODUKSI,74.0,679.0,605.0,SO-MG260036,Warna: BLACK | Style: STRIATA#1,Import Excel 2026
MG-2604-BH0013,2026-07-05 00:00:00,KELUAR_PRODUKSI,61.0,605.0,544.0,SO-MG260037,Warna: NAVY | Style: STRIATA#3,Import Excel 2026
MG-2604-BH0013,2026-07-05 00:00:00,KELUAR_PRODUKSI,78.0,544.0,466.0,SO-MG260038,Warna: COKLAT SEDANG | Style: STRIATA#4,Import Excel 2026
MG-2604-BH0013,2026-07-05 00:00:00,KELUAR_PRODUKSI,82.5,466.0,383.5,SO-MG260039,Warna: BLACK | Style: CORELINE CY#1,Import Excel 2026
MG-2604-BH0013,2026-07-05 00:00:00,KELUAR_PRODUKSI,92.5,383.5,291.0,SO-MG260040,Warna: COKLAT SEDANG | Style: CORELINE CY#2,Import Excel 2026
MG-2604-BH0013,2026-07-05 00:00:00,KELUAR_PRODUKSI,72.0,291.0,219.0,SO-MG260041,Warna: BLACK | Style: CORDIER CY#1,Import Excel 2026
MG-2604-BH0013,2026-07-05 00:00:00,KELUAR_PRODUKSI,50.0,219.0,169.0,SO-MG260042,Warna: NAVY | Style: CORDIER CY#2,Import Excel 2026
MG-2604-BH0013,2026-07-05 00:00:00,KELUAR_PRODUKSI,105.0,169.0,64.0,SO-MG260043,Warna: COKLAT MUDA | Style: CORDIER CY#3,Import Excel 2026
MG-2604-BH0013,2026-07-05 00:00:00,KELUAR_PRODUKSI,64.0,64.0,0.0,SO-MG260044,Warna: CREAM MUDA | Style: CORDIER CY#4,Import Excel 2026
MG-2604-BH0014,2026-04-24 00:00:00,MASUK,50.0,0.0,50.0,-,Warna: COKLAT,Import Excel 2026
MG-2604-BH0014,2026-07-05 00:00:00,KELUAR_PRODUKSI,50.0,50.0,0.0,SO-MG260045,Warna: CERAMEL | Style: VAVERN LN#3,Import Excel 2026
MG-2604-BH0015,2026-04-24 00:00:00,MASUK,73.0,0.0,73.0,-,Warna: HITAM,Import Excel 2026
MG-2604-BH0015,2026-06-22 00:00:00,KELUAR_PRODUKSI,73.0,73.0,0.0,SO-MG260182,Warna: HITAM | Style: DECOTON 1.648,Import Excel 2026
MG-2604-BH0016,2026-04-25 00:00:00,MASUK,190.0,0.0,190.0,-,Warna: BLACK,Import Excel 2026
MG-2604-BH0016,2026-04-25 00:00:00,MASUK,380.0,190.0,570.0,-,Warna: CHATIME,Import Excel 2026
MG-2604-BH0016,2026-04-25 00:00:00,MASUK,285.0,570.0,855.0,-,Warna: JEANS,Import Excel 2026
MG-2604-BH0016,2026-04-25 00:00:00,MASUK,190.0,855.0,1045.0,-,Warna: ASPARAGUS,Import Excel 2026
MG-2604-BH0016,2026-04-25 00:00:00,MASUK,380.0,1045.0,1425.0,-,Warna: COCOA,Import Excel 2026
MG-2604-BH0016,2026-04-25 00:00:00,MASUK,190.0,1425.0,1615.0,-,Warna: BUBBLEGUM,Import Excel 2026
MG-2604-BH0016,2026-05-12 00:00:00,KELUAR_PRODUKSI,190.0,1615.0,1425.0,SO-MG260070,Warna: BLACK | Style: REXTURED SHIRT BLACK,Import Excel 2026
MG-2604-BH0016,2026-05-12 00:00:00,KELUAR_PRODUKSI,380.0,1425.0,1045.0,SO-MG260071,Warna: CHATIME | Style: REXTURED SHIRT CHATIME,Import Excel 2026
MG-2604-BH0016,2026-05-12 00:00:00,KELUAR_PRODUKSI,285.0,1045.0,760.0,SO-MG260072,Warna: JEANS | Style: REXTURED SHIRT JEANS,Import Excel 2026
MG-2604-BH0016,2026-05-12 00:00:00,KELUAR_PRODUKSI,190.0,760.0,570.0,SO-MG260073,Warna: ASPARAGUS | Style: REXTURED SHIRT ASPARAGUS,Import Excel 2026
MG-2604-BH0016,2026-05-12 00:00:00,KELUAR_PRODUKSI,380.0,570.0,190.0,SO-MG260074,Warna: COCOA | Style: REXTURED SHIRT COCOA,Import Excel 2026
MG-2604-BH0016,2026-05-12 00:00:00,KELUAR_PRODUKSI,190.0,190.0,0.0,SO-MG260075,Warna: BUBBLEGUM | Style: REXTURED SHIRT BUBLEGUM,Import Excel 2026
MG-2604-BH0017,2026-04-25 00:00:00,MASUK,1398.58,0.0,1398.58,-,Warna: GREY,Import Excel 2026
MG-2604-BH0017,2026-05-11 00:00:00,KELUAR_PRODUKSI,1398.58,1398.58,0.0,SO-MG260061,Warna: GREY | Style: 51 DOLAR,Import Excel 2026
MG-2604-BH0018,2026-04-27 00:00:00,MASUK,834.0,0.0,834.0,-,Warna: PUTIH,Import Excel 2026
MG-2604-BH0018,2026-04-27 00:00:00,MASUK,411.0,834.0,1245.0,-,Warna: HITAM,Import Excel 2026
MG-2604-BH0018,2026-07-05 00:00:00,KELUAR_PRODUKSI,834.0,1245.0,411.0,SO-MG260047,Warna: PUTIH | Style: KMJ BASIC SAKU PUTIH (04),Import Excel 2026
MG-2604-BH0018,2026-07-05 00:00:00,KELUAR_PRODUKSI,411.0,411.0,0.0,SO-MG260046,Warna: BLACK | Style: KMJ BASIC SAKU BLACK (04),Import Excel 2026
MG-2604-BH0019,2026-04-27 00:00:00,MASUK,613.0,0.0,613.0,-,Warna: BLUE,Import Excel 2026
MG-2604-BH0019,2026-07-05 00:00:00,KELUAR_PRODUKSI,306.5,613.0,306.5,SO-MG260048,Warna: BLUE | Style: JEANS JACKET INDIGO BLUE,Import Excel 2026
MG-2604-BH0019,2026-07-05 00:00:00,KELUAR_PRODUKSI,306.5,306.5,0.0,SO-MG260049,Warna: BLUE | Style: JEANS JACKET LIGHT BLUE,Import Excel 2026
MG-2604-BH0020,2026-04-29 00:00:00,MASUK,255.0,0.0,255.0,-,Warna: DK BEIGE,Import Excel 2026
MG-2604-BH0020,2026-07-05 00:00:00,KELUAR_PRODUKSI,127.5,255.0,127.5,SO-MG260054,Warna: BLUE | Style: BENNET,Import Excel 2026
MG-2604-BH0020,2026-07-05 00:00:00,KELUAR_PRODUKSI,127.5,127.5,0.0,SO-MG260055,Warna: BLUE | Style: HALFDAN,Import Excel 2026
MG-2604-BH0021,2026-04-29 00:00:00,MASUK,100.0,0.0,100.0,-,Warna: DK BEIGE,Import Excel 2026
MG-2604-BH0021,2026-04-29 00:00:00,MASUK,120.5,100.0,220.5,-,Warna: DK BEIGE,Import Excel 2026
MG-2604-BH0021,2026-07-05 00:00:00,KELUAR_PRODUKSI,220.5,220.5,0.0,SO-MG260053,"Warna: BLUE | Style: DENIMES 2,58 ( REGULER )",Import Excel 2026
MG-2604-BH0022,2026-05-07 00:00:00,MASUK,89.0,0.0,89.0,-,Warna: DK BEIGE,Import Excel 2026
MG-2604-BH0022,2026-05-07 00:00:00,MASUK,132.0,89.0,221.0,-,Warna: DK BEIGE,Import Excel 2026
MG-2604-BH0022,2026-05-07 00:00:00,MASUK,135.0,221.0,356.0,-,Warna: DK BEIGE,Import Excel 2026
MG-2604-BH0022,2026-05-07 00:00:00,MASUK,46.0,356.0,402.0,-,Warna: DK BEIGE,Import Excel 2026
MG-2604-BH0022,2026-05-07 00:00:00,MASUK,82.0,402.0,484.0,-,Warna: DK BEIGE,Import Excel 2026
MG-2604-BH0022,2026-05-07 00:00:00,MASUK,109.0,484.0,593.0,-,Warna: DK BEIGE,Import Excel 2026
MG-2604-BH0022,2026-05-07 00:00:00,MASUK,119.0,593.0,712.0,-,Warna: DK BEIGE,Import Excel 2026
MG-2604-BH0022,2026-05-07 00:00:00,MASUK,120.0,712.0,832.0,-,Warna: DK BEIGE,Import Excel 2026
MG-2604-BH0022,2026-05-07 00:00:00,MASUK,125.0,832.0,957.0,-,Warna: DK BEIGE,Import Excel 2026
MG-2604-BH0022,2026-05-07 00:00:00,MASUK,125.0,957.0,1082.0,-,Warna: DK BEIGE,Import Excel 2026
MG-2604-BH0022,2026-05-07 00:00:00,MASUK,125.0,1082.0,1207.0,-,Warna: DK BEIGE,Import Excel 2026
MG-2604-BH0022,2026-05-07 00:00:00,MASUK,127.0,1207.0,1334.0,-,Warna: DK BEIGE,Import Excel 2026
MG-2604-BH0022,2026-05-07 00:00:00,MASUK,132.5,1334.0,1466.5,-,Warna: DK BEIGE,Import Excel 2026
MG-2604-BH0022,2026-05-07 00:00:00,MASUK,133.0,1466.5,1599.5,-,Warna: DK BEIGE,Import Excel 2026
MG-2604-BH0022,2026-05-07 00:00:00,MASUK,126.5,1599.5,1726.0,-,Warna: DK BEIGE,Import Excel 2026
MG-2604-BH0022,2026-05-07 00:00:00,MASUK,131.0,1726.0,1857.0,-,Warna: DK BEIGE,Import Excel 2026
MG-2604-BH0022,2026-05-07 00:00:00,MASUK,101.54,1857.0,1958.54,-,Warna: DK BEIGE,Import Excel 2026
MG-2604-BH0022,2026-05-07 00:00:00,MASUK,111.13,1958.54,2069.67,-,Warna: DK BEIGE,Import Excel 2026
MG-2604-BH0022,2026-06-29 00:00:00,KELUAR_PRODUKSI,1710.5,2069.67,359.17,SO-MG260184,Warna: BEIGE | Style: BERTOLT MEN PANTS FABRIC,Import Excel 2026
MG-2604-BH0022,2026-07-22 00:00:00,KELUAR_PRODUKSI,246.5,359.17,112.67,SO-MG260184,Warna: BEIGE | Style: BERTOLT MEN PANTS FABRIC,Import Excel 2026
MG-2604-BH0022,2026-08-12 00:00:00,KELUAR_PRODUKSI,113.0,112.67,-0.33,-,Warna: BEIGE,Import Excel 2026
MG-2604-BH0023,2026-05-11 00:00:00,MASUK,60.0,0.0,60.0,-,Warna: HITAM,Import Excel 2026
MG-2604-BH0023,2026-05-11 00:00:00,KELUAR_PRODUKSI,25.0,60.0,35.0,SO-MG260036,Warna: BLACK | Style: STRIATA#1 | 3 STYLE,Import Excel 2026
MG-2604-BH0024,2026-05-16 00:00:00,MASUK,100.0,0.0,100.0,-,Warna: HITAM,Import Excel 2026
MG-2604-BH0024,2026-05-16 00:00:00,MASUK,100.0,100.0,200.0,-,Warna: HITAM,Import Excel 2026
MG-2604-BH0024,2026-05-16 00:00:00,MASUK,100.0,200.0,300.0,-,Warna: HITAM,Import Excel 2026
MG-2604-BH0024,2026-05-16 00:00:00,MASUK,100.0,300.0,400.0,-,Warna: OFFWHITE,Import Excel 2026
MG-2604-BH0024,2026-05-16 00:00:00,MASUK,100.0,400.0,500.0,-,Warna: OFFWHITE,Import Excel 2026
MG-2604-BH0024,2026-05-16 00:00:00,MASUK,100.0,500.0,600.0,-,Warna: OFFWHITE,Import Excel 2026
MG-2604-BH0024,2026-05-16 00:00:00,MASUK,100.0,600.0,700.0,-,Warna: NAVY20,Import Excel 2026
MG-2604-BH0024,2026-05-16 00:00:00,MASUK,100.0,700.0,800.0,-,Warna: NAVY20,Import Excel 2026
MG-2604-BH0024,2026-05-16 00:00:00,MASUK,100.0,800.0,900.0,-,Warna: NAVY20,Import Excel 2026
MG-2604-BH0024,2026-05-16 00:00:00,MASUK,100.0,900.0,1000.0,-,Warna: HITAM,Import Excel 2026
MG-2604-BH0024,2026-05-16 00:00:00,MASUK,100.0,1000.0,1100.0,-,Warna: HITAM,Import Excel 2026
MG-2604-BH0024,2026-05-16 00:00:00,MASUK,100.0,1100.0,1200.0,-,Warna: OFFWHITE,Import Excel 2026
MG-2604-BH0024,2026-05-16 00:00:00,MASUK,100.0,1200.0,1300.0,-,Warna: OFFWHITE,Import Excel 2026
MG-2604-BH0024,2026-05-16 00:00:00,MASUK,100.0,1300.0,1400.0,-,Warna: MOCCA BW85,Import Excel 2026
MG-2604-BH0024,2026-05-16 00:00:00,MASUK,100.0,1400.0,1500.0,-,Warna: MOCCA BW85,Import Excel 2026
MG-2604-BH0024,2026-05-20 00:00:00,KELUAR_PRODUKSI,150.0,1500.0,1350.0,SO-MG260076,Warna: BLACK | Style: ARVYN LN#1  18,Import Excel 2026
MG-2604-BH0024,2026-05-20 00:00:00,KELUAR_PRODUKSI,150.0,1350.0,1200.0,SO-MG260077,Warna: NAVY | Style: ARVYN LN#2 18,Import Excel 2026
MG-2604-BH0024,2026-05-20 00:00:00,KELUAR_PRODUKSI,150.0,1200.0,1050.0,SO-MG260079,Warna: OFFWHITE | Style: ARVYN LN#6 18,Import Excel 2026
MG-2604-BH0024,2026-05-20 00:00:00,KELUAR_PRODUKSI,150.0,1050.0,900.0,SO-MG260080,Warna: BLACK | Style: VELAR LV#1 18,Import Excel 2026
MG-2604-BH0024,2026-05-20 00:00:00,KELUAR_PRODUKSI,150.0,900.0,750.0,SO-MG260081,Warna: NAVY | Style: VELAR LV#2 18,Import Excel 2026
MG-2604-BH0024,2026-05-20 00:00:00,KELUAR_PRODUKSI,150.0,750.0,600.0,SO-MG260082,Warna: BW MOCCA | Style: VELAR LV#5 18,Import Excel 2026
MG-2604-BH0024,2026-05-20 00:00:00,KELUAR_PRODUKSI,100.0,600.0,500.0,SO-MG260083,Warna: OFFWHITE | Style: VELAR LV#6 18,Import Excel 2026
MG-2604-BH0024,2026-06-02 00:00:00,KELUAR_PRODUKSI,100.0,500.0,400.0,SO-MG260084,Warna: BLACK | Style: SKIVE LN#1 REG-FIT,Import Excel 2026
MG-2604-BH0024,2026-06-02 00:00:00,KELUAR_PRODUKSI,100.0,400.0,300.0,SO-MG260078,Warna: BW MOCCA | Style: SKIVE LN#5 REG-FIT,Import Excel 2026
MG-2604-BH0024,2026-06-02 00:00:00,KELUAR_PRODUKSI,100.0,300.0,200.0,SO-MG260085,Warna: OFF WHITE | Style: SKIVE LN#6 REG FIT,Import Excel 2026
MG-2604-BH0024,2026-06-02 00:00:00,KELUAR_PRODUKSI,100.0,200.0,100.0,SO-MG260086,Warna: BLACK | Style: AVIGNON LN#1 REG FIT,Import Excel 2026
