so_number,cutting_date,qty_cut,main_fabric_used,puring_used,main_consumption_rate,puring_consumption_rate,_REKONSILIASI
SO-MG260064,2026-05-11,164,263.0,32.8,1.6037,0.2,"BEDA main_fabric_used: excel=263.0 prod=213.2 | PERLU KEPUTUSAN: puring_used kosong di Excel, prod=32.8 (dipertahankan) | BEDA main_consumption_rate: excel=1.6037 prod=1.3 | PERLU KEPUTUSAN: puring_consumption_rate kosong di Excel, prod=0.2 (dipertahankan)"
SO-MG260065,2026-05-13,166,266.0,0.0,1.6024,0.0,OK - sama dengan prod
SO-MG260066,2026-05-13,138,260.0,0.0,1.8841,0.0,OK - sama dengan prod
SO-MG260067,2026-05-13,125,237.0,0.0,1.896,0.0,OK - sama dengan prod
SO-MG260068,2026-05-13,134,258.0,0.0,1.9254,0.0,OK - sama dengan prod
SO-MG260069,2026-05-13,71,130.0,0.0,1.831,0.0,OK - sama dengan prod
SO-MG260076,2026-05-20,120,150.0,24.0,1.25,0.2,"BEDA main_fabric_used: excel=150.0 prod=156.0 | PERLU KEPUTUSAN: puring_used kosong di Excel, prod=24.0 (dipertahankan) | BEDA main_consumption_rate: excel=1.25 prod=1.3 | PERLU KEPUTUSAN: puring_consumption_rate kosong di Excel, prod=0.2 (dipertahankan)"
SO-MG260077,2026-05-20,120,150.0,0.0,1.25,0.0,OK - sama dengan prod
SO-MG260078,2026-06-01,78,100.0,15.6,1.2821,0.2,"BEDA main_fabric_used: excel=100.0 prod=101.4 | PERLU KEPUTUSAN: puring_used kosong di Excel, prod=15.6 (dipertahankan) | BEDA main_consumption_rate: excel=1.2821 prod=1.3 | PERLU KEPUTUSAN: puring_consumption_rate kosong di Excel, prod=0.2 (dipertahankan)"
SO-MG260079,2026-05-20,120,150.0,0.0,1.25,0.0,OK - sama dengan prod
SO-MG260080,2026-05-20,97,150.0,0.0,1.5464,0.0,OK - sama dengan prod
SO-MG260081,2026-05-20,102,150.0,0.0,1.4706,0.0,OK - sama dengan prod
SO-MG260082,2026-05-20,69,100.0,0.0,1.4493,0.0,OK - sama dengan prod
SO-MG260083,2026-05-20,106,150.0,0.0,1.4151,0.0,OK - sama dengan prod
SO-MG260084,2026-06-01,75,100.0,0.0,1.3333,0.0,OK - sama dengan prod
SO-MG260085,2026-06-01,79,100.0,0.0,1.2658,0.0,OK - sama dengan prod
SO-MG260086,2026-06-01,65,100.0,0.0,1.5385,0.0,OK - sama dengan prod
SO-MG260087,2026-06-01,65,100.0,0.0,1.5385,0.0,OK - sama dengan prod
SO-MG260092,2026-05-25,392,559.0,0.0,1.426,0.0,OK - sama dengan prod
SO-MG260093,2026-05-25,418,559.0,0.0,1.3373,0.0,OK - sama dengan prod
SO-MG260102,2026-05-26,59,115.81,12.0,1.9629,0.2034,OK - sama dengan prod
SO-MG260103,2026-05-26,112,209.58,23.0,1.8713,0.2054,OK - sama dengan prod
SO-MG260104,2026-05-26,124,225.6,23.0,1.8194,0.1855,OK - sama dengan prod
SO-MG260105,2026-05-26,122,225.95,23.0,1.852,0.1885,OK - sama dengan prod
SO-MG260106,2026-06-10,102,120.0,0.0,1.1765,0.0,OK - sama dengan prod
SO-MG260107,2026-06-10,97,117.0,0.0,1.2062,0.0,OK - sama dengan prod
SO-MG260115,2026-05-29,120,199.0,28.2,1.6583,0.235,OK - sama dengan prod
SO-MG260116,2026-05-29,120,183.8,28.2,1.5317,0.235,OK - sama dengan prod
SO-MG260117,2026-05-29,120,203.0,28.2,1.6917,0.235,OK - sama dengan prod
SO-MG260118,2026-05-29,114,182.0,28.2,1.5965,0.2474,OK - sama dengan prod
SO-MG260119,2026-05-29,120,204.0,28.2,1.7,0.235,OK - sama dengan prod
SO-MG260120,2026-06-01,232,207.0,22.5,0.8922,0.097,OK - sama dengan prod
SO-MG260121,2026-06-01,230,205.0,22.5,0.8913,0.0978,OK - sama dengan prod
SO-MG260128,2026-06-01,62,100.0,0.0,1.6129,0.0,OK - sama dengan prod
SO-MG260129,2026-06-01,64,100.0,0.0,1.5625,0.0,OK - sama dengan prod
SO-MG260130,2026-06-01,64,100.0,0.0,1.5625,0.0,OK - sama dengan prod
SO-MG260131,2026-06-01,104,151.0,12.0,1.4519,0.1154,OK - sama dengan prod
SO-MG260132,2026-06-01,80,113.0,10.0,1.4125,0.125,OK - sama dengan prod
SO-MG260133,2026-06-01,104,144.0,12.0,1.3846,0.1154,OK - sama dengan prod
SO-MG260134,2026-06-01,105,149.0,12.0,1.419,0.1143,OK - sama dengan prod
SO-MG260135,2026-06-01,72,105.0,8.0,1.4583,0.1111,OK - sama dengan prod
SO-MG260136,2026-06-01,125,107.0,23.25,0.856,0.186,OK - sama dengan prod
SO-MG260137,2026-06-01,106,104.4,23.25,0.9849,0.2193,OK - sama dengan prod
SO-MG260138,2026-06-01,125,108.1,23.25,0.8648,0.186,OK - sama dengan prod
SO-MG260140,2026-06-01,125,107.5,23.25,0.86,0.186,OK - sama dengan prod
SO-MG260141,2026-06-10,1002,1264.0,0.0,1.2615,0.0,OK - sama dengan prod
SO-MG260142,2026-06-10,125,160.2,12.0,1.2816,0.096,OK - sama dengan prod
SO-MG260143,2026-06-10,125,154.9,12.0,1.2392,0.096,OK - sama dengan prod
SO-MG260144,2026-06-10,125,158.7,12.0,1.2696,0.096,OK - sama dengan prod
SO-MG260145,2026-06-10,140,205.0,16.55,1.4643,0.1182,OK - sama dengan prod
SO-MG260146,2026-06-10,140,187.0,16.55,1.3357,0.1182,OK - sama dengan prod
SO-MG260147,2026-06-10,140,187.0,16.55,1.3357,0.1182,OK - sama dengan prod
SO-MG260148,2026-06-10,107,96.0,21.25,0.8972,0.2214,OK - sama dengan prod
SO-MG260149,2026-06-10,120,99.0,21.25,0.825,0.2214,OK - sama dengan prod
SO-MG260150,2026-06-10,67,72.0,0.0,1.0746,0.0,OK - sama dengan prod
SO-MG260151,2026-06-10,73,80.0,0.0,1.0959,0.0,OK - sama dengan prod
SO-MG260158,2026-06-18,304,525.0,0.0,1.727,0.0,OK - sama dengan prod
SO-MG260159,2026-06-18,343,491.0,79.0,1.4315,0.2992,OK - sama dengan prod
SO-MG260160,2026-06-18,416,455.0,0.0,1.0938,0.0,OK - sama dengan prod
SO-MG260162,2026-06-18,102,121.0,0.0,1.1863,0.0,OK - sama dengan prod
SO-MG260163,2026-06-18,104,122.0,0.0,1.1731,0.0,OK - sama dengan prod
SO-MG260164,2026-06-18,104,125.0,0.0,1.2019,0.0,OK - sama dengan prod
SO-MG260165,2026-06-18,100,116.0,0.0,1.16,0.0,OK - sama dengan prod
SO-MG260166,2026-06-18,94,118.0,0.0,1.2553,0.0,OK - sama dengan prod
SO-MG260167,2026-06-18,86,127.0,0.0,1.4767,0.0,OK - sama dengan prod
SO-MG260168,2026-06-18,82,124.0,0.0,1.5122,0.0,OK - sama dengan prod
SO-MG260169,2026-06-18,84,125.0,0.0,1.4881,0.0,OK - sama dengan prod
SO-MG260170,2026-06-18,78,116.0,0.0,1.4872,0.0,OK - sama dengan prod
SO-MG260171,2026-06-18,78,118.0,0.0,1.5128,0.0,OK - sama dengan prod
SO-MG260172,2026-06-22,84,134.0,0.0,1.5952,0.0,OK - sama dengan prod
SO-MG260173,2026-06-22,90,140.0,0.0,1.5556,0.0,OK - sama dengan prod
SO-MG260174,2026-06-22,108,181.0,0.0,1.6759,0.0,OK - sama dengan prod
SO-MG260175,2026-06-22,64,99.0,0.0,1.5469,0.0,OK - sama dengan prod
SO-MG260176,2026-06-22,112,176.0,0.0,1.5714,0.0,OK - sama dengan prod
SO-MG260177,2026-06-22,94,147.0,0.0,1.5638,0.0,OK - sama dengan prod
SO-MG260178,2026-06-22,82,138.0,0.0,1.6829,0.0,OK - sama dengan prod
SO-MG260179,2026-06-22,90,148.0,0.0,1.6444,0.0,OK - sama dengan prod
SO-MG260182,2026-06-21,52,73.0,12.0,1.4038,0.2308,OK - sama dengan prod
SO-MG260183,2026-06-21,124,87.96,0.0,0.7094,0.0,OK - sama dengan prod
SO-MG26100620,2026-06-21,44,0.0,0.0,0.0,0.0,OK - sama dengan prod
SO-MG26100621,2026-06-21,53,0.0,0.0,0.0,0.0,OK - sama dengan prod
SO-MG26100622,2026-06-21,43,0.0,0.0,0.0,0.0,OK - sama dengan prod
SO-MG26100623,2026-06-21,49,0.0,0.0,0.0,0.0,OK - sama dengan prod
SO-MG26100624,2026-06-21,92,0.0,0.0,0.0,0.0,OK - sama dengan prod
SO-MG26100625,2026-06-21,97,0.0,0.0,0.0,0.0,OK - sama dengan prod
SO-MG26100626,2026-06-25,92,0.0,0.0,0.0,0.0,OK - sama dengan prod
SO-MG26100627,2026-06-25,97,0.0,0.0,0.0,0.0,OK - sama dengan prod
SO-MG26100628,2026-06-25,48,0.0,0.0,0.0,0.0,OK - sama dengan prod
SO-MG26100629,2026-06-26,21,0.0,0.0,0.0,0.0,OK - sama dengan prod
SO-MG26100630,2026-06-26,25,0.0,0.0,0.0,0.0,OK - sama dengan prod
SO-MG26100631,2026-06-26,23,0.0,0.0,0.0,0.0,OK - sama dengan prod
SO-MG26100632,2026-06-26,25,0.0,0.0,0.0,0.0,OK - sama dengan prod
SO-MG26100633,2026-06-27,23,0.0,0.0,0.0,0.0,OK - sama dengan prod
SO-MG26100634,2026-06-27,24,0.0,0.0,0.0,0.0,OK - sama dengan prod
SO-MG26100635,2026-06-27,21,0.0,0.0,0.0,0.0,OK - sama dengan prod
SO-MG26100636,2026-06-27,24,0.0,0.0,0.0,0.0,OK - sama dengan prod
SO-MG260185,2026-06-30,146,124.6,0.0,0.8534,0.0,OK - sama dengan prod
SO-MG260186,2026-06-30,132,113.9,0.0,0.8629,0.0,OK - sama dengan prod
SO-MG260187,2026-06-30,146,125.0,0.0,0.8562,0.0,OK - sama dengan prod
SO-MG260188,2026-06-30,114,98.0,0.0,0.8596,0.0,OK - sama dengan prod
SO-MG260184,2026-06-30,1212,1701.64,0.0,1.404,0.0,OK - sama dengan prod
SO-MG260189,2026-07-01,235,87.81,0.0,0.3737,0.0,OK - sama dengan prod
SO-MG260190,2026-07-01,124,43.65,0.0,0.352,0.0,OK - sama dengan prod
SO-MG260194,2026-07-05,134,119.4,0.0,0.891,0.0,OK - sama dengan prod
SO-MG260195,2026-07-05,78,68.6,0.0,0.8795,0.0,OK - sama dengan prod
SO-MG260196,2026-07-05,62,54.9,0.0,0.8855,0.0,OK - sama dengan prod
SO-MG260197,2026-07-05,70,61.3,0.0,0.8757,0.0,OK - sama dengan prod
SO-MG260198,2026-07-05,96,84.2,0.0,0.8771,0.0,OK - sama dengan prod
SO-MG260203,2026-07-07,108,165.0,0.0,1.5278,0.0,OK - sama dengan prod
SO-MG260204,2026-07-07,96,146.6,0.0,1.5271,0.0,OK - sama dengan prod
SO-MG260205,2026-07-07,90,135.6,0.0,1.5067,0.0,OK - sama dengan prod
SO-MG260206,2026-07-07,54,75.0,0.0,1.3889,0.0,OK - sama dengan prod
SO-MG260191,2026-07-07,74,119.3,0.0,1.6122,0.0,OK - sama dengan prod
SO-MG260192,2026-07-07,82,132.8,0.0,1.6195,0.0,OK - sama dengan prod
SO-MG260193,2026-07-07,84,114.3,0.0,1.3607,0.0,OK - sama dengan prod
SO-MG260199,2026-07-07,60,73.5,0.0,1.225,0.0,OK - sama dengan prod
SO-MG260200,2026-07-07,58,73.3,0.0,1.2638,0.0,OK - sama dengan prod
SO-MG260201,2026-07-07,88,108.6,0.0,1.2341,0.0,OK - sama dengan prod
SO-MG260202,2026-07-07,64,80.0,0.0,1.25,0.0,OK - sama dengan prod
SO-MG260210,2026-07-08,324,540.0,0.0,1.6667,0.0,OK - sama dengan prod
SO-MG260207,2026-07-08,85,141.0,0.0,1.6588,0.0,OK - sama dengan prod
SO-MG260208,2026-07-09,83,138.0,0.0,1.6627,0.0,OK - sama dengan prod
SO-MG260209,2026-07-10,48,80.37,0.0,1.6744,0.0,OK - sama dengan prod
SO-MG260211,2026-07-10,132,189.0,0.0,1.4318,0.0,OK - sama dengan prod
SO-MG260212,2026-07-10,333,467.0,0.0,1.4024,0.0,OK - sama dengan prod
SO-MG260213,2026-07-10,164,243.0,0.0,1.4817,0.0,OK - sama dengan prod
SO-MG260214,2026-07-10,452,626.0,0.0,1.385,0.0,OK - sama dengan prod
SO-MG260226,2026-07-10,1030,1371.07,120.0,1.3311,0.1165,OK - sama dengan prod
SO-MG260227,2026-07-10,424,501.8,120.0,1.1835,0.283,OK - sama dengan prod
SO-MG260228,2026-07-10,372,485.8,120.0,1.3059,0.3226,OK - sama dengan prod
SO-MG260229,2026-07-10,496,647.16,120.0,1.3048,0.2419,OK - sama dengan prod
SO-MG260215,2026-07-10,834,658.03,90.0,0.789,0.1079,OK - sama dengan prod
SO-MG260216,2026-07-10,320,256.0,90.0,0.8,0.2812,OK - sama dengan prod
SO-MG260217,2026-07-10,304,243.2,90.0,0.8,0.2961,OK - sama dengan prod
SO-MG260218,2026-07-10,348,306.24,90.0,0.88,0.2586,OK - sama dengan prod
SO-MG260239,2026-07-10,880,1082.4,120.0,1.23,0.1364,OK - sama dengan prod
SO-MG260240,2026-07-10,322,354.2,120.0,1.1,0.3727,OK - sama dengan prod
SO-MG260241,2026-07-10,250,300.0,120.0,1.2,0.48,OK - sama dengan prod
SO-MG260242,2026-07-10,370,444.0,120.0,1.2,0.3243,OK - sama dengan prod
SO-MG260235,2026-07-10,830,1286.5,30.0,1.55,0.0361,OK - sama dengan prod
SO-MG260236,2026-07-10,370,555.0,30.0,1.5,0.0811,OK - sama dengan prod
SO-MG260237,2026-07-07,250,375.0,30.0,1.5,0.12,OK - sama dengan prod
SO-MG260238,2026-07-07,376,601.6,30.0,1.6,0.0798,OK - sama dengan prod
SO-MG260243,2026-07-07,119,170.0,16.55,1.4286,0.1061,OK - sama dengan prod
SO-MG260244,2026-07-07,148,202.0,16.55,1.3649,0.1061,OK - sama dengan prod
SO-MG260245,2026-07-07,154,240.0,0.0,1.5584,0.0,OK - sama dengan prod
SO-MG260246,2026-07-07,100,160.84,0.0,1.6084,0.0,OK - sama dengan prod
SO-MG260219,2026-07-07,102,117.6,0.0,1.1529,0.0,OK - sama dengan prod
SO-MG260220,2026-07-10,182,190.6,0.0,1.0473,0.0,OK - sama dengan prod
SO-MG260221,2026-07-07,182,202.4,0.0,1.1121,0.0,OK - sama dengan prod
SO-MG260222,2026-07-15,182,198.0,0.0,1.0879,0.0,OK - sama dengan prod
SO-MG260223,2026-07-15,182,202.6,0.0,1.1132,0.0,OK - sama dengan prod
SO-MG260224,2026-07-15,102,110.0,0.0,1.0784,0.0,OK - sama dengan prod
SO-MG260225,2026-07-15,102,108.2,0.0,1.0608,0.0,OK - sama dengan prod
SO-MG260247,2026-07-15,50,72.4,0.0,1.448,0.0,OK - sama dengan prod
SO-MG260248,2026-07-15,63,94.4,0.0,1.4984,0.0,OK - sama dengan prod
SO-MG260249,2026-07-15,48,69.6,0.0,1.45,0.0,OK - sama dengan prod
SO-MG260250,2026-07-22,57,87.0,0.0,1.5263,0.0,OK - sama dengan prod
SO-MG260251,2026-07-22,57,82.4,0.0,1.4456,0.0,OK - sama dengan prod
SO-MG260252,2026-07-22,53,80.0,0.0,1.5094,0.0,OK - sama dengan prod
SO-MG260253,2026-07-22,55,81.5,0.0,1.4818,0.0,OK - sama dengan prod
SO-MG260161,2026-07-22,148,204.0,16.55,1.3784,0.1061,OK - sama dengan prod
SO-MG260254,2026-07-22,156,218.5,16.55,1.4006,0.1061,OK - sama dengan prod
SO-MG260255,2026-07-22,156,218.5,16.55,1.4006,0.1061,OK - sama dengan prod
