item_code,receipt_date,roll_number,qty_received,unit,contract_type,inspection_status,_REKONSILIASI
MG-2604-BH0009,2026-04-22,IMP-2026-MG-2604-BH0009-003,102.58,YARD,CMT,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0009,2026-04-22,IMP-2026-MG-2604-BH0009-004,107.39,YARD,CMT,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0009,2026-04-22,IMP-2026-MG-2604-BH0009-005,111.0,YARD,CMT,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0009,2026-04-22,IMP-2026-MG-2604-BH0009-006,114.06,YARD,CMT,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0009,2026-04-22,IMP-2026-MG-2604-BH0009-007,112.1,YARD,CMT,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0009,2026-04-22,IMP-2026-MG-2604-BH0009-008,113.85,YARD,CMT,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0010,2026-04-24,IMP-2026-MG-2604-BH0010-001,100.0,YARD,CASH,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0010,2026-04-24,IMP-2026-MG-2604-BH0010-002,98.0,YARD,CASH,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0010,2026-04-24,IMP-2026-MG-2604-BH0010-003,120.0,YARD,CASH,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0011,2026-04-24,IMP-2026-MG-2604-BH0011-001,91.0,YARD,CASH,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0011,2026-04-24,IMP-2026-MG-2604-BH0011-002,87.0,YARD,CASH,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0011,2026-04-24,IMP-2026-MG-2604-BH0011-003,84.0,YARD,CASH,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0011,2026-04-24,IMP-2026-MG-2604-BH0011-004,84.0,YARD,CASH,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0011,2026-04-24,IMP-2026-MG-2604-BH0011-005,91.0,YARD,CASH,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0011,2026-04-24,IMP-2026-MG-2604-BH0011-006,82.0,YARD,CASH,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0011,2026-04-24,IMP-2026-MG-2604-BH0011-007,86.0,YARD,CASH,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0012,2026-04-24,IMP-2026-MG-2604-BH0012-001,236.0,YARD,CASH,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0012,2026-04-24,IMP-2026-MG-2604-BH0012-002,235.0,YARD,CASH,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0012,2026-04-24,IMP-2026-MG-2604-BH0012-003,234.0,YARD,CASH,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0013,2026-04-24,IMP-2026-MG-2604-BH0013-001,72.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0013,2026-04-24,IMP-2026-MG-2604-BH0013-002,82.5,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0013,2026-04-24,IMP-2026-MG-2604-BH0013-003,50.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0013,2026-04-24,IMP-2026-MG-2604-BH0013-004,61.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0013,2026-04-24,IMP-2026-MG-2604-BH0013-005,105.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0013,2026-04-24,IMP-2026-MG-2604-BH0013-006,64.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0013,2026-04-24,IMP-2026-MG-2604-BH0013-007,78.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0013,2026-04-24,IMP-2026-MG-2604-BH0013-008,92.5,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0013,2026-04-24,IMP-2026-MG-2604-BH0013-009,74.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0014,2026-04-24,IMP-2026-MG-2604-BH0014-001,50.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0015,2026-04-24,IMP-2026-MG-2604-BH0015-001,73.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0016,2026-04-25,IMP-2026-MG-2604-BH0016-001,190.0,YARD,CMT,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0016,2026-04-25,IMP-2026-MG-2604-BH0016-002,380.0,YARD,CMT,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0016,2026-04-25,IMP-2026-MG-2604-BH0016-003,285.0,YARD,CMT,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0016,2026-04-25,IMP-2026-MG-2604-BH0016-004,190.0,YARD,CMT,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0016,2026-04-25,IMP-2026-MG-2604-BH0016-005,380.0,YARD,CMT,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0016,2026-04-25,IMP-2026-MG-2604-BH0016-006,190.0,YARD,CMT,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0017,2026-04-25,IMP-2026-MG-2604-BH0017-001,1398.58,YARD,CMT,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0018,2026-04-27,IMP-2026-MG-2604-BH0018-001,834.0,YARD,CMT,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0018,2026-04-27,IMP-2026-MG-2604-BH0018-002,411.0,YARD,CMT,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0019,2026-04-27,IMP-2026-MG-2604-BH0019-001,613.0,YARD,CMT,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0020,2026-04-29,IMP-2026-MG-2604-BH0020-001,255.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0021,2026-04-29,IMP-2026-MG-2604-BH0021-001,100.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0021,2026-04-29,IMP-2026-MG-2604-BH0021-002,120.5,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0022,2026-05-07,IMP-2026-MG-2604-BH0022-001,89.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0022,2026-05-07,IMP-2026-MG-2604-BH0022-002,132.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0022,2026-05-07,IMP-2026-MG-2604-BH0022-003,135.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0022,2026-05-07,IMP-2026-MG-2604-BH0022-004,46.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0022,2026-05-07,IMP-2026-MG-2604-BH0022-005,82.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0022,2026-05-07,IMP-2026-MG-2604-BH0022-006,109.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0022,2026-05-07,IMP-2026-MG-2604-BH0022-007,119.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0022,2026-05-07,IMP-2026-MG-2604-BH0022-008,120.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0022,2026-05-07,IMP-2026-MG-2604-BH0022-009,125.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0022,2026-05-07,IMP-2026-MG-2604-BH0022-010,125.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0022,2026-05-07,IMP-2026-MG-2604-BH0022-011,125.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0022,2026-05-07,IMP-2026-MG-2604-BH0022-012,127.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0022,2026-05-07,IMP-2026-MG-2604-BH0022-013,132.5,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0022,2026-05-07,IMP-2026-MG-2604-BH0022-014,133.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0022,2026-05-07,IMP-2026-MG-2604-BH0022-015,126.5,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0022,2026-05-07,IMP-2026-MG-2604-BH0022-016,131.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0022,2026-05-07,IMP-2026-MG-2604-BH0022-017,101.54,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0022,2026-05-07,IMP-2026-MG-2604-BH0022-018,111.13,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0023,2026-05-11,IMP-2026-MG-2604-BH0023-001,60.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0024,2026-05-16,IMP-2026-MG-2604-BH0024-001,100.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0024,2026-05-16,IMP-2026-MG-2604-BH0024-002,100.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0024,2026-05-16,IMP-2026-MG-2604-BH0024-003,100.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0024,2026-05-16,IMP-2026-MG-2604-BH0024-004,100.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0024,2026-05-16,IMP-2026-MG-2604-BH0024-005,100.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0024,2026-05-16,IMP-2026-MG-2604-BH0024-006,100.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0024,2026-05-16,IMP-2026-MG-2604-BH0024-007,100.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0024,2026-05-16,IMP-2026-MG-2604-BH0024-008,100.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0024,2026-05-16,IMP-2026-MG-2604-BH0024-009,100.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0024,2026-05-16,IMP-2026-MG-2604-BH0024-010,100.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0024,2026-05-16,IMP-2026-MG-2604-BH0024-011,100.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0024,2026-05-16,IMP-2026-MG-2604-BH0024-012,100.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0024,2026-05-16,IMP-2026-MG-2604-BH0024-013,100.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0024,2026-05-16,IMP-2026-MG-2604-BH0024-014,100.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0024,2026-05-16,IMP-2026-MG-2604-BH0024-015,100.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0025,2026-05-16,IMP-2026-MG-2604-BH0025-001,130.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0026,2026-05-16,IMP-2026-MG-2604-BH0026-001,1118.0,YARD,CMT,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0027,2026-05-18,IMP-2026-MG-2604-BH0027-001,98.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0027,2026-05-18,IMP-2026-MG-2604-BH0027-002,138.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0027,2026-05-18,IMP-2026-MG-2604-BH0027-003,114.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0027,2026-05-18,IMP-2026-MG-2604-BH0027-004,115.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0028,2026-05-19,IMP-2026-MG-2604-BH0028-001,471.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0028,2026-05-19,IMP-2026-MG-2604-BH0028-002,512.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0028,2026-05-19,IMP-2026-MG-2604-BH0028-003,512.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0028,2026-05-19,IMP-2026-MG-2604-BH0028-004,513.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0028,2026-05-19,IMP-2026-MG-2604-BH0028-005,620.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0029,2026-05-18,IMP-2026-MG-2604-BH0029-001,112.66,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0030,2026-05-20,IMP-2026-MG-2604-BH0030-001,503.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0031,2026-05-20,IMP-2026-MG-2604-BH0031-001,3600.5,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0032,2026-05-21,IMP-2026-MG-2604-BH0032-001,109.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0033,2026-05-21,IMP-2026-MG-2604-BH0033-001,100.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0033,2026-05-21,IMP-2026-MG-2604-BH0033-002,100.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0033,2026-05-21,IMP-2026-MG-2604-BH0033-003,100.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0034,2026-05-21,IMP-2026-MG-2604-BH0034-001,927.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0035,2026-05-22,IMP-2026-MG-2604-BH0035-001,238.7,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0035,2026-05-22,IMP-2026-MG-2604-BH0035-002,226.4,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0036,2026-05-22,IMP-2026-MG-2604-BH0036-001,105.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0036,2026-05-22,IMP-2026-MG-2604-BH0036-002,113.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0036,2026-05-22,IMP-2026-MG-2604-BH0036-003,151.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0036,2026-05-22,IMP-2026-MG-2604-BH0036-004,149.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0036,2026-05-22,IMP-2026-MG-2604-BH0036-005,144.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0037,2026-05-22,IMP-2026-MG-2604-BH0037-001,120.0,YARD,CMT,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0037,2026-05-22,IMP-2026-MG-2604-BH0037-002,117.0,YARD,CMT,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0038,2026-05-25,IMP-2026-MG-2604-BH0038-001,207.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0039,2026-05-25,IMP-2026-MG-2604-BH0039-001,205.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0040,2026-05-25,IMP-2026-MG-2604-BH0040-001,414.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0041,2026-05-25,IMP-2026-MG-2604-BH0041-001,300.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0042,2026-05-25,IMP-2026-MG-2604-BH0042-001,200.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0043,2026-05-28,IMP-2026-MG-2604-BH0043-001,1314.0,YARD,CMT,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0044,2026-05-28,IMP-2026-MG-2604-BH0044-001,1093.13,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0045,2026-05-28,IMP-2026-MG-2604-BH0045-001,1548.49,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0046,2026-05-28,IMP-2026-MG-2604-BH0046-001,498.3,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0047,2026-05-28,IMP-2026-MG-2604-BH0047-001,498.67,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0048,2026-05-28,IMP-2026-MG-2604-BH0048-001,395.84,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0049,2026-06-02,IMP-2026-MG-2604-BH0049-001,1399.61,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0055,2026-06-03,IMP-2026-MG-2604-BH0055-001,573.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0050,2026-06-08,IMP-2026-MG-2604-BH0050-001,124.45,YARD,CMT,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0051,2026-06-09,IMP-2026-MG-2604-BH0051-001,72.0,YARD,CMT,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0051,2026-06-09,IMP-2026-MG-2604-BH0051-002,80.0,YARD,CMT,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0052,2026-06-11,IMP-2026-MG-2604-BH0052-001,96.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0052,2026-06-11,IMP-2026-MG-2604-BH0052-002,99.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0053,2026-06-11,IMP-2026-MG-2604-BH0053-001,118.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0053,2026-06-11,IMP-2026-MG-2604-BH0053-002,101.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0053,2026-06-11,IMP-2026-MG-2604-BH0053-003,128.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0053,2026-06-11,IMP-2026-MG-2604-BH0053-004,132.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0054,2026-06-15,IMP-2026-MG-2604-BH0054-001,1471.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0056,2026-06-08,IMP-2026-MG-2604-BH0056-001,1649.44,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0057,2026-06-10,IMP-2026-MG-2604-BH0057-001,2110.66,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0058,2026-06-15,IMP-2026-MG-2604-BH0058-001,1575.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0059,2026-06-15,IMP-2026-MG-2604-BH0059-001,399.99,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0061,2026-06-15,IMP-2026-MG-2604-BH0061-001,100.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0060,2026-06-15,IMP-2026-MG-2604-BH0060-001,248.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0060,2026-06-15,IMP-2026-MG-2604-BH0060-002,246.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0060,2026-06-15,IMP-2026-MG-2604-BH0060-003,250.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0060,2026-06-15,IMP-2026-MG-2604-BH0060-004,232.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0060,2026-06-15,IMP-2026-MG-2604-BH0060-005,236.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0062,2026-06-18,IMP-2026-MG-2604-BH0062-001,1144.74,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0063,2026-06-18,IMP-2026-MG-2604-BH0063-001,1776.92,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0064,2026-06-18,IMP-2026-MG-2604-BH0064-001,1163.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0065,2026-06-18,IMP-2026-MG-2604-BH0065-001,175.77,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0065,2026-06-18,IMP-2026-MG-2604-BH0065-002,58.5,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0066,2026-06-29,IMP-2026-MG-2604-BH0066-001,735.04,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0067,2026-06-29,IMP-2026-MG-2604-BH0067-001,248.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0067,2026-06-29,IMP-2026-MG-2604-BH0067-002,201.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0067,2026-06-29,IMP-2026-MG-2604-BH0067-003,258.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0068,2026-07-01,IMP-2026-MG-2604-BH0068-001,82.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
MG-2604-BH0068,2026-07-01,IMP-2026-MG-2604-BH0068-002,112.0,YARD,FOB,PASSED,OK - baris IMP-2026 di prod = Excel bersih
