so_number,brand,style_name,item_category,color,order_qty,status,order_date,special_instructions,_REKONSILIASI
SO-MG260083,WARNING,VELAR LV#6 18,LS KEMEJA,WHITE,106,SHIPPED,2026-05-18,Model: KEMEJA,OK - sama dengan prod
SO-MG260084,WARNING,SKIVE LN#1 REG-FIT,SS KEMEJA,BLACK,75,SHIPPED,2026-05-18,Model: KEMEJA,OK - sama dengan prod
SO-MG260085,WARNING,SKIVE LN#6 REG FIT,SS KEMEJA,WHITE,79,SHIPPED,2026-05-18,Model: KEMEJA,OK - sama dengan prod
SO-MG260086,WARNING,AVIGNON LN#1 REG FIT,LS KEMEJA,BLACK,65,SHIPPED,2026-05-18,Model: KEMEJA,OK - sama dengan prod
SO-MG260087,WARNING,AVIGNON LN#6 REG FIT,LS KEMEJA,WHITE,65,SHIPPED,2026-05-18,Model: KEMEJA,OK - sama dengan prod
SO-MG260092,WILMER STUDIOS,KMJ BASIC SAKU PUTIH (05),LS KEMEJA,WHITE,392,SHIPPED,2026-05-18,Model: KEMEJA,OK - sama dengan prod
SO-MG260093,WILMER STUDIOS,KMJ BASIC TANPA SAKU PUTIH (05),LS KEMEJA,WHITE,418,SHIPPED,2026-05-18,Model: KEMEJA,OK - sama dengan prod
SO-MG260102,TRAVEOLOGY,WIDE CARGO -1,LONG CARGO,DK.OLIVE,126,SHIPPED,2026-05-22,Model: CARGO,OK - sama dengan prod
SO-MG260103,TRAVEOLOGY,WIDE CARGO -2,LONG CARGO,ABU TUA,112,SHIPPED,2026-05-22,Model: CARGO,OK - sama dengan prod
SO-MG260104,TRAVEOLOGY,WIDE CARGO -3,LONG CARGO,COFFEE,124,SHIPPED,2026-05-22,Model: CARGO,OK - sama dengan prod
SO-MG260105,TRAVEOLOGY,WIDE CARGO -4,LONG CARGO,BLACK,122,SHIPPED,2026-05-22,Model: CARGO,OK - sama dengan prod
SO-MG260106,PAMOKIDS,GIGGLEWS OVERALL MR,OVERALL,MAROON,102,SHIPPED,2026-05-22,Model: OVERALL,OK - sama dengan prod
SO-MG260107,PAMOKIDS,GIGGLEWS OVERALL MS,OVERALL,MUSTRAD,97,SHIPPED,2026-05-22,Model: OVERALL,OK - sama dengan prod
SO-MG260115,SEVENTYFOUR,SOIL CRG PJ#1 ARMY,LONG CARGO,ARMY,120,SHIPPED,2026-05-22,Model: CARGO,OK - sama dengan prod
SO-MG260116,SEVENTYFOUR,SOIL CRG PJ#2 BLACK,LONG CARGO,BLACK,120,SHIPPED,2026-05-22,Model: CARGO,OK - sama dengan prod
SO-MG260117,SEVENTYFOUR,SOIL CRG PJ#3 KHAKY,LONG CARGO,KHAKY,120,SHIPPED,2026-05-22,Model: CARGO,OK - sama dengan prod
SO-MG260118,SEVENTYFOUR,SOIL CRG PJ#4 BEIGE,LONG CARGO,BEIGE,114,SHIPPED,2026-05-22,Model: CARGO,OK - sama dengan prod
SO-MG260119,SEVENTYFOUR,SOIL CRG PJ#5 ABU,LONG CARGO,ABU,120,SHIPPED,2026-05-22,Model: CARGO,OK - sama dengan prod
SO-MG260120,WARNING,DENIMES 2.55,SHORT JEANS,BLUE,232,SHIPPED,2026-05-25,Model: JEANS,OK - sama dengan prod
SO-MG260121,WARNING,DENIMES 2.57,SHORT JEANS,BLUE,230,SHIPPED,2026-05-25,Model: JEANS,OK - sama dengan prod
SO-MG260128,WARNING,HAVERN LN#4 HTM,LS KEMEJA,HITAM,62,SHIPPED,2026-06-01,Model: KEMEJA,OK - sama dengan prod
SO-MG260129,WARNING,HAVERN LN#5 NVY,LS KEMEJA,PUTIH,64,SHIPPED,2026-06-01,Model: KEMEJA,OK - sama dengan prod
SO-MG260130,WARNING,HAVERN LN#6 PTH,LS KEMEJA,NAVY,64,SHIPPED,2026-06-01,Model: KEMEJA,OK - sama dengan prod
SO-MG260131,SEVENTYFOUR,UCAD CNS PJG #1,LONG DECOTTON,BLACK,104,SHIPPED,2026-06-01,Model: DECOTTON,OK - sama dengan prod
SO-MG260132,SEVENTYFOUR,UCAD CNS PJG #2,LONG DECOTTON,ABU  TUA,80,SHIPPED,2026-06-01,Model: DECOTTON,OK - sama dengan prod
SO-MG260133,SEVENTYFOUR,UCAD CNS PJG #3,LONG DECOTTON,ABU  MUDA,104,SHIPPED,2026-06-01,Model: DECOTTON,OK - sama dengan prod
SO-MG260134,SEVENTYFOUR,UCAD CNS PJG #4,LONG DECOTTON,KHAKY,105,SHIPPED,2026-06-01,Model: DECOTTON,OK - sama dengan prod
SO-MG260135,SEVENTYFOUR,UCAD CNS PJG #5,LONG DECOTTON,MOCCA,72,SHIPPED,2026-06-01,Model: DECOTTON,OK - sama dengan prod
SO-MG260136,SEVENTYFOUR,STAT CNS PDK#1,SHORTS DECOTTON,ARMY,125,SHIPPED,2026-06-01,Model: DECOTTON,OK - sama dengan prod
SO-MG260137,SEVENTYFOUR,STAT CNS PDK#2,SHORTS DECOTTON,BLACK,106,SHIPPED,2026-06-01,Model: DECOTTON,OK - sama dengan prod
SO-MG260138,SEVENTYFOUR,STAT CNS PDK#3,SHORTS DECOTTON,KHAKY,125,SHIPPED,2026-06-01,Model: DECOTTON,OK - sama dengan prod
SO-MG260139,SEVENTYFOUR,STAT CNS PDK#4,SHORTS DECOTTON,BEIGE,0,CUTTING,2026-06-01,Model: DECOTTON,OK - sama dengan prod
SO-MG260140,SEVENTYFOUR,STAT CNS PDK#5,SHORTS DECOTTON,ABU,125,SHIPPED,2026-06-01,Model: DECOTTON,OK - sama dengan prod
SO-MG260141,PLANETSUR ( SMBU ),LINIE MEN SHIRT,SS KEMEJA,HITAM,1002,SHIPPED,2026-06-19,Model: KEMEJA,OK - sama dengan prod
SO-MG260142,SEVENTYFOUR,GRIT CRG PDK#1,SHORTS CARGO,ARMY,125,SHIPPED,2026-06-19,Model: CARGO,OK - sama dengan prod
SO-MG260143,SEVENTYFOUR,GRIT CRG PDK#3,SHORTS CARGO,KHAKY,125,SHIPPED,2026-06-19,Model: CARGO,OK - sama dengan prod
SO-MG260144,SEVENTYFOUR,GRIT CRG PDK#5,SHORTS CARGO,ABU,125,SHIPPED,2026-06-08,Model: CARGO,OK - sama dengan prod
SO-MG260145,WARNING,DENIMES 1.459,LONG JEANS,BLACK,140,SHIPPED,2026-06-10,Model: JEANS,OK - sama dengan prod
SO-MG260146,WARNING,DENIMES 1.460,LONG JEANS,BLACK,140,SHIPPED,2026-06-10,Model: JEANS,OK - sama dengan prod
SO-MG260147,WARNING,DENIMES 1.461,LONG JEANS,ABU,140,SHIPPED,2026-06-10,Model: JEANS,OK - sama dengan prod
SO-MG260148,SEVENTYFOUR,ROFT#1,SHORT DECOTTON,COKLAT,107,SHIPPED,2026-06-10,Model: DECOTTON,OK - sama dengan prod
SO-MG260149,SEVENTYFOUR,ROFT#2,SHORT DECOTTON,ABU TUA,120,SHIPPED,2026-06-10,Model: DECOTTON,OK - sama dengan prod
SO-MG260150,PAMOKIDS,GIGGLEWS OVERALL #1 NAVY,OVERALL,NAVY,67,SHIPPED,2026-06-10,Model: OVERALL,OK - sama dengan prod
SO-MG260151,PAMOKIDS,GIGGLEWS OVERALL#2 BLUE,OVERALL,BLUE,73,SHIPPED,2026-06-10,Model: OVERALL,OK - sama dengan prod
SO-MG260158,DELUSI,SEMI PARKA,JACKET,HITAM,608,SHIPPED,2026-06-15,Model: JACKET,OK - sama dengan prod
SO-MG260159,DELUSI,TRACKTOP JACKET,JACKET,HITAM,689,SHIPPED,2026-06-15,Model: JACKET,OK - sama dengan prod
SO-MG260160,DELUSI,BOARDSHORT PANTS,SHORT JOGGER,HITAM,416,SHIPPED,2026-06-15,Model: JOGGER,OK - sama dengan prod
SO-MG260161,WARNING,DENIMES 1.466,LONG JEANS,BIRU,148,SEWING,2026-06-15,Model: JEANS,OK - sama dengan prod
SO-MG260162,WARNING,MERIDIAN FL#1,SS KEMEJA,BLACK,102,SHIPPED,2026-06-15,Model: KEMEJA,OK - sama dengan prod
SO-MG260163,WARNING,MERIDIAN FL#2,SS KEMEJA,NAVY,104,SHIPPED,2026-06-15,Model: KEMEJA,OK - sama dengan prod
SO-MG260164,WARNING,MERIDIAN FL#3,SS KEMEJA,ARMY,104,SHIPPED,2026-06-15,Model: KEMEJA,OK - sama dengan prod
SO-MG260165,WARNING,MERIDIAN FL#4,SS KEMEJA,BROWN,100,SHIPPED,2026-06-15,Model: KEMEJA,OK - sama dengan prod
SO-MG260166,WARNING,MERIDIAN FL#5,SS KEMEJA,BW CREAM MD,94,SHIPPED,2026-06-15,Model: KEMEJA,OK - sama dengan prod
SO-MG260167,WARNING,SEMPITERNAL FL#1,LS KEMEJA,BLACK,86,SHIPPED,2026-06-15,Model: KEMEJA,OK - sama dengan prod
SO-MG260168,WARNING,SEMPITERNAL FL#2,LS KEMEJA,NAVY,82,SHIPPED,2026-06-15,Model: KEMEJA,OK - sama dengan prod
SO-MG260169,WARNING,SEMPITERNAL FL#3,LS KEMEJA,ARMY,84,SHIPPED,2026-06-15,Model: KEMEJA,OK - sama dengan prod
SO-MG260170,WARNING,SEMPITERNAL FL#4,LS KEMEJA,BROWN,78,SHIPPED,2026-06-15,Model: KEMEJA,OK - sama dengan prod
SO-MG260171,WARNING,SEMPITERNAL FL#5,LS KEMEJA,BW CREAM MD,78,SHIPPED,2026-06-15,Model: KEMEJA,OK - sama dengan prod
SO-MG260172,WARNING,CATALYST FL,LS KEMEJA,NAVY YELLOW,84,SHIPPED,2026-06-15,Model: KEMEJA,OK - sama dengan prod
SO-MG260173,WARNING,VESTIGE FL,LS KEMEJA,HITAM BW,90,SHIPPED,2026-06-15,Model: KEMEJA,OK - sama dengan prod
SO-MG260174,WARNING,AVENOR FL,LS KEMEJA,HITAM PUTIH,108,SHIPPED,2026-06-15,Model: KEMEJA,OK - sama dengan prod
SO-MG260175,WARNING,ENTROPY FL,LS KEMEJA,NAVY GREEN BLACK,64,SHIPPED,2026-06-15,Model: KEMEJA,OK - sama dengan prod
SO-MG260176,WARNING,SOLTICE FL,LS KEMEJA,HITAM,112,SHIPPED,2026-06-15,Model: KEMEJA,OK - sama dengan prod
SO-MG260177,WARNING,UNEENDING FL,LS KEMEJA,BLUE GREEN BLACK,94,SHIPPED,2026-06-15,Model: KEMEJA,OK - sama dengan prod
SO-MG260178,WARNING,NORVAIN FL,LS KEMEJA,NAVY PUTIH,82,SHIPPED,2026-06-15,Model: KEMEJA,OK - sama dengan prod
SO-MG260179,WARNING,SENOVAR FL,LS KEMEJA,NAVY KUNING,90,SHIPPED,2026-06-15,Model: KEMEJA,OK - sama dengan prod
SO-MG260182,WARNING,DECOTON 1.654,LONG DECOTTON,HITAM,52,SHIPPED,2026-06-20,Model: DECOTTON,OK - sama dengan prod
SO-MG260183,WARNING,THERMA#1,LONG JOGGER,HITAM,124,SHIPPED,2026-06-20,Model: JOGGER,OK - sama dengan prod
SO-MG260184,INSIGHT ( SMBU ),BERTOLT MEN PANTS FABRIC,LONG DECOTTON,BEIGE,1394,SEWING,2026-06-22,Model: DECOTTON,OK - sama dengan prod
SO-MG26100620,BINTANG MADANI,ATASAN RESMI LAKI-LAKI SD,SS KEMEJA,NAVY-OREN,44,SHIPPED,2026-06-22,Model: KEMEJA,OK - sama dengan prod
SO-MG26100621,BINTANG MADANI,ATASAN RESMI PEREMPUAN SD,LS KEMEJA,NAVY-OREN,53,SHIPPED,2026-06-22,Model: KEMEJA,OK - sama dengan prod
SO-MG26100622,BINTANG MADANI,CELANA RESMI LAKI-LAKI SD,LONG CARGO,NAVY,43,SHIPPED,2026-06-22,Model: CARGO,OK - sama dengan prod
SO-MG26100623,BINTANG MADANI,CELANA RESMI PEREMPUAN SD,LONG DECOTTON,NAVY,49,SHIPPED,2026-06-22,Model: DECOTTON,OK - sama dengan prod
SO-MG26100624,BINTANG MADANI,CELANA OUTBOND LK/PR SD,LONG DECOTTON,CREAM,92,SHIPPED,2026-06-22,Model: DECOTTON,OK - sama dengan prod
SO-MG26100625,BINTANG MADANI,ATASAN OUTBOND LK/PR SD,KAOS SHIRT,CREAM,97,SHIPPED,2026-06-22,Model: SHIRT,OK - sama dengan prod
SO-MG26100626,BINTANG MADANI,CELANA OLAHRAGA SD,LONG JOGGER,NAVY,92,SHIPPED,2026-06-22,Model: JOGGER,OK - sama dengan prod
SO-MG26100627,BINTANG MADANI,BAJU OLAHRAGA SD,KAOS SHIRT,OREN - NAVY,97,SHIPPED,2026-06-22,Model: SHIRT,OK - sama dengan prod
SO-MG26100628,BINTANG MADANI,BAJU OLAHRAGA SMP,KAOS SHIRT,PUTIH,48,SHIPPED,2026-06-22,Model: SHIRT,OK - sama dengan prod
SO-MG26100629,BINTANG MADANI,CELANA OLAHRAGA LAKI-LAKI SMP,LONG JOGGER,NAVY,21,SHIPPED,2026-06-22,Model: JOGGER,OK - sama dengan prod
SO-MG26100630,BINTANG MADANI,CELANA OLAHRAGA PEREMPUAN SMP,LONG JOGGER,NAVY,25,SHIPPED,2026-06-22,Model: JOGGER,OK - sama dengan prod
SO-MG26100631,BINTANG MADANI,BAJU POLO SHIRT LAKI-LAKI SMP,KAOS SHIRT,PUTIH,23,SHIPPED,2026-06-22,Model: SHIRT,OK - sama dengan prod
SO-MG26100632,BINTANG MADANI,BAJU POLO SHIRT PEREMPUAN SMP,KAOS SHIRT,PUTIH,25,SHIPPED,2026-06-22,Model: SHIRT,OK - sama dengan prod
SO-MG26100633,BINTANG MADANI,ATASAN RESMI LAKI-LAKI SMP,SS KEMEJA,KOTAK,23,SHIPPED,2026-06-22,Model: KEMEJA,OK - sama dengan prod
SO-MG26100634,BINTANG MADANI,ATASAN RESMI PEREMPUAN SMP,LS KEMEJA,KOTAK,24,SHIPPED,2026-06-22,Model: KEMEJA,OK - sama dengan prod
SO-MG26100635,BINTANG MADANI,CELANA RESMI LAKI-LAKI SMP,LONG DECOTTON,NAVY,21,SHIPPED,2026-06-22,Model: DECOTTON,OK - sama dengan prod
SO-MG26100636,BINTANG MADANI,CELANA RESMI PEREMPUAN SMP,LONG DECOTTON,NAVY,24,SHIPPED,2026-06-22,Model: DECOTTON,OK - sama dengan prod
SO-MG260185,SEVENTYFOUR,RAFT#1  CREAM,SHORT DECOTTON,CREAM,146,SHIPPED,2026-06-25,Model: DECOTTON,OK - sama dengan prod
SO-MG260186,SEVENTYFOUR,RAFT#1  OLIVE,SHORT DECOTTON,OLIVE,132,SHIPPED,2026-06-25,Model: DECOTTON,OK - sama dengan prod
SO-MG260187,SEVENTYFOUR,RAFT#2 KHAKY,SHORT DECOTTON,KHAKY,146,SHIPPED,2026-06-25,Model: DECOTTON,OK - sama dengan prod
SO-MG260188,SEVENTYFOUR,RAFT#2 ABU TUA,SHORT DECOTTON,ABU TUA,114,SHIPPED,2026-06-25,Model: DECOTTON,OK - sama dengan prod
SO-MG260189,WARNING,SPRINTON #1,SHORT JOGGER,HITAM,235,SHIPPED,2026-06-30,Model: JOGGER,OK - sama dengan prod
SO-MG260190,WARNING,SPRINTON #2,SHORT JOGGER,MISTY,124,SHIPPED,2026-06-30,Model: JOGGER,OK - sama dengan prod
SO-MG260191,SEVENTYFOUR,AKOR #1  BEIGE,LONG DECOTTON,BEIGE,74,SHIPPED,2026-07-01,Model: DECOTTON,OK - sama dengan prod
SO-MG260192,SEVENTYFOUR,AKOR #2 OLIVE,LONG DECOTTON,OLIVE,82,SHIPPED,2026-07-01,Model: DECOTTON,OK - sama dengan prod
SO-MG260193,SEVENTYFOUR,AKOR #3 BROKEN WHITE,LONG DECOTTON,BROKEN WHITE,84,SHIPPED,2026-07-01,Model: DECOTTON,OK - sama dengan prod
SO-MG260194,WARNING,RENOIR#1,SHORT JOGGER,HITAM,134,SHIPPED,2026-07-01,Model: JOGGER,OK - sama dengan prod
SO-MG260195,WARNING,RENOIR#2,SHORT JOGGER,NAVY,78,SHIPPED,2026-07-01,Model: JOGGER,OK - sama dengan prod
SO-MG260196,WARNING,RENOIR#3,SHORT JOGGER,STONE GREY,62,SHIPPED,2026-07-01,Model: JOGGER,OK - sama dengan prod
SO-MG260197,WARNING,RENOIR#4,SHORT JOGGER,MOCCA,70,SHIPPED,2026-07-01,Model: JOGGER,OK - sama dengan prod
SO-MG260198,WARNING,RENOIR#5,SHORT JOGGER,CREAM MUDA,96,SHIPPED,2026-07-01,Model: JOGGER,OK - sama dengan prod
SO-MG260199,WARNING,LEVANT CY#1,SS KEMEJA,HITAM,60,SHIPPED,2026-07-06,Model: KEMEJA,OK - sama dengan prod
SO-MG260200,WARNING,LEVANT CY#2,SS KEMEJA,NAVY,58,SHIPPED,2026-07-06,Model: KEMEJA,OK - sama dengan prod
SO-MG260201,WARNING,LEVANT CY#3,SS KEMEJA,BLUE,88,SHIPPED,2026-07-06,Model: KEMEJA,OK - sama dengan prod
SO-MG260202,WARNING,LEVANT CY#4,SS KEMEJA,KHAKY,64,SHIPPED,2026-07-06,Model: KEMEJA,OK - sama dengan prod
SO-MG260203,WARNING,VALMONT CY#1,LS KEMEJA,HITAM,108,SHIPPED,2026-07-06,Model: KEMEJA,OK - sama dengan prod
SO-MG260204,WARNING,VALMONT CY#2,LS KEMEJA,NAVY,96,SHIPPED,2026-07-06,Model: KEMEJA,OK - sama dengan prod
SO-MG260205,WARNING,VALMONT CY#3,LS KEMEJA,BLUE,90,SHIPPED,2026-07-06,Model: KEMEJA,OK - sama dengan prod
SO-MG260206,WARNING,VALMONT CY#4,LS KEMEJA,MAROON,54,SHIPPED,2026-07-06,Model: KEMEJA,OK - sama dengan prod
SO-MG260207,SEVENTYFOUR,APSTA#1 CREAM,JACKET,CREAM,85,CUTTING,2026-07-06,Model: JACKET,OK - sama dengan prod
SO-MG260208,SEVENTYFOUR,APSTA#2 OLIVE,JACKET,OLIVE,83,CUTTING,2026-07-06,Model: JACKET,OK - sama dengan prod
SO-MG260209,SEVENTYFOUR,APSTA#3 BROKEN WHITE,JACKET,BROKEN WHITE,48,CUTTING,2026-07-06,Model: JACKET,OK - sama dengan prod
SO-MG260210,PAKDENNY,IQOS SHIRT MERAH,LS KEMEJA,MERAH,334,SHIPPED,2026-07-06,Model: KEMEJA,OK - sama dengan prod
SO-MG260211,WILMER STUDIOS,KEMEJA TOYOBO TANPA SAKU HTM,LS KEMEJA,HITAM,132,SHIPPED,2026-07-08,Model: KEMEJA,OK - sama dengan prod
SO-MG260212,WILMER STUDIOS,KEMEJA TOYOBO TANPA SAKU PUTIH,LS KEMEJA,PUTIH,333,SHIPPED,2026-07-08,Model: KEMEJA,OK - sama dengan prod
SO-MG260213,WILMER STUDIOS,KEMEJA TOYOBO ADA SAKU HTM,LS KEMEJA,HITAM,164,SHIPPED,2026-07-08,Model: KEMEJA,OK - sama dengan prod
SO-MG260214,WILMER STUDIOS,KEMEJA TOYOBO ADA SAKU PTH,LS KEMEJA,PUTIH,452,SHIPPED,2026-07-08,Model: KEMEJA,OK - sama dengan prod
SO-MG260215,NEVER SURRENDER,CHINOS PENDEK  HITAM,SHORT DECOTTON,HITAM,834,SHIPPED,2026-07-08,Model: DECOTTON,OK - sama dengan prod
SO-MG260216,NEVER SURRENDER,CHINOS PENDEK ARMY,SHORT DECOTTON,ARMY,320,SHIPPED,2026-07-08,Model: DECOTTON,OK - sama dengan prod
SO-MG260217,NEVER SURRENDER,CHINOS PENDEK ABU,SHORT DECOTTON,ABU,304,SHIPPED,2026-07-08,Model: DECOTTON,OK - sama dengan prod
SO-MG260218,NEVER SURRENDER,CHINOS PENDEK  CREAM,SHORT DECOTTON,CREAM,348,SHIPPED,2026-07-08,Model: DECOTTON,OK - sama dengan prod
SO-MG260219,SEVENTYFOUR,SHSS DARIS HITAM,SS KEMEJA,HITAM,102,SHIPPED,2026-07-08,Model: KEMEJA,OK - sama dengan prod
SO-MG260220,SEVENTYFOUR,SHSS DARIS SAGE GREEN,SS KEMEJA,SAGE GREEN,182,SHIPPED,2026-07-08,Model: KEMEJA,OK - sama dengan prod
SO-MG260221,SEVENTYFOUR,SHSS DARIS POWDER BLUE,SS KEMEJA,POWDER BLUE,182,SHIPPED,2026-07-08,Model: KEMEJA,OK - sama dengan prod
SO-MG260222,SEVENTYFOUR,SHSS DARIS CREAM,SS KEMEJA,CREAM,182,SHIPPED,2026-07-08,Model: KEMEJA,OK - sama dengan prod
SO-MG260223,SEVENTYFOUR,SHSS DARIS TAUPE,SS KEMEJA,TAUPE,182,SHIPPED,2026-07-16,Model: KEMEJA,OK - sama dengan prod
SO-MG260224,SEVENTYFOUR,SHSS DARIS BLUE,SS KEMEJA,BLUE,102,SHIPPED,2026-07-16,Model: KEMEJA,OK - sama dengan prod
SO-MG260225,SEVENTYFOUR,SHSS DARIS WHITE,SS KEMEJA,WHITE,102,SHIPPED,2026-07-16,Model: KEMEJA,OK - sama dengan prod
SO-MG260226,NEVER SURRENDER,CHINOS PANJANG  HITAM,LONG DECOTTON,HITAM,1030,SHIPPED,2026-07-16,Model: DECOTTON,OK - sama dengan prod
SO-MG260227,NEVER SURRENDER,CHINOS PANJANG ARMY,LONG DECOTTON,ARMY,424,SHIPPED,2026-07-16,Model: DECOTTON,OK - sama dengan prod
SO-MG260228,NEVER SURRENDER,CHINOS PANJANG ABU,LONG DECOTTON,ABU,372,SHIPPED,2026-07-20,Model: DECOTTON,OK - sama dengan prod
SO-MG260229,NEVER SURRENDER,CHINOS PANJANG CREAM,LONG DECOTTON,CREAM,496,SHIPPED,2026-07-20,Model: DECOTTON,OK - sama dengan prod
SO-MG260230,VOXFLY ( SMBU ),CRAZED PAPAYA MEN LONG SHIRT,LONG SHIRT,NAVY,213,FINISHING,2026-07-20,Model: SHIRT,BEDA brand: excel=VOXFLY ( SMBU ) prod_buyer=SMBU
SO-MG260231,VOXFLY ( SMBU ),CRAZED PAPAYA MEN LONG SHIRT,LONG SHIRT,BLACK,65,FINISHING,2026-07-20,Model: SHIRT,BEDA brand: excel=VOXFLY ( SMBU ) prod_buyer=SMBU
SO-MG260232,VOXFLY ( SMBU ),CAMERON MEN LONG SHIRT,LONG SHIRT,NAVY,418,FINISHING,2026-07-20,Model: SHIRT,BEDA brand: excel=VOXFLY ( SMBU ) prod_buyer=SMBU
SO-MG260233,VOXFLY ( SMBU ),CAMERON MEN LONG SHIRT,LONG SHIRT,BLACK,215,FINISHING,2026-07-20,Model: SHIRT,BEDA brand: excel=VOXFLY ( SMBU ) prod_buyer=SMBU
SO-MG260234,VOXFLY ( SMBU ),BALD NAVY,LONG SHIRT,NAVY,441,FINISHING,2026-07-20,Model: SHIRT,BEDA brand: excel=VOXFLY ( SMBU ) prod_buyer=SMBU
SO-MG260235,NEVER SURRENDER,LOOSE CARGO HITAM,LONG CARGO,HITAM,830,FINISHING,2026-07-20,Model: CARGO,OK - sama dengan prod
SO-MG260236,NEVER SURRENDER,LOOSE CARGO ARMY,LONG CARGO,ARMY,370,SHIPPED,2026-07-20,Model: CARGO,OK - sama dengan prod
SO-MG260237,NEVER SURRENDER,LOOSE CARGO ABU,LONG CARGO,ABU,250,SHIPPED,2026-07-20,Model: CARGO,OK - sama dengan prod
SO-MG260238,NEVER SURRENDER,LOOSE CARGO CREAM,LONG CARGO,CREAM,376,SHIPPED,2026-07-20,Model: CARGO,OK - sama dengan prod
SO-MG260239,NEVER SURRENDER,ANGKLEPANTS HITAM,LONG CHINOS,HITAM,880,SHIPPED,2026-07-20,Model: ANGKLE PANTS,OK - sama dengan prod
SO-MG260240,NEVER SURRENDER,ANGKLEPANTS ARMY,LONG CHINOS,ARMY,322,SHIPPED,2026-07-20,Model: ANGKLE PANTS,OK - sama dengan prod
SO-MG260241,NEVER SURRENDER,ANGKLEPANTS ABU,LONG CHINOS,ABU,250,SHIPPED,2026-07-20,Model: ANGKLE PANTS,OK - sama dengan prod
