so_number,stage_name,sequence_order,vendor,surat_jalan_no,dispatch_date,qty_dispatched,received_date,qty_received,qty_reject,balance_discrepancy,status,_REKONSILIASI
SO-MG260067,SEWING_MAKLUN,3,MASTER PA PIAN,IMP-2026-SO-MG260067-SEWING_MAKLUN,2026-07-27,125,2026-07-27,125,0,0,COMPLETED,OK - sama dengan prod
SO-MG260067,FINISHING,6,,IMP-2026-SO-MG260067-FINISHING,2026-07-27,125,2026-07-27,125,0,0,COMPLETED,OK - sama dengan prod
SO-MG260068,SEWING_MAKLUN,3,MASTER PA PIAN,IMP-2026-SO-MG260068-SEWING_MAKLUN,2026-07-27,134,2026-07-27,134,0,0,COMPLETED,OK - sama dengan prod
SO-MG260068,FINISHING,6,,IMP-2026-SO-MG260068-FINISHING,2026-07-27,134,2026-07-27,134,0,0,COMPLETED,OK - sama dengan prod
SO-MG260069,SEWING_MAKLUN,3,A DADANG,IMP-2026-SO-MG260069-SEWING_MAKLUN,2026-07-27,71,2026-07-27,71,0,0,COMPLETED,OK - sama dengan prod
SO-MG260069,FINISHING,6,,IMP-2026-SO-MG260069-FINISHING,2026-07-27,71,2026-07-27,71,0,0,COMPLETED,OK - sama dengan prod
SO-MG260076,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260076-SEWING_MAKLUN,2026-07-27,120,2026-07-27,120,0,0,COMPLETED,OK - sama dengan prod
SO-MG260076,EMBROIDERY_JADI,5,,IMP-2026-SO-MG260076-EMBROIDERY_JADI,2026-07-27,120,2026-07-27,120,0,0,COMPLETED,OK - sama dengan prod
SO-MG260076,FINISHING,6,,IMP-2026-SO-MG260076-FINISHING,2026-07-27,120,2026-07-27,120,0,0,COMPLETED,OK - sama dengan prod
SO-MG260077,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260077-SEWING_MAKLUN,2026-07-27,120,2026-07-27,120,0,0,COMPLETED,OK - sama dengan prod
SO-MG260077,EMBROIDERY_JADI,5,,IMP-2026-SO-MG260077-EMBROIDERY_JADI,2026-07-27,120,2026-07-27,120,0,0,COMPLETED,OK - sama dengan prod
SO-MG260077,FINISHING,6,,IMP-2026-SO-MG260077-FINISHING,2026-07-27,120,2026-07-27,120,0,0,COMPLETED,OK - sama dengan prod
SO-MG260078,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260078-SEWING_MAKLUN,2026-07-27,78,2026-07-27,78,1,-1,DISCREPANCY_FLAG,DISCREPANCY_FLAG - setia pada angka sumber (bukan bug impor)
SO-MG260078,EMBROIDERY_JADI,5,,IMP-2026-SO-MG260078-EMBROIDERY_JADI,2026-07-27,78,2026-07-27,78,0,0,COMPLETED,OK - sama dengan prod
SO-MG260078,FINISHING,6,,IMP-2026-SO-MG260078-FINISHING,2026-07-27,78,2026-07-27,78,0,0,COMPLETED,OK - sama dengan prod
SO-MG260079,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260079-SEWING_MAKLUN,2026-07-27,120,2026-07-27,120,0,0,COMPLETED,OK - sama dengan prod
SO-MG260079,EMBROIDERY_JADI,5,,IMP-2026-SO-MG260079-EMBROIDERY_JADI,2026-07-27,120,2026-07-27,120,0,0,COMPLETED,OK - sama dengan prod
SO-MG260079,FINISHING,6,,IMP-2026-SO-MG260079-FINISHING,2026-07-27,120,2026-07-27,120,0,0,COMPLETED,OK - sama dengan prod
SO-MG260080,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260080-SEWING_MAKLUN,2026-07-27,97,2026-07-27,97,0,0,COMPLETED,OK - sama dengan prod
SO-MG260080,EMBROIDERY_JADI,5,,IMP-2026-SO-MG260080-EMBROIDERY_JADI,2026-07-27,97,2026-07-27,97,0,0,COMPLETED,OK - sama dengan prod
SO-MG260080,FINISHING,6,,IMP-2026-SO-MG260080-FINISHING,2026-07-27,97,2026-07-27,97,0,0,COMPLETED,OK - sama dengan prod
SO-MG260081,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260081-SEWING_MAKLUN,2026-07-27,102,2026-07-27,102,0,0,COMPLETED,OK - sama dengan prod
SO-MG260081,EMBROIDERY_JADI,5,,IMP-2026-SO-MG260081-EMBROIDERY_JADI,2026-07-27,102,2026-07-27,102,0,0,COMPLETED,OK - sama dengan prod
SO-MG260081,FINISHING,6,,IMP-2026-SO-MG260081-FINISHING,2026-07-27,102,2026-07-27,102,0,0,COMPLETED,OK - sama dengan prod
SO-MG260082,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260082-SEWING_MAKLUN,2026-07-27,69,2026-07-27,69,0,0,COMPLETED,OK - sama dengan prod
SO-MG260082,EMBROIDERY_JADI,5,,IMP-2026-SO-MG260082-EMBROIDERY_JADI,2026-07-27,69,2026-07-27,69,0,0,COMPLETED,OK - sama dengan prod
SO-MG260082,FINISHING,6,,IMP-2026-SO-MG260082-FINISHING,2026-07-27,69,2026-07-27,69,0,0,COMPLETED,OK - sama dengan prod
SO-MG260083,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260083-SEWING_MAKLUN,2026-07-27,106,2026-07-27,106,0,0,COMPLETED,OK - sama dengan prod
SO-MG260083,EMBROIDERY_JADI,5,,IMP-2026-SO-MG260083-EMBROIDERY_JADI,2026-07-27,106,2026-07-27,106,0,0,COMPLETED,OK - sama dengan prod
SO-MG260083,FINISHING,6,,IMP-2026-SO-MG260083-FINISHING,2026-07-27,106,2026-07-27,106,0,0,COMPLETED,OK - sama dengan prod
SO-MG260084,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260084-SEWING_MAKLUN,2026-07-27,75,2026-07-27,75,0,0,COMPLETED,OK - sama dengan prod
SO-MG260084,EMBROIDERY_JADI,5,,IMP-2026-SO-MG260084-EMBROIDERY_JADI,2026-07-27,75,2026-07-27,75,0,0,COMPLETED,OK - sama dengan prod
SO-MG260084,FINISHING,6,,IMP-2026-SO-MG260084-FINISHING,2026-07-27,75,2026-07-27,75,0,0,COMPLETED,OK - sama dengan prod
SO-MG260085,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260085-SEWING_MAKLUN,2026-07-27,79,2026-07-27,79,0,0,COMPLETED,OK - sama dengan prod
SO-MG260085,EMBROIDERY_JADI,5,,IMP-2026-SO-MG260085-EMBROIDERY_JADI,2026-07-27,79,2026-07-27,79,0,0,COMPLETED,OK - sama dengan prod
SO-MG260085,FINISHING,6,,IMP-2026-SO-MG260085-FINISHING,2026-07-27,79,2026-07-27,79,0,0,COMPLETED,OK - sama dengan prod
SO-MG260086,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260086-SEWING_MAKLUN,2026-07-27,65,2026-07-27,65,0,0,COMPLETED,OK - sama dengan prod
SO-MG260086,EMBROIDERY_JADI,5,,IMP-2026-SO-MG260086-EMBROIDERY_JADI,2026-07-27,65,2026-07-27,65,0,0,COMPLETED,OK - sama dengan prod
SO-MG260086,FINISHING,6,,IMP-2026-SO-MG260086-FINISHING,2026-07-27,65,2026-07-27,65,0,0,COMPLETED,OK - sama dengan prod
SO-MG260087,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260087-SEWING_MAKLUN,2026-07-27,65,2026-07-27,65,0,0,COMPLETED,OK - sama dengan prod
SO-MG260087,EMBROIDERY_JADI,5,,IMP-2026-SO-MG260087-EMBROIDERY_JADI,2026-07-27,65,2026-07-27,65,0,0,COMPLETED,OK - sama dengan prod
SO-MG260087,FINISHING,6,,IMP-2026-SO-MG260087-FINISHING,2026-07-27,65,2026-07-27,65,0,0,COMPLETED,OK - sama dengan prod
SO-MG260092,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260092-SEWING_MAKLUN,2026-07-27,387,2026-07-27,387,0,0,COMPLETED,OK - sama dengan prod
SO-MG260092,FINISHING,6,,IMP-2026-SO-MG260092-FINISHING,2026-07-27,387,2026-07-27,387,0,0,COMPLETED,OK - sama dengan prod
SO-MG260093,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260093-SEWING_MAKLUN,2026-07-27,413,2026-07-27,413,0,0,COMPLETED,OK - sama dengan prod
SO-MG260093,FINISHING,6,,IMP-2026-SO-MG260093-FINISHING,2026-07-27,413,2026-07-27,413,0,0,COMPLETED,OK - sama dengan prod
SO-MG260102,SEWING_MAKLUN,3,PAK ADE SMD,IMP-2026-SO-MG260102-SEWING_MAKLUN,2026-07-27,126,2026-07-27,126,0,0,COMPLETED,OK - sama dengan prod
SO-MG260102,FINISHING,6,,IMP-2026-SO-MG260102-FINISHING,2026-07-27,126,2026-07-27,126,0,0,COMPLETED,OK - sama dengan prod
SO-MG260103,SEWING_MAKLUN,3,PAK ADE SMD,IMP-2026-SO-MG260103-SEWING_MAKLUN,2026-07-27,112,2026-07-27,112,0,0,COMPLETED,OK - sama dengan prod
SO-MG260103,FINISHING,6,,IMP-2026-SO-MG260103-FINISHING,2026-07-27,112,2026-07-27,112,0,0,COMPLETED,OK - sama dengan prod
SO-MG260104,SEWING_MAKLUN,3,PAK ADE SMD,IMP-2026-SO-MG260104-SEWING_MAKLUN,2026-07-27,124,2026-07-27,124,0,0,COMPLETED,OK - sama dengan prod
SO-MG260104,FINISHING,6,,IMP-2026-SO-MG260104-FINISHING,2026-07-27,124,2026-07-27,124,0,0,COMPLETED,OK - sama dengan prod
SO-MG260105,SEWING_MAKLUN,3,PAK ADE SMD,IMP-2026-SO-MG260105-SEWING_MAKLUN,2026-07-27,122,2026-07-27,122,0,0,COMPLETED,OK - sama dengan prod
SO-MG260105,FINISHING,6,,IMP-2026-SO-MG260105-FINISHING,2026-07-27,122,2026-07-27,122,0,0,COMPLETED,OK - sama dengan prod
SO-MG260106,SEWING_MAKLUN,3,PAK ADE CIPARAY,IMP-2026-SO-MG260106-SEWING_MAKLUN,2026-07-27,102,2026-07-27,102,0,0,COMPLETED,OK - sama dengan prod
SO-MG260106,FINISHING,6,,IMP-2026-SO-MG260106-FINISHING,2026-07-27,102,2026-07-27,102,0,0,COMPLETED,OK - sama dengan prod
SO-MG260107,SEWING_MAKLUN,3,PAK ADE CIPARAY,IMP-2026-SO-MG260107-SEWING_MAKLUN,2026-07-27,97,2026-07-27,97,0,0,COMPLETED,OK - sama dengan prod
SO-MG260107,FINISHING,6,,IMP-2026-SO-MG260107-FINISHING,2026-07-27,97,2026-07-27,97,0,0,COMPLETED,OK - sama dengan prod
SO-MG260115,SEWING_MAKLUN,3,PAK ADE SMD,IMP-2026-SO-MG260115-SEWING_MAKLUN,2026-07-27,120,2026-07-27,120,0,0,COMPLETED,OK - sama dengan prod
SO-MG260115,WASHING,4,,IMP-2026-SO-MG260115-WASHING,2026-07-27,120,2026-07-27,120,0,0,COMPLETED,OK - sama dengan prod
SO-MG260115,FINISHING,6,,IMP-2026-SO-MG260115-FINISHING,2026-07-27,120,2026-07-27,120,0,0,COMPLETED,OK - sama dengan prod
SO-MG260116,SEWING_MAKLUN,3,PAK ADE SMD,IMP-2026-SO-MG260116-SEWING_MAKLUN,2026-07-27,120,2026-07-27,120,1,-1,DISCREPANCY_FLAG,DISCREPANCY_FLAG - setia pada angka sumber (bukan bug impor)
SO-MG260116,WASHING,4,,IMP-2026-SO-MG260116-WASHING,2026-07-27,120,2026-07-27,120,0,0,COMPLETED,OK - sama dengan prod
SO-MG260116,FINISHING,6,,IMP-2026-SO-MG260116-FINISHING,2026-07-27,120,2026-07-27,120,0,0,COMPLETED,OK - sama dengan prod
SO-MG260117,SEWING_MAKLUN,3,PAK ADE SMD,IMP-2026-SO-MG260117-SEWING_MAKLUN,2026-07-27,120,2026-07-27,120,2,-2,DISCREPANCY_FLAG,DISCREPANCY_FLAG - setia pada angka sumber (bukan bug impor)
SO-MG260117,WASHING,4,,IMP-2026-SO-MG260117-WASHING,2026-07-27,120,2026-07-27,120,0,0,COMPLETED,OK - sama dengan prod
SO-MG260117,FINISHING,6,,IMP-2026-SO-MG260117-FINISHING,2026-07-27,120,2026-07-27,120,0,0,COMPLETED,OK - sama dengan prod
SO-MG260118,SEWING_MAKLUN,3,PAK ADE SMD,IMP-2026-SO-MG260118-SEWING_MAKLUN,2026-07-27,114,2026-07-27,114,1,-1,DISCREPANCY_FLAG,DISCREPANCY_FLAG - setia pada angka sumber (bukan bug impor)
SO-MG260118,WASHING,4,,IMP-2026-SO-MG260118-WASHING,2026-07-27,118,2026-07-27,118,0,0,COMPLETED,OK - sama dengan prod
SO-MG260118,FINISHING,6,,IMP-2026-SO-MG260118-FINISHING,2026-07-27,114,2026-07-27,114,0,0,COMPLETED,OK - sama dengan prod
SO-MG260119,SEWING_MAKLUN,3,PAK ADE SMD,IMP-2026-SO-MG260119-SEWING_MAKLUN,2026-07-27,120,2026-07-27,120,1,-1,DISCREPANCY_FLAG,DISCREPANCY_FLAG - setia pada angka sumber (bukan bug impor)
SO-MG260119,WASHING,4,,IMP-2026-SO-MG260119-WASHING,2026-07-27,120,2026-07-27,120,0,0,COMPLETED,OK - sama dengan prod
SO-MG260119,FINISHING,6,,IMP-2026-SO-MG260119-FINISHING,2026-07-27,120,2026-07-27,120,0,0,COMPLETED,OK - sama dengan prod
SO-MG260120,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260120-SEWING_MAKLUN,2026-07-27,232,2026-07-27,232,0,0,COMPLETED,OK - sama dengan prod
SO-MG260120,WASHING,4,,IMP-2026-SO-MG260120-WASHING,2026-07-27,232,2026-07-27,232,0,0,COMPLETED,OK - sama dengan prod
SO-MG260120,FINISHING,6,,IMP-2026-SO-MG260120-FINISHING,2026-07-27,232,2026-07-27,232,0,0,COMPLETED,OK - sama dengan prod
SO-MG260121,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260121-SEWING_MAKLUN,2026-07-27,230,2026-07-27,230,0,0,COMPLETED,OK - sama dengan prod
SO-MG260121,WASHING,4,,IMP-2026-SO-MG260121-WASHING,2026-07-27,230,2026-07-27,230,0,0,COMPLETED,OK - sama dengan prod
SO-MG260121,FINISHING,6,,IMP-2026-SO-MG260121-FINISHING,2026-07-27,230,2026-07-27,230,0,0,COMPLETED,OK - sama dengan prod
SO-MG260128,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260128-SEWING_MAKLUN,2026-07-27,62,2026-07-27,62,0,0,COMPLETED,OK - sama dengan prod
SO-MG260128,FINISHING,6,,IMP-2026-SO-MG260128-FINISHING,2026-07-27,62,2026-07-27,62,0,0,COMPLETED,OK - sama dengan prod
SO-MG260129,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260129-SEWING_MAKLUN,2026-07-27,64,2026-07-27,64,0,0,COMPLETED,OK - sama dengan prod
SO-MG260129,FINISHING,6,,IMP-2026-SO-MG260129-FINISHING,2026-07-27,64,2026-07-27,64,0,0,COMPLETED,OK - sama dengan prod
SO-MG260130,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260130-SEWING_MAKLUN,2026-07-27,64,2026-07-27,64,0,0,COMPLETED,OK - sama dengan prod
SO-MG260130,FINISHING,6,,IMP-2026-SO-MG260130-FINISHING,2026-07-27,64,2026-07-27,64,0,0,COMPLETED,OK - sama dengan prod
SO-MG260131,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260131-SEWING_MAKLUN,2026-07-27,104,2026-07-27,104,0,0,COMPLETED,OK - sama dengan prod
SO-MG260131,WASHING,4,,IMP-2026-SO-MG260131-WASHING,2026-07-27,104,2026-07-27,104,0,0,COMPLETED,OK - sama dengan prod
SO-MG260131,FINISHING,6,,IMP-2026-SO-MG260131-FINISHING,2026-07-27,104,2026-07-27,104,0,0,COMPLETED,OK - sama dengan prod
SO-MG260132,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260132-SEWING_MAKLUN,2026-07-27,80,2026-07-27,80,0,0,COMPLETED,OK - sama dengan prod
SO-MG260132,WASHING,4,,IMP-2026-SO-MG260132-WASHING,2026-07-27,80,2026-07-27,80,0,0,COMPLETED,OK - sama dengan prod
SO-MG260132,FINISHING,6,,IMP-2026-SO-MG260132-FINISHING,2026-07-27,80,2026-07-27,80,0,0,COMPLETED,OK - sama dengan prod
SO-MG260133,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260133-SEWING_MAKLUN,2026-07-27,104,2026-07-27,104,0,0,COMPLETED,OK - sama dengan prod
SO-MG260133,WASHING,4,,IMP-2026-SO-MG260133-WASHING,2026-07-27,104,2026-07-27,104,0,0,COMPLETED,OK - sama dengan prod
SO-MG260133,FINISHING,6,,IMP-2026-SO-MG260133-FINISHING,2026-07-27,104,2026-07-27,104,0,0,COMPLETED,OK - sama dengan prod
SO-MG260134,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260134-SEWING_MAKLUN,2026-07-27,105,2026-07-27,105,0,0,COMPLETED,OK - sama dengan prod
SO-MG260134,WASHING,4,,IMP-2026-SO-MG260134-WASHING,2026-07-27,105,2026-07-27,105,0,0,COMPLETED,OK - sama dengan prod
SO-MG260134,FINISHING,6,,IMP-2026-SO-MG260134-FINISHING,2026-07-27,105,2026-07-27,105,0,0,COMPLETED,OK - sama dengan prod
SO-MG260135,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260135-SEWING_MAKLUN,2026-07-27,72,2026-07-27,72,0,0,COMPLETED,OK - sama dengan prod
SO-MG260135,WASHING,4,,IMP-2026-SO-MG260135-WASHING,2026-07-27,72,2026-07-27,72,0,0,COMPLETED,OK - sama dengan prod
SO-MG260135,FINISHING,6,,IMP-2026-SO-MG260135-FINISHING,2026-07-27,72,2026-07-27,72,0,0,COMPLETED,OK - sama dengan prod
SO-MG260136,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260136-SEWING_MAKLUN,2026-07-27,125,2026-07-27,125,0,0,COMPLETED,OK - sama dengan prod
SO-MG260136,WASHING,4,,IMP-2026-SO-MG260136-WASHING,2026-07-27,125,2026-07-27,125,0,0,COMPLETED,OK - sama dengan prod
SO-MG260136,FINISHING,6,,IMP-2026-SO-MG260136-FINISHING,2026-07-27,125,2026-07-27,125,0,0,COMPLETED,OK - sama dengan prod
SO-MG260137,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260137-SEWING_MAKLUN,2026-07-27,106,2026-07-27,106,0,0,COMPLETED,OK - sama dengan prod
SO-MG260137,WASHING,4,,IMP-2026-SO-MG260137-WASHING,2026-07-27,106,2026-07-27,106,0,0,COMPLETED,OK - sama dengan prod
SO-MG260137,FINISHING,6,,IMP-2026-SO-MG260137-FINISHING,2026-07-27,106,2026-07-27,106,0,0,COMPLETED,OK - sama dengan prod
SO-MG260138,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260138-SEWING_MAKLUN,2026-07-27,125,2026-07-27,125,0,0,COMPLETED,OK - sama dengan prod
SO-MG260138,WASHING,4,,IMP-2026-SO-MG260138-WASHING,2026-07-27,125,2026-07-27,125,0,0,COMPLETED,OK - sama dengan prod
SO-MG260138,FINISHING,6,,IMP-2026-SO-MG260138-FINISHING,2026-07-27,125,2026-07-27,125,0,0,COMPLETED,OK - sama dengan prod
SO-MG260140,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260140-SEWING_MAKLUN,2026-07-27,125,2026-07-27,125,0,0,COMPLETED,OK - sama dengan prod
SO-MG260140,WASHING,4,,IMP-2026-SO-MG260140-WASHING,2026-07-27,125,2026-07-27,125,0,0,COMPLETED,OK - sama dengan prod
SO-MG260140,FINISHING,6,,IMP-2026-SO-MG260140-FINISHING,2026-07-27,125,2026-07-27,125,0,0,COMPLETED,OK - sama dengan prod
SO-MG260141,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260141-SEWING_MAKLUN,2026-07-27,1002,2026-07-27,1002,0,0,COMPLETED,OK - sama dengan prod
SO-MG260141,WASHING,4,,IMP-2026-SO-MG260141-WASHING,2026-07-27,1001,2026-07-27,1001,0,0,COMPLETED,OK - sama dengan prod
SO-MG260141,FINISHING,6,,IMP-2026-SO-MG260141-FINISHING,2026-07-27,1002,2026-07-27,1002,0,0,COMPLETED,OK - sama dengan prod
SO-MG260142,SEWING_MAKLUN,3,AL-ITIHAD GARMENT,IMP-2026-SO-MG260142-SEWING_MAKLUN,2026-07-27,125,2026-07-27,124,1,0,PARTIAL_RECEIVED,OK - sama dengan prod
SO-MG260142,WASHING,4,,IMP-2026-SO-MG260142-WASHING,2026-07-27,124,2026-07-27,124,0,0,COMPLETED,OK - sama dengan prod
SO-MG260142,FINISHING,6,,IMP-2026-SO-MG260142-FINISHING,2026-07-27,124,2026-07-27,124,0,0,COMPLETED,OK - sama dengan prod
