so_number,item_code,dispatch_date,qty_issued,surat_jalan_no,_REKONSILIASI
SO-MG260063,MG-2604-BH0008,2026-07-05,131.0,IMP-2026-SO-MG260063-MG-2604-BH0008,OK - baris IMP-2026 di prod = Excel bersih (catatan: 2 baris berbagi surat_jalan_no ini)
SO-MG260067,MG-2604-BH0008,2026-07-05,134.0,IMP-2026-SO-MG260067-MG-2604-BH0008,OK - baris IMP-2026 di prod = Excel bersih (catatan: 2 baris berbagi surat_jalan_no ini)
SO-MG260067,MG-2604-BH0008,2026-07-05,103.0,IMP-2026-SO-MG260067-MG-2604-BH0008,OK - baris IMP-2026 di prod = Excel bersih (catatan: 2 baris berbagi surat_jalan_no ini)
SO-MG260064,MG-2604-BH0008,2026-07-05,131.0,IMP-2026-SO-MG260064-MG-2604-BH0008,OK - baris IMP-2026 di prod = Excel bersih (catatan: 2 baris berbagi surat_jalan_no ini)
SO-MG260064,MG-2604-BH0008,2026-07-05,132.0,IMP-2026-SO-MG260064-MG-2604-BH0008,OK - baris IMP-2026 di prod = Excel bersih (catatan: 2 baris berbagi surat_jalan_no ini)
SO-MG260068,MG-2604-BH0008,2026-07-05,130.0,IMP-2026-SO-MG260068-MG-2604-BH0008,OK - baris IMP-2026 di prod = Excel bersih (catatan: 2 baris berbagi surat_jalan_no ini)
SO-MG260068,MG-2604-BH0008,2026-07-05,128.0,IMP-2026-SO-MG260068-MG-2604-BH0008,OK - baris IMP-2026 di prod = Excel bersih (catatan: 2 baris berbagi surat_jalan_no ini)
SO-MG260065,MG-2604-BH0008,2026-07-05,136.0,IMP-2026-SO-MG260065-MG-2604-BH0008,OK - baris IMP-2026 di prod = Excel bersih (catatan: 2 baris berbagi surat_jalan_no ini)
SO-MG260065,MG-2604-BH0008,2026-07-05,130.0,IMP-2026-SO-MG260065-MG-2604-BH0008,OK - baris IMP-2026 di prod = Excel bersih (catatan: 2 baris berbagi surat_jalan_no ini)
SO-MG260069,MG-2604-BH0008,2026-07-05,130.0,IMP-2026-SO-MG260069-MG-2604-BH0008,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260036,MG-2604-BH0023,2026-05-11,25.0,IMP-2026-SO-MG260036-MG-2604-BH0023,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260070,MG-2604-BH0016,2026-05-12,190.0,IMP-2026-SO-MG260070-MG-2604-BH0016,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260071,MG-2604-BH0016,2026-05-12,380.0,IMP-2026-SO-MG260071-MG-2604-BH0016,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260072,MG-2604-BH0016,2026-05-12,285.0,IMP-2026-SO-MG260072-MG-2604-BH0016,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260073,MG-2604-BH0016,2026-05-12,190.0,IMP-2026-SO-MG260073-MG-2604-BH0016,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260074,MG-2604-BH0016,2026-05-12,380.0,IMP-2026-SO-MG260074-MG-2604-BH0016,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260075,MG-2604-BH0016,2026-05-12,190.0,IMP-2026-SO-MG260075-MG-2604-BH0016,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260061,MG-2604-BH0017,2026-05-11,1398.58,IMP-2026-SO-MG260061-MG-2604-BH0017,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260088,MG-2604-BH0025,2026-05-14,89.0,IMP-2026-SO-MG260088-MG-2604-BH0025,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260090,MG-2604-BH0027,2026-05-14,98.0,IMP-2026-SO-MG260090-MG-2604-BH0027,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260091,MG-2604-BH0027,2026-05-14,138.0,IMP-2026-SO-MG260091-MG-2604-BH0027,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260088,MG-2604-BH0027,2026-05-14,114.0,IMP-2026-SO-MG260088-MG-2604-BH0027,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260089,MG-2604-BH0027,2026-05-14,115.0,IMP-2026-SO-MG260089-MG-2604-BH0027,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260076,MG-2604-BH0024,2026-05-20,150.0,IMP-2026-SO-MG260076-MG-2604-BH0024,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260077,MG-2604-BH0024,2026-05-20,150.0,IMP-2026-SO-MG260077-MG-2604-BH0024,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260079,MG-2604-BH0024,2026-05-20,150.0,IMP-2026-SO-MG260079-MG-2604-BH0024,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260080,MG-2604-BH0024,2026-05-20,150.0,IMP-2026-SO-MG260080-MG-2604-BH0024,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260081,MG-2604-BH0024,2026-05-20,150.0,IMP-2026-SO-MG260081-MG-2604-BH0024,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260082,MG-2604-BH0024,2026-05-20,150.0,IMP-2026-SO-MG260082-MG-2604-BH0024,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260083,MG-2604-BH0024,2026-05-20,100.0,IMP-2026-SO-MG260083-MG-2604-BH0024,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260092,MG-2604-BH0026,2026-05-20,559.0,IMP-2026-SO-MG260092-MG-2604-BH0026,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260093,MG-2604-BH0026,2026-05-20,559.0,IMP-2026-SO-MG260093-MG-2604-BH0026,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260106,MG-2604-BH0037,2026-05-21,120.0,IMP-2026-SO-MG260106-MG-2604-BH0037,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260107,MG-2604-BH0037,2026-05-21,117.0,IMP-2026-SO-MG260107-MG-2604-BH0037,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260113,MG-2604-BH0030,2026-05-22,100.0,IMP-2026-SO-MG260113-MG-2604-BH0030,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260112,MG-2604-BH0030,2026-05-23,30.0,IMP-2026-SO-MG260112-MG-2604-BH0030,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260115,MG-2604-BH0025,2026-05-23,41.0,IMP-2026-SO-MG260115-MG-2604-BH0025,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260115,MG-2604-BH0030,2026-05-23,100.0,IMP-2026-SO-MG260115-MG-2604-BH0030,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260112,MG-2604-BH0028,2026-05-26,332.0,IMP-2026-SO-MG260112-MG-2604-BH0028,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260113,MG-2604-BH0028,2026-05-26,330.0,IMP-2026-SO-MG260113-MG-2604-BH0028,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260108,MG-2604-BH0042,2026-05-28,79.0,IMP-2026-SO-MG260108-MG-2604-BH0042,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260102,MG-2604-BH0030,2026-05-28,92.0,IMP-2026-SO-MG260102-MG-2604-BH0030,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260102,MG-2604-BH0009,2026-05-25,115.81,IMP-2026-SO-MG260102-MG-2604-BH0009,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260103,MG-2604-BH0009,2026-05-25,107.0,IMP-2026-SO-MG260103-MG-2604-BH0009,OK - baris IMP-2026 di prod = Excel bersih (catatan: 2 baris berbagi surat_jalan_no ini)
SO-MG260105,MG-2604-BH0009,2026-05-25,112.1,IMP-2026-SO-MG260105-MG-2604-BH0009,OK - baris IMP-2026 di prod = Excel bersih (catatan: 2 baris berbagi surat_jalan_no ini)
SO-MG260105,MG-2604-BH0009,2026-05-25,113.85,IMP-2026-SO-MG260105-MG-2604-BH0009,OK - baris IMP-2026 di prod = Excel bersih (catatan: 2 baris berbagi surat_jalan_no ini)
SO-MG260104,MG-2604-BH0009,2026-05-25,111.0,IMP-2026-SO-MG260104-MG-2604-BH0009,OK - baris IMP-2026 di prod = Excel bersih (catatan: 2 baris berbagi surat_jalan_no ini)
SO-MG260104,MG-2604-BH0009,2026-05-25,114.6,IMP-2026-SO-MG260104-MG-2604-BH0009,OK - baris IMP-2026 di prod = Excel bersih (catatan: 2 baris berbagi surat_jalan_no ini)
SO-MG260103,MG-2604-BH0009,2026-05-25,102.58,IMP-2026-SO-MG260103-MG-2604-BH0009,OK - baris IMP-2026 di prod = Excel bersih (catatan: 2 baris berbagi surat_jalan_no ini)
SO-MG260115,MG-2604-BH0028,2026-05-28,199.0,IMP-2026-SO-MG260115-MG-2604-BH0028,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260116,MG-2604-BH0028,2026-05-28,183.6,IMP-2026-SO-MG260116-MG-2604-BH0028,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260117,MG-2604-BH0028,2026-05-28,203.0,IMP-2026-SO-MG260117-MG-2604-BH0028,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260118,MG-2604-BH0028,2026-05-28,182.0,IMP-2026-SO-MG260118-MG-2604-BH0028,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260119,MG-2604-BH0028,2026-05-28,204.0,IMP-2026-SO-MG260119-MG-2604-BH0028,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260028,MG-2604-BH0040,2026-05-30,278.0,IMP-2026-SO-MG260028-MG-2604-BH0040,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260029,MG-2604-BH0034,2026-05-30,312.0,IMP-2026-SO-MG260029-MG-2604-BH0034,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260120,MG-2604-BH0038,2026-05-30,207.0,IMP-2026-SO-MG260120-MG-2604-BH0038,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260121,MG-2604-BH0039,2026-05-30,205.0,IMP-2026-SO-MG260121-MG-2604-BH0039,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260121,MG-2604-BH0030,2026-05-30,52.0,IMP-2026-SO-MG260121-MG-2604-BH0030,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260104,MG-2604-BH0030,2026-05-30,45.0,IMP-2026-SO-MG260104-MG-2604-BH0030,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260135,MG-2604-BH0036,2026-06-03,105.0,IMP-2026-SO-MG260135-MG-2604-BH0036,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260132,MG-2604-BH0036,2026-06-03,113.0,IMP-2026-SO-MG260132-MG-2604-BH0036,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260131,MG-2604-BH0036,2026-06-03,151.0,IMP-2026-SO-MG260131-MG-2604-BH0036,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260134,MG-2604-BH0036,2026-06-03,149.0,IMP-2026-SO-MG260134-MG-2604-BH0036,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260133,MG-2604-BH0036,2026-06-03,144.0,IMP-2026-SO-MG260133-MG-2604-BH0036,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260131,MG-2604-BH0030,2026-06-04,84.0,IMP-2026-SO-MG260131-MG-2604-BH0030,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260131,MG-2604-BH0041,2026-06-04,25.0,IMP-2026-SO-MG260131-MG-2604-BH0041,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260128,MG-2604-BH0033,2026-06-04,100.0,IMP-2026-SO-MG260128-MG-2604-BH0033,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260129,MG-2604-BH0033,2026-06-04,100.0,IMP-2026-SO-MG260129-MG-2604-BH0033,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260130,MG-2604-BH0033,2026-06-04,100.0,IMP-2026-SO-MG260130-MG-2604-BH0033,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260084,MG-2604-BH0024,2026-06-02,100.0,IMP-2026-SO-MG260084-MG-2604-BH0024,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260078,MG-2604-BH0024,2026-06-02,100.0,IMP-2026-SO-MG260078-MG-2604-BH0024,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260085,MG-2604-BH0024,2026-06-02,100.0,IMP-2026-SO-MG260085-MG-2604-BH0024,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260086,MG-2604-BH0024,2026-06-02,100.0,IMP-2026-SO-MG260086-MG-2604-BH0024,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260087,MG-2604-BH0024,2026-06-02,100.0,IMP-2026-SO-MG260087-MG-2604-BH0024,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260136,MG-2604-BH0028,2026-06-05,107.0,IMP-2026-SO-MG260136-MG-2604-BH0028,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260137,MG-2604-BH0028,2026-06-05,104.4,IMP-2026-SO-MG260137-MG-2604-BH0028,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260138,MG-2604-BH0028,2026-06-05,108.1,IMP-2026-SO-MG260138-MG-2604-BH0028,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260140,MG-2604-BH0028,2026-06-05,107.5,IMP-2026-SO-MG260140-MG-2604-BH0028,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260102,MG-2604-BH0050,2026-06-15,124.45,IMP-2026-SO-MG260102-MG-2604-BH0050,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260150,MG-2604-BH0051,2026-06-13,72.0,IMP-2026-SO-MG260150-MG-2604-BH0051,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260151,MG-2604-BH0051,2026-06-13,80.0,IMP-2026-SO-MG260151-MG-2604-BH0051,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260148,MG-2604-BH0052,2026-06-12,96.0,IMP-2026-SO-MG260148-MG-2604-BH0052,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260149,MG-2604-BH0052,2026-06-12,99.0,IMP-2026-SO-MG260149-MG-2604-BH0052,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260148,MG-2604-BH0042,2026-06-12,42.5,IMP-2026-SO-MG260148-MG-2604-BH0042,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260145,MG-2604-BH0034,2026-06-10,205.0,IMP-2026-SO-MG260145-MG-2604-BH0034,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260146,MG-2604-BH0034,2026-06-10,187.0,IMP-2026-SO-MG260146-MG-2604-BH0034,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260147,MG-2604-BH0034,2026-06-10,187.0,IMP-2026-SO-MG260147-MG-2604-BH0034,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260142,MG-2604-BH0041,2026-06-10,88.0,IMP-2026-SO-MG260142-MG-2604-BH0041,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260136,MG-2604-BH0041,2026-06-08,41.0,IMP-2026-SO-MG260136-MG-2604-BH0041,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260142,MG-2604-BH0028,2026-06-08,160.2,IMP-2026-SO-MG260142-MG-2604-BH0028,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260143,MG-2604-BH0028,2026-06-08,154.9,IMP-2026-SO-MG260143-MG-2604-BH0028,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260144,MG-2604-BH0028,2026-06-08,158.7,IMP-2026-SO-MG260144-MG-2604-BH0028,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260108,MG-2604-BH0035,2026-06-08,238.7,IMP-2026-SO-MG260108-MG-2604-BH0035,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260109,MG-2604-BH0035,2026-06-08,226.4,IMP-2026-SO-MG260109-MG-2604-BH0035,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260162,MG-2604-BH0060,2026-06-16,121.0,IMP-2026-SO-MG260162-MG-2604-BH0060,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260163,MG-2604-BH0060,2026-06-16,122.0,IMP-2026-SO-MG260163-MG-2604-BH0060,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260164,MG-2604-BH0060,2026-06-16,125.0,IMP-2026-SO-MG260164-MG-2604-BH0060,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260165,MG-2604-BH0060,2026-06-16,116.0,IMP-2026-SO-MG260165-MG-2604-BH0060,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260166,MG-2604-BH0060,2026-06-16,118.0,IMP-2026-SO-MG260166-MG-2604-BH0060,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260167,MG-2604-BH0060,2026-06-16,127.0,IMP-2026-SO-MG260167-MG-2604-BH0060,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260168,MG-2604-BH0060,2026-06-16,124.0,IMP-2026-SO-MG260168-MG-2604-BH0060,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260169,MG-2604-BH0060,2026-06-16,125.0,IMP-2026-SO-MG260169-MG-2604-BH0060,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260170,MG-2604-BH0060,2026-06-16,116.0,IMP-2026-SO-MG260170-MG-2604-BH0060,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260171,MG-2604-BH0060,2026-06-16,118.0,IMP-2026-SO-MG260171-MG-2604-BH0060,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260102,MG-2604-BH0061,2026-06-19,16.0,IMP-2026-SO-MG260102-MG-2604-BH0061,OK - baris IMP-2026 di prod = Excel bersih
SO-MG26100621,MG-2604-BH0061,2026-06-19,8.0,IMP-2026-SO-MG26100621-MG-2604-BH0061,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260159,MG-2604-BH0042,2026-06-19,79.0,IMP-2026-SO-MG260159-MG-2604-BH0042,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260160,MG-2604-BH0054,2026-06-19,91.0,IMP-2026-SO-MG260160-MG-2604-BH0054,OK - baris IMP-2026 di prod = Excel bersih (catatan: 5 baris berbagi surat_jalan_no ini)
SO-MG260160,MG-2604-BH0054,2026-06-19,92.0,IMP-2026-SO-MG260160-MG-2604-BH0054,OK - baris IMP-2026 di prod = Excel bersih (catatan: 5 baris berbagi surat_jalan_no ini)
SO-MG260160,MG-2604-BH0054,2026-06-19,136.0,IMP-2026-SO-MG260160-MG-2604-BH0054,OK - baris IMP-2026 di prod = Excel bersih (catatan: 5 baris berbagi surat_jalan_no ini)
SO-MG260160,MG-2604-BH0054,2026-06-19,67.0,IMP-2026-SO-MG260160-MG-2604-BH0054,OK - baris IMP-2026 di prod = Excel bersih (catatan: 5 baris berbagi surat_jalan_no ini)
SO-MG260160,MG-2604-BH0054,2026-06-19,69.0,IMP-2026-SO-MG260160-MG-2604-BH0054,OK - baris IMP-2026 di prod = Excel bersih (catatan: 5 baris berbagi surat_jalan_no ini)
SO-MG260158,MG-2604-BH0054,2026-06-19,79.0,IMP-2026-SO-MG260158-MG-2604-BH0054,OK - baris IMP-2026 di prod = Excel bersih (catatan: 6 baris berbagi surat_jalan_no ini)
SO-MG260158,MG-2604-BH0054,2026-06-19,70.0,IMP-2026-SO-MG260158-MG-2604-BH0054,OK - baris IMP-2026 di prod = Excel bersih (catatan: 6 baris berbagi surat_jalan_no ini)
SO-MG260158,MG-2604-BH0054,2026-06-19,148.0,IMP-2026-SO-MG260158-MG-2604-BH0054,OK - baris IMP-2026 di prod = Excel bersih (catatan: 6 baris berbagi surat_jalan_no ini)
SO-MG260158,MG-2604-BH0054,2026-06-19,77.0,IMP-2026-SO-MG260158-MG-2604-BH0054,OK - baris IMP-2026 di prod = Excel bersih (catatan: 6 baris berbagi surat_jalan_no ini)
SO-MG260158,MG-2604-BH0054,2026-06-19,73.0,IMP-2026-SO-MG260158-MG-2604-BH0054,OK - baris IMP-2026 di prod = Excel bersih (catatan: 6 baris berbagi surat_jalan_no ini)
SO-MG260158,MG-2604-BH0054,2026-06-19,78.0,IMP-2026-SO-MG260158-MG-2604-BH0054,OK - baris IMP-2026 di prod = Excel bersih (catatan: 6 baris berbagi surat_jalan_no ini)
SO-MG260159,MG-2604-BH0054,2026-06-19,93.0,IMP-2026-SO-MG260159-MG-2604-BH0054,OK - baris IMP-2026 di prod = Excel bersih (catatan: 6 baris berbagi surat_jalan_no ini)
SO-MG260159,MG-2604-BH0054,2026-06-19,81.0,IMP-2026-SO-MG260159-MG-2604-BH0054,OK - baris IMP-2026 di prod = Excel bersih (catatan: 6 baris berbagi surat_jalan_no ini)
SO-MG260159,MG-2604-BH0054,2026-06-19,88.0,IMP-2026-SO-MG260159-MG-2604-BH0054,OK - baris IMP-2026 di prod = Excel bersih (catatan: 6 baris berbagi surat_jalan_no ini)
SO-MG260159,MG-2604-BH0054,2026-06-19,80.0,IMP-2026-SO-MG260159-MG-2604-BH0054,OK - baris IMP-2026 di prod = Excel bersih (catatan: 6 baris berbagi surat_jalan_no ini)
SO-MG260159,MG-2604-BH0054,2026-06-19,78.0,IMP-2026-SO-MG260159-MG-2604-BH0054,OK - baris IMP-2026 di prod = Excel bersih (catatan: 6 baris berbagi surat_jalan_no ini)
SO-MG260159,MG-2604-BH0054,2026-06-19,71.0,IMP-2026-SO-MG260159-MG-2604-BH0054,OK - baris IMP-2026 di prod = Excel bersih (catatan: 6 baris berbagi surat_jalan_no ini)
SO-MG260172,MG-2604-BH0064,2026-06-22,134.0,IMP-2026-SO-MG260172-MG-2604-BH0064,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260173,MG-2604-BH0064,2026-06-22,140.0,IMP-2026-SO-MG260173-MG-2604-BH0064,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260174,MG-2604-BH0064,2026-06-22,181.0,IMP-2026-SO-MG260174-MG-2604-BH0064,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260175,MG-2604-BH0064,2026-06-22,99.0,IMP-2026-SO-MG260175-MG-2604-BH0064,OK - baris IMP-2026 di prod = Excel bersih
SO-MG260176,MG-2604-BH0064,2026-06-22,176.0,IMP-2026-SO-MG260176-MG-2604-BH0064,OK - baris IMP-2026 di prod = Excel bersih
