so_number,cutting_date,qty_cut,main_fabric_used,puring_used,main_consumption_rate,puring_consumption_rate,_jenis_bahan,_warna
SO-MG260128,2026-06-01,62,100.0,0.0,1.6129,0.0,LINEN ANGLE  02,BLACK
SO-MG260129,2026-06-01,64,100.0,0.0,1.5625,0.0,LINEN ANGLE  02,NAVY
SO-MG260130,2026-06-01,64,100.0,0.0,1.5625,0.0,LINEN ANGLE  02,PUTIH
SO-MG260131,2026-06-01,104,151.0,12.0,1.4519,0.1154,CARBONE STREET,BLACK
SO-MG260132,2026-06-01,80,113.0,10.0,1.4125,0.125,CARBONE STREET,ABU TUA
SO-MG260133,2026-06-01,104,144.0,12.0,1.3846,0.1154,CARBONE STREET,ABU MUDA
SO-MG260134,2026-06-01,105,149.0,12.0,1.419,0.1143,CARBONE STREET,KHAKY
SO-MG260135,2026-06-01,72,105.0,8.0,1.4583,0.1111,CARBONE STREET,MOCCA
SO-MG260136,2026-06-01,125,107.0,23.25,0.856,0.186,CARBON NONSTREACH 2628,ARMY
SO-MG260137,2026-06-01,106,104.4,23.25,0.9849,0.2193,CARBON NONSTREACH 2628,BLACK
SO-MG260138,2026-06-01,125,108.1,23.25,0.8648,0.186,CARBON NONSTREACH 2628,KHAKY
SO-MG260140,2026-06-01,125,107.5,23.25,0.86,0.186,CARBON NONSTREACH 2628,ABU
SO-MG260141,2026-06-10,1002,1264.0,0.0,1.2615,0.0,TOKYO LINEN STYLE LINIE,HITAM
SO-MG260142,2026-06-10,125,160.2,12.0,1.2816,0.096,CARBON NONSTREACH 2628,ARMY
SO-MG260143,2026-06-10,125,154.9,12.0,1.2392,0.096,CARBON NONSTREACH 2628,KHAKY
SO-MG260144,2026-06-10,125,158.7,12.0,1.2696,0.096,CARBON NONSTREACH 2628,ABU
SO-MG260145,2026-06-10,140,205.0,16.55,1.4643,0.1182,BJT 2307 HT-1,Blue
SO-MG260146,2026-06-10,140,187.0,16.55,1.3357,0.1182,BJT 2307 HT-1,Blue
SO-MG260147,2026-06-10,140,187.0,16.55,1.3357,0.1182,BJT 2307 HT-1,Blue
SO-MG260148,2026-06-10,107,96.0,21.25,0.8972,0.2214,BLUDRU,Coklat
SO-MG260149,2026-06-10,120,99.0,21.25,0.825,0.2214,BLUDRU,Abu
SO-MG260150,2026-06-10,67,72.0,0.0,1.0746,0.0,KORDUROY STRET,NAVY
SO-MG260151,2026-06-10,73,80.0,0.0,1.0959,0.0,KORDUROY STRET,BLUE
SO-MG260158,2026-06-18,304,525.0,0.0,1.727,0.0,TASLAN CRINKLE,BLACK
SO-MG260159,2026-06-18,343,491.0,79.0,1.4315,0.2992,TASLAN CRINKLE,BLACK
SO-MG260160,2026-06-18,416,455.0,0.0,1.0938,0.0,TASLAN CRINKLE,BLACK
SO-MG260162,2026-06-18,102,121.0,0.0,1.1863,0.0,FLANEL POLOS,BLACK
SO-MG260163,2026-06-18,104,122.0,0.0,1.1731,0.0,FLANEL POLOS,NAVY
SO-MG260164,2026-06-18,104,125.0,0.0,1.2019,0.0,FLANEL POLOS,ARMY
SO-MG260165,2026-06-18,100,116.0,0.0,1.16,0.0,FLANEL POLOS,BROWN
SO-MG260166,2026-06-18,94,118.0,0.0,1.2553,0.0,FLANEL POLOS,WHITE
SO-MG260167,2026-06-18,86,127.0,0.0,1.4767,0.0,FLANEL POLOS,BLACK
SO-MG260168,2026-06-18,82,124.0,0.0,1.5122,0.0,FLANEL POLOS,NAVY
SO-MG260169,2026-06-18,84,125.0,0.0,1.4881,0.0,FLANEL POLOS,ARMY
SO-MG260170,2026-06-18,78,116.0,0.0,1.4872,0.0,FLANEL POLOS,BROWN
SO-MG260171,2026-06-18,78,118.0,0.0,1.5128,0.0,FLANEL POLOS,WHITE
SO-MG260172,2026-06-22,84,134.0,0.0,1.5952,0.0,FLANEL POLOS,NAVY-YELLOW
SO-MG260173,2026-06-22,90,140.0,0.0,1.5556,0.0,FLANEL KOTAK,HITAM-BW
SO-MG260174,2026-06-22,108,181.0,0.0,1.6759,0.0,FLANEL KOTAK,HITAM-PUTIH
SO-MG260175,2026-06-22,64,99.0,0.0,1.5469,0.0,FLANEL KOTAK,NAVY-GREEN
SO-MG260176,2026-06-22,112,176.0,0.0,1.5714,0.0,FLANEL KOTAK,HITAM
SO-MG260177,2026-06-22,94,147.0,0.0,1.5638,0.0,FLANEL KOTAK,BLUE-GREEN
SO-MG260178,2026-06-22,82,138.0,0.0,1.6829,0.0,FLANEL KOTAK,NAVY-PUTIH
SO-MG260179,2026-06-22,90,148.0,0.0,1.6444,0.0,FLANEL KOTAK,NAVY-KUNING
SO-MG260182,2026-06-21,52,73.0,12.0,1.4038,0.2308,STREVI HITAM,HITAM
SO-MG260183,2026-06-21,124,87.96,0.0,0.7094,0.0,FLACCE,HITAM
SO-MG26100620,2026-06-21,44,0.0,0.0,0.0,0.0,,
SO-MG26100621,2026-06-21,53,0.0,0.0,0.0,0.0,,
SO-MG26100622,2026-06-21,43,0.0,0.0,0.0,0.0,,
SO-MG26100623,2026-06-21,49,0.0,0.0,0.0,0.0,,
SO-MG26100624,2026-06-21,92,0.0,0.0,0.0,0.0,,
SO-MG26100625,2026-06-21,97,0.0,0.0,0.0,0.0,,
SO-MG26100626,2026-06-25,92,0.0,0.0,0.0,0.0,,
SO-MG26100627,2026-06-25,97,0.0,0.0,0.0,0.0,,
SO-MG26100628,2026-06-25,48,0.0,0.0,0.0,0.0,,
SO-MG26100629,2026-06-26,21,0.0,0.0,0.0,0.0,,
SO-MG26100630,2026-06-26,25,0.0,0.0,0.0,0.0,,
SO-MG26100631,2026-06-26,23,0.0,0.0,0.0,0.0,,
SO-MG26100632,2026-06-26,25,0.0,0.0,0.0,0.0,,
SO-MG26100633,2026-06-27,23,0.0,0.0,0.0,0.0,,
SO-MG26100634,2026-06-27,24,0.0,0.0,0.0,0.0,,
SO-MG26100635,2026-06-27,21,0.0,0.0,0.0,0.0,,
SO-MG26100636,2026-06-27,24,0.0,0.0,0.0,0.0,,
SO-MG260185,2026-06-30,146,124.6,0.0,0.8534,0.0,WAFLE,CREAM
SO-MG260186,2026-06-30,132,113.9,0.0,0.8629,0.0,WAFLE,OLIVE
SO-MG260187,2026-06-30,146,125.0,0.0,0.8562,0.0,WAFLE,KHAKY
SO-MG260188,2026-06-30,114,98.0,0.0,0.8596,0.0,WAFLE,ABU TUA
SO-MG260184,2026-06-30,1212,1701.64,0.0,1.404,0.0,,BEIGE
SO-MG260189,2026-07-01,235,87.81,0.0,0.3737,0.0,FLEECE,HITAM
SO-MG260190,2026-07-01,124,43.65,0.0,0.352,0.0,FLEECE,ABU MISTY
SO-MG260194,2026-07-05,134,119.4,0.0,0.891,0.0,CORDUROY,HITAM
SO-MG260195,2026-07-05,78,68.6,0.0,0.8795,0.0,CORDUROY,NAVY
SO-MG260196,2026-07-05,62,54.9,0.0,0.8855,0.0,CORDUROY,STONE GREY
SO-MG260197,2026-07-05,70,61.3,0.0,0.8757,0.0,CORDUROY,MOCCA
SO-MG260198,2026-07-05,96,84.2,0.0,0.8771,0.0,CORDUROY,CREAM MUDA
SO-MG260203,2026-07-07,108,165.0,0.0,1.5278,0.0,CORDUROY,HITAM
SO-MG260204,2026-07-07,96,146.6,0.0,1.5271,0.0,CORDUROY,NAVY
SO-MG260205,2026-07-07,90,135.6,0.0,1.5067,0.0,CORDUROY,BLUE
SO-MG260206,2026-07-07,54,75.0,0.0,1.3889,0.0,CORDUROY,MAROON
SO-MG260191,2026-07-07,74,119.3,0.0,1.6122,0.0,BLUDRU,BEIGE
SO-MG260192,2026-07-07,82,132.8,0.0,1.6195,0.0,BLUDRU,OLIVE
SO-MG260193,2026-07-07,84,114.3,0.0,1.3607,0.0,BLUDRU,BROKEN WHITE
SO-MG260199,2026-07-07,60,73.5,0.0,1.225,0.0,CORDUROY,HITAM
SO-MG260200,2026-07-07,58,73.3,0.0,1.2638,0.0,CORDUROY,NAVY
SO-MG260201,2026-07-07,88,108.6,0.0,1.2341,0.0,CORDUROY,BLUE
SO-MG260202,2026-07-07,64,80.0,0.0,1.25,0.0,CORDUROY,KHAKY
SO-MG260210,2026-07-08,324,540.0,0.0,1.6667,0.0,DRILL,MERAH
SO-MG260207,2026-07-08,85,141.0,0.0,1.6588,0.0,BLUDRU,CREAM
SO-MG260208,2026-07-09,83,138.0,0.0,1.6627,0.0,BLUDRU,OLIVE
SO-MG260209,2026-07-10,48,80.37,0.0,1.6744,0.0,BLUDRU,BROKEN WHITE
SO-MG260211,2026-07-10,132,189.0,0.0,1.4318,0.0,TOYOBO,HITAM
SO-MG260212,2026-07-10,333,467.0,0.0,1.4024,0.0,TOYOBO,PUTIH
SO-MG260213,2026-07-10,164,243.0,0.0,1.4817,0.0,TOYOBO,HITAM
SO-MG260214,2026-07-10,452,626.0,0.0,1.385,0.0,TOYOBO,PUTIH
SO-MG260226,2026-07-10,1030,1371.07,120.0,1.3311,0.1165,BADTJ,HITAM
SO-MG260227,2026-07-10,424,501.8,120.0,1.1835,0.283,BADTJ,ARMY
SO-MG260228,2026-07-10,372,485.8,120.0,1.3059,0.3226,BADTJ,ABU
SO-MG260229,2026-07-10,496,647.16,120.0,1.3048,0.2419,BADTJ,CREAM
SO-MG260215,2026-07-10,834,658.03,90.0,0.789,0.1079,BADTJ,HITAM
SO-MG260216,2026-07-10,320,256.0,90.0,0.8,0.2812,BADTJ,ARMY
SO-MG260217,2026-07-10,304,243.2,90.0,0.8,0.2961,BADTJ,ABU
SO-MG260218,2026-07-10,348,306.24,90.0,0.88,0.2586,BADTJ,CREAM
SO-MG260239,2026-07-10,880,1082.4,120.0,1.23,0.1364,BADTJ,HITAM
SO-MG260240,2026-07-10,322,354.2,120.0,1.1,0.3727,BADTJ,ARMY
SO-MG260241,2026-07-10,250,300.0,120.0,1.2,0.48,BADTJ,ABU
SO-MG260242,2026-07-10,370,444.0,120.0,1.2,0.3243,BADTJ,CREAM
SO-MG260235,2026-07-10,830,1286.5,30.0,1.55,0.0361,BADTJ,HITAM
SO-MG260236,2026-07-10,370,555.0,30.0,1.5,0.0811,BADTJ,ARMY
SO-MG260237,2026-07-07,250,375.0,30.0,1.5,0.12,BADTJ,ABU
SO-MG260238,2026-07-07,376,601.6,30.0,1.6,0.0798,BADTJ,CREAM
SO-MG260243,2026-07-07,119,170.0,16.55,1.4286,0.1061,BTJ 2307 BT,BLUE
SO-MG260244,2026-07-07,148,202.0,16.55,1.3649,0.1061,LIBERO,BLUE
SO-MG260245,2026-07-07,154,240.0,0.0,1.5584,0.0,LORENG AK 47,LORENG
SO-MG260246,2026-07-07,100,160.84,0.0,1.6084,0.0,LORENG AK 47,LORENG
SO-MG260219,2026-07-07,102,117.6,0.0,1.1529,0.0,LINEN LUCY,HITAM
SO-MG260220,2026-07-10,182,190.6,0.0,1.0473,0.0,LINEN LUCY,SAGE GREEN
SO-MG260221,2026-07-07,182,202.4,0.0,1.1121,0.0,LINEN LUCY,POWDER BLUE
SO-MG260222,2026-07-15,182,198.0,0.0,1.0879,0.0,LINEN LUCY,CREAM
SO-MG260223,2026-07-15,182,202.6,0.0,1.1132,0.0,LINEN LUCY,TAUPE
SO-MG260224,2026-07-15,102,110.0,0.0,1.0784,0.0,LINEN LUCY,BLUE
SO-MG260225,2026-07-15,102,108.2,0.0,1.0608,0.0,LINEN LUCY,WHITE
SO-MG260247,2026-07-15,50,72.4,0.0,1.448,0.0,LINEN LUCY,HITAM
SO-MG260248,2026-07-15,63,94.4,0.0,1.4984,0.0,LINEN LUCY,SAGE GREEN
SO-MG260249,2026-07-15,48,69.6,0.0,1.45,0.0,LINEN LUCY,POWDER BLUE
SO-MG260250,2026-07-22,57,87.0,0.0,1.5263,0.0,LINEN LUCY,CREAM
SO-MG260251,2026-07-22,57,82.4,0.0,1.4456,0.0,LINEN LUCY,TAUPE
SO-MG260252,2026-07-22,53,80.0,0.0,1.5094,0.0,LINEN LUCY,BLUE
SO-MG260253,2026-07-22,55,81.5,0.0,1.4818,0.0,LINEN LUCY,WHITE
SO-MG260161,2026-07-22,148,204.0,16.55,1.3784,0.1061,LIBERO,BLUE
SO-MG260254,2026-07-22,156,218.5,16.55,1.4006,0.1061,BTJ 2307 BT,BLUE
SO-MG260255,2026-07-22,156,218.5,16.55,1.4006,0.1061,BTJ 2307 BT,BLUE
