item_code,description,item_type,unit,unit_price,current_stock,min_stock_alert,width_inch,rack_location,_brand,_status,_tanggal
MG-2604-BH0045,P/D DAIRIBS 58 INCH OLIVE  CORELAX,FABRIC_MAIN,YARD,0.0,1548.49,50.0,58.0,GUDANG_UTAMA,SMBU,FOB,2026-05-28
MG-2604-BH0046,FISERI 58 INCH DK GREY  CORELAX,FABRIC_MAIN,YARD,0.0,498.3,50.0,58.0,GUDANG_UTAMA,SMBU,FOB,2026-05-28
MG-2604-BH0047,FISERI 58 INCH OLIVE  CORELAX,FABRIC_MAIN,YARD,0.0,498.67,50.0,58.0,GUDANG_UTAMA,SMBU,FOB,2026-05-28
MG-2604-BH0048,BAHAN KAIN KERAS MAROKO - 58 INCH  CORELAX,INTERLINING,YARD,0.0,395.84,50.0,58.0,GUDANG_UTAMA,SMBU,FOB,2026-05-28
MG-2604-BH0049,BAHAN P/D STRAXEL KHAKY ZAMBOR 02,FABRIC_MAIN,YARD,0.0,1399.61,50.0,58.0,GUDANG_UTAMA,SMBU,FOB,2026-06-02
MG-2604-BH0050,PID CYGNUS,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,OXFOORD,CMT,2026-06-08
MG-2604-BH0051,KORDUROY STRET,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,PAMOKIDS,CMT,2026-06-09
MG-2604-BH0052,BLUDRU,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,SEVENTYFOUR,FOB,2026-06-11
MG-2604-BH0053,WAFEL,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,SEVENTYFOUR,FOB,2026-06-11
MG-2604-BH0054,TASLAN CRINKLE,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,DELUSI,FOB,2026-06-15
MG-2604-BH0055,BAHAN P/D STRAXEL KHAKY ZAMBOR 03,FABRIC_MAIN,YARD,0.0,573.0,50.0,58.0,GUDANG_UTAMA,SMBU,FOB,2026-06-03
MG-2604-BH0056,BAHAN P/D STRAXEL KHAKY ZAMBOR 04,FABRIC_MAIN,YARD,0.0,1649.44,50.0,58.0,GUDANG_UTAMA,SMBU,FOB,2026-06-08
MG-2604-BH0057,BAHAN P/D STRAXEL OLIVE ZAMBOR 05,FABRIC_MAIN,YARD,0.0,2110.66,50.0,58.0,GUDANG_UTAMA,SMBU,FOB,2026-06-10
MG-2604-BH0058,BAHAN P/D STRAXEL OLIVE ZAMBOR 06,FABRIC_MAIN,YARD,0.0,1575.0,50.0,58.0,GUDANG_UTAMA,SMBU,FOB,2026-06-15
MG-2604-BH0059,POKEZONE 120 CM BERTOLT,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,SMBU,FOB,2026-06-15
MG-2604-BH0060,FLANEL POLOS,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,WARNING,FOB,2026-06-15
MG-2604-BH0061,PURING PUTIH 02 WARNING,PURING,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,WARNING,FOB,2026-06-15
MG-2604-BH0062,BAHAN P/D STRAXEL OLIVE ZAMBOR 07,FABRIC_MAIN,YARD,0.0,1144.74,50.0,58.0,GUDANG_UTAMA,SMBU,FOB,2026-06-18
MG-2604-BH0063,BAHAN P/D STRAXEL WHEAT ZAMBOR 08,FABRIC_MAIN,YARD,0.0,1776.92,50.0,58.0,GUDANG_UTAMA,SMBU,FOB,2026-06-18
MG-2604-BH0064,FLANEL KOTAK,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,WARNING,FOB,2026-06-18
MG-2604-BH0065,FLECCE,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,WARNING,FOB,2026-06-18
MG-2604-BH0066,BAHAN P/D STRAXEL WHEAT ZAMBOR 09,FABRIC_MAIN,YARD,0.0,735.04,50.0,58.0,GUDANG_UTAMA,SMBU,FOB,2026-06-29
MG-2604-BH0067,BLUDRU 02,FABRIC_MAIN,YARD,34000.0,0.0,50.0,58.0,GUDANG_UTAMA,SEVENTYFOUR,FOB,2026-06-29
MG-2604-BH0068,CORDUROY,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,WARNING,FOB,2026-07-01
MG-2604-BH0069,PE 40S,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,WARNING,FOB,2026-07-02
MG-2604-BH0070,BAHAN P/D STRAXEL WHITE ALL ZAMBOR,FABRIC_MAIN,YARD,0.0,2300.65,50.0,58.0,GUDANG_UTAMA,SMBU,FOB,2026-07-02
MG-2604-BH0071,BAHAN POLYESTER DAISY BLACK ALL NORTHMEN CARGO WALKSHORT,FABRIC_MAIN,YARD,0.0,1027.24,50.0,58.0,GUDANG_UTAMA,SMBU,FOB,2026-07-03
MG-2604-BH0072,BAHAN POLYESTER DAISY ARMY ALL NORTHMEN CARGO WALKSHORT,FABRIC_MAIN,YARD,0.0,2069.22,50.0,58.0,GUDANG_UTAMA,SMBU,FOB,2026-07-03
MG-2604-BH0073,POCKET  PUTIH 07,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,WARNING,FOB,2026-07-02
MG-2604-BH0074,POCKET  HITAM 07,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,WARNING,FOB,2026-07-02
MG-2604-BH0075,BAHAN P/D STRAXEL KHAKI BIVO,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,SMBU,FOB,2026-07-08
MG-2604-BH0076,BAHAN P/D STRAXEL DARK GREY BIVO,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,SMBU,FOB,2026-07-08
MG-2604-BH0077,BAHAN P/D STRAXEL OLIVE BIVO,FABRIC_MAIN,YARD,0.0,0.28,50.0,58.0,GUDANG_UTAMA,SMBU,FOB,2026-07-08
MG-2604-BH0078,BAHAN P/D STRAXEL WHEAT BIVO,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,SMBU,FOB,2026-07-08
MG-2604-BH0079,NVSR HITAM,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,NEVER SURRENDER,FOB,2026-07-07
MG-2604-BH0080,NVSR ARMY,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,NEVER SURRENDER,FOB,2026-07-07
MG-2604-BH0081,NVSR KREM,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,NEVER SURRENDER,FOB,2026-07-07
MG-2604-BH0082,NVSR ABU,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,NEVER SURRENDER,FOB,2026-07-07
MG-2604-BH0083,BAHAN SERAGAM ( MERAH ),FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,PAKDENNY,CMT,2026-07-04
MG-2604-BH0084,PURING HITAM,PURING,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,CASH,FOB,2026-07-08
MG-2604-BH0085,BAHAN POLYESTER (DAISY) GREY ALL NORTHMEN CARGO WALKSHORT,FABRIC_MAIN,YARD,0.0,2213.63,50.0,58.0,GUDANG_UTAMA,SMBU,FOB,2026-07-09
MG-2604-BH0086,BAHAN POLYESTER (DAISY) CHARCOAL THRONEBREAKER,FABRIC_MAIN,YARD,0.0,2251.54,50.0,58.0,GUDANG_UTAMA,SMBU,FOB,2026-07-09
MG-2604-BH0087,BAHAN ZN PUTIH,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,CASH,FOB,2026-07-09
MG-2604-BH0088,PURING NVSR,PURING,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,CASH,FOB,2026-07-14
MG-2604-BH0089,BAHAN DEALOVA 25 2503,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,WILMER STUDIOS,CMT,2026-07-28
MG-2604-BH0090,FLECCE 250726,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,WARNING,FOB,2026-07-25
MG-2604-BH0091,PURING SMBU BIVO,PURING,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,SMBU,FOB,2026-07-30
MG-2604-BH0092,"PURING BERTOLT 120""",PURING,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,SMBU,FOB,2026-07-30
MG-2604-BH0093,CODUROY 08,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,WARNING,FOB,2026-08-01
MG-2604-BH0094,CATALINA 08,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,WARNING,FOB,2026-08-01
MG-2604-BH0095,CODUROY 089,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,WARNING,FOB,2026-08-03
MG-2604-BH0096,OXYGEN 08,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,WARNING,FOB,2026-08-05
MG-2604-BH0097,BAHAN PURING 08 HITAM,PURING,YARD,0.0,700.02,50.0,58.0,GUDANG_UTAMA,WARNING,FOB,2026-08-05
MG-2604-BH0098,OREGON PG N,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,CASH,CASH,2026-08-05
MG-2604-BH0099,LINEN LUCY,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,CASH,CASH,2026-08-08
MG-2604-BH0100,BAHAN PURING 08 PUTIH 11,PURING,YARD,0.0,100.0,50.0,58.0,GUDANG_UTAMA,WARNING,FOB,2026-08-11
MG-2604-BH0101,LINEN LOOK OXFORD HAKKA,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,SMBU,CMT,2026-08-11
MG-2604-BH0102,DENIM #B1017 ARIANA,FABRIC_MAIN,YARD,0.0,945.0,50.0,58.0,GUDANG_UTAMA,SMBU,FOB,2026-08-11
MG-2604-BH0103,DIADORA  PURING HITAM,PURING,YARD,0.0,11.9,50.0,58.0,GUDANG_UTAMA,DELUSI,CASH,2026-08-13
MG-2604-BH0104,TOYOBO HITAM,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,WILMER STUDIOS,CMT,2026-07-08
MG-2604-BH0105,TOYOBO PUTIH,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,WILMER STUDIOS,CMT,2026-07-08
MG-2604-BH0106,BAHAN LIBERO DK BLUE,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,WARNING,FOB,2026-07-17
MG-2604-BH0107,BAHAN BJT 2307 BT,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,WARNING,FOB,2026-07-17
MG-2604-BH0108,BAHAN LORENG DELUSI,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,DELUSI,FOB,2026-07-18
MG-2604-BH0109,BAHAN LINEN LUCY,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,SEVENTYFOUR,FOB,2026-07-18
MG-2604-BH0110,BAHAN BJT 2307 BT,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,WARNING,FOB,2026-07-22
MG-2604-BH0111,BAHAN MALIBU BLUE,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,WARNING,FOB,2026-08-13
MG-2604-BH0112,BAHAN  MECURY BLACK,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,WARNING,FOB,2026-08-13
MG-2604-BH0113,BAHAN TEXNOS,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,WARNING,FOB,2026-08-13
MG-2604-BH0114,FLANEL POLOS 0820,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,WARNING,FOB,2026-08-18
MG-2604-BH0115,FLANEL KOTAK 0820,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,WARNING,FOB,2026-08-18
MG-2604-BH0116,DUSKY 0820,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,WARNING,FOB,2026-08-18
MG-2604-BH0117,PURING SMBU BIVO 2,PURING,YARD,0.0,12.9,50.0,58.0,GUDANG_UTAMA,SMBU,FOB,2026-08-18
MG-2604-BH0118,PURING NORTHMEN CARGO WALKSHORT,PURING,YARD,0.0,838.0,50.0,58.0,GUDANG_UTAMA,SMBU,FOB,2026-08-13
MG-2604-BH0119,FODIA BLUE 08 18,FABRIC_MAIN,YARD,0.0,136.0,50.0,58.0,GUDANG_UTAMA,WARNING,FOB,2026-08-18
MG-2604-BH0120,MALUBU BLUE 08 18,FABRIC_MAIN,YARD,0.0,356.0,50.0,58.0,GUDANG_UTAMA,WARNING,FOB,2026-08-18
MG-2604-BH0121,RPM 007 08 26,FABRIC_MAIN,YARD,0.0,1035.0,50.0,58.0,GUDANG_UTAMA,WARNING,FOB,2026-08-26
MG-2604-BH0122,ORION BLUE-BLACK 26,FABRIC_MAIN,YARD,0.0,1671.0,50.0,58.0,GUDANG_UTAMA,WARNING,FOB,2026-08-27
MG-2604-BH0123,CORDUROY 08 26,FABRIC_MAIN,YARD,0.0,193.0,50.0,58.0,GUDANG_UTAMA,WARNING,FOB,2026-08-27
MG-2604-BH0124,MALIBU DK.BLUE 27 8,FABRIC_MAIN,YARD,0.0,2005.0,50.0,58.0,GUDANG_UTAMA,WARNING,FOB,2026-08-27
MG-2604-BH0125,(TANPA DESKRIPSI) MG-2604-BH0125,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,-,FOB,
MG-2604-BH0126,(TANPA DESKRIPSI) MG-2604-BH0126,FABRIC_MAIN,YARD,0.0,0.0,50.0,58.0,GUDANG_UTAMA,-,FOB,
